player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
582,24-25-prem-everton-vs-west-ham-united,90,1,0,2,0.32,0.12,2,0,0,3,67,39,85.0,3.0,11,3,43.0,3,38.0,1,0,3,0,1,1,0,2,8,1,20.0,1,20.0,0,2,0,0,0.0,0.0,0,0,0,29
222,24-25-prem-everton-vs-west-ham-united,90,0,1,0,0.0,0.61,0,0,0,3,63,47,94.0,1.0,9,0,0.0,1,50.0,1,2,3,1,1,0,2,5,4,4,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,29
235,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,50,28,76.0,0.0,0,0,0.0,5,36.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
531,24-25-prem-everton-vs-west-ham-united,90,0,0,1,0.29,0.22,1,0,1,1,67,49,92.0,3.0,7,2,33.0,3,75.0,2,0,7,0,1,0,1,3,4,2,50.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,29
591,24-25-prem-everton-vs-west-ham-united,89,0,0,2,0.05,0.01,0,1,0,2,77,44,76.0,0.0,7,0,0.0,2,22.0,1,5,1,0,2,0,0,9,3,5,83.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,29
524,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.03,0,0,0,2,50,32,86.0,2.0,0,0,0.0,1,25.0,1,0,4,1,6,4,0,6,0,3,100.0,3,100.0,1,0,0,0,0.0,0.0,0,0,0,29
514,24-25-prem-everton-vs-west-ham-united,90,0,1,4,0.24,0.06,2,1,0,5,32,17,85.0,2.0,2,0,0.0,0,0.0,0,0,3,0,0,0,0,3,6,3,60.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,29
450,24-25-prem-everton-vs-west-ham-united,90,0,0,2,0.21,0.14,1,1,0,2,63,36,86.0,2.0,5,2,33.0,4,80.0,2,1,4,0,0,0,2,9,6,6,50.0,3,100.0,2,4,0,0,0.0,0.0,0,0,0,29
520,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.22,0,2,0,1,70,33,87.0,1.0,4,1,50.0,1,33.0,1,0,4,1,4,3,2,9,3,6,75.0,3,75.0,1,0,0,0,0.0,0.0,0,0,0,29
530,24-25-prem-everton-vs-west-ham-united,90,1,0,2,0.11,0.02,2,1,0,6,46,20,69.0,0.0,1,0,0.0,1,50.0,0,0,1,1,4,3,1,9,5,5,56.0,4,80.0,2,2,0,0,0.0,0.0,0,0,0,29
513,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,41,13,50.0,0.0,0,0,0.0,3,21.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
219,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.01,0,0,0,0,78,53,83.0,0.0,9,0,0.0,4,57.0,0,0,8,0,9,6,2,3,3,1,33.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,29
231,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.13,0,0,0,2,76,34,83.0,2.0,10,3,50.0,3,100.0,0,2,2,0,4,2,1,5,5,2,50.0,3,50.0,2,0,0,0,0.0,0.0,0,0,0,29
388,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.03,0,2,0,2,91,40,71.0,0.0,8,0,0.0,0,0.0,0,3,3,0,5,4,0,6,5,4,67.0,2,40.0,1,0,0,0,0.0,0.0,0,0,0,29
223,24-25-prem-everton-vs-west-ham-united,79,0,0,0,0.0,0.03,0,0,0,0,70,51,98.0,0.0,4,0,0.0,0,0.0,1,2,5,0,2,1,0,3,4,2,50.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,29
528,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,45,31,91.0,0.0,2,0,0.0,1,50.0,0,1,5,1,7,2,0,4,3,0,0.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,29
236,24-25-prem-everton-vs-west-ham-united,90,0,0,0,0.0,0.02,0,0,0,0,66,45,80.0,0.0,8,0,0.0,5,50.0,2,0,3,0,3,1,0,5,2,3,75.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,29
224,24-25-prem-everton-vs-west-ham-united,79,0,0,2,0.09,0.22,0,1,0,5,49,22,85.0,2.0,0,2,20.0,0,0.0,2,0,0,0,1,0,2,3,4,3,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
527,24-25-prem-everton-vs-west-ham-united,83,0,0,1,0.15,0.05,0,0,0,1,66,43,83.0,0.0,7,0,0.0,1,25.0,1,0,6,0,1,1,2,7,10,4,36.0,3,50.0,2,4,0,0,0.0,0.0,0,0,0,29
226,24-25-prem-everton-vs-west-ham-united,11,0,0,0,0.0,0.01,0,1,0,0,10,6,100.0,0.0,0,0,0.0,0,0.0,0,1,2,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
577,24-25-prem-everton-vs-west-ham-united,22,0,0,0,0.0,0.01,0,0,0,2,25,16,84.0,1.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,1,2,1,33.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,29
525,24-25-prem-everton-vs-west-ham-united,89,0,0,0,0.0,0.05,0,3,0,4,48,23,92.0,1.0,3,1,25.0,0,0.0,0,0,3,0,0,0,0,6,9,6,43.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,29
156,24-25-prem-everton-vs-west-ham-united,10,0,0,0,0.0,0.0,0,1,0,1,9,3,75.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,2,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,29
217,24-25-prem-everton-vs-west-ham-united,68,0,0,2,0.2,0.18,1,0,0,2,36,21,78.0,0.0,2,0,0.0,0,0.0,0,0,3,0,1,0,0,2,4,0,0.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,29
218,24-25-prem-everton-vs-west-ham-united,80,0,0,3,0.11,0.01,0,1,0,7,36,10,77.0,0.0,0,0,0.0,1,100.0,0,1,1,0,1,1,0,6,16,2,22.0,4,31.0,1,2,0,0,0.0,0.0,0,0,0,29
588,24-25-prem-everton-vs-west-ham-united,1,0,0,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
654,24-25-prem-everton-vs-west-ham-united,7,0,0,0,0.0,0.0,0,0,0,0,5,1,50.0,0.0,0,0,0.0,0,0.0,0,1,1,0,1,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,29
123,24-25-prem-everton-vs-west-ham-united,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
