player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
240,24-25-prem-fulham-vs-tottenham-hotspur,90,0,1,2,0.15,0.13,0,2,0,4,50,20,74.0,3.0,6,2,25.0,1,50.0,4,0,5,0,1,0,1,9,8,8,62.0,1,25.0,2,2,0,0,0.0,0.0,0,0,0,29
255,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,0,0.0,0.15,0,3,0,3,97,54,84.0,0.0,7,1,11.0,4,67.0,4,3,6,0,2,2,1,11,3,9,75.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,29
248,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,46,22,61.0,0.0,0,0,0.0,6,33.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
622,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,0,0.0,0.02,0,0,0,0,73,55,93.0,0.0,2,0,0.0,1,100.0,1,1,9,1,2,0,0,5,3,5,71.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,29
251,24-25-prem-fulham-vs-tottenham-hotspur,27,1,0,2,0.2,0.08,2,1,0,2,20,7,78.0,1.0,3,0,0.0,0,0.0,0,1,0,0,0,0,0,7,2,3,75.0,4,80.0,1,0,0,0,0.0,0.0,0,0,0,29
191,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,2,0.06,0.02,0,0,0,1,98,71,87.0,0.0,13,0,0.0,8,44.0,1,2,6,2,5,1,0,4,3,1,33.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,29
505,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,0,0.0,0.03,0,1,0,2,72,28,72.0,1.0,6,1,100.0,0,0.0,6,1,9,0,2,0,1,10,4,10,71.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,29
241,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,0,0.0,0.01,0,1,0,0,55,41,91.0,0.0,5,0,0.0,2,67.0,2,0,2,0,2,1,0,8,3,7,88.0,1,33.0,1,1,0,0,0.0,0.0,0,0,0,29
244,24-25-prem-fulham-vs-tottenham-hotspur,90,0,0,1,0.14,0.02,1,0,1,5,76,38,79.0,1.0,6,0,0.0,1,33.0,1,3,3,0,3,3,3,3,5,1,20.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,29
498,24-25-prem-fulham-vs-tottenham-hotspur,68,0,0,0,0.0,0.0,0,0,0,0,61,41,85.0,0.0,4,0,0.0,2,33.0,2,2,4,0,7,3,1,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
