player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
566,24-25-prem-southampton-vs-wolverhampton-wanderers,89,2,0,2,0.18,0.02,2,1,0,2,30,17,81.0,0.0,1,0,0.0,0,0.0,0,0,3,0,1,0,0,6,6,2,29.0,4,80.0,1,3,0,0,0.0,0.0,0,0,0,29
535,24-25-prem-southampton-vs-wolverhampton-wanderers,69,0,2,0,0.0,0.07,0,0,0,2,34,11,61.0,2.0,1,1,50.0,0,0.0,2,0,2,0,1,1,0,7,2,7,78.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,29
553,24-25-prem-southampton-vs-wolverhampton-wanderers,90,0,0,1,0.13,0.1,0,1,0,2,67,47,96.0,1.0,4,0,0.0,1,100.0,6,2,6,0,0,0,3,8,6,8,57.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,29
554,24-25-prem-southampton-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,29,9,47.0,0.0,0,0,0.0,5,33.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
608,24-25-prem-southampton-vs-wolverhampton-wanderers,90,0,0,3,0.32,0.05,0,5,1,8,73,37,90.0,1.0,1,0,0.0,0,0.0,3,0,6,0,0,0,1,18,8,15,68.0,3,75.0,5,0,0,0,0.0,0.0,0,0,0,29
533,24-25-prem-southampton-vs-wolverhampton-wanderers,80,0,0,2,0.05,0.01,1,1,0,1,63,37,95.0,0.0,3,0,0.0,2,100.0,5,1,5,0,2,1,4,6,8,6,46.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
467,24-25-prem-southampton-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.24,0,2,0,0,98,56,86.0,3.0,4,3,33.0,2,50.0,0,0,4,0,2,2,1,6,5,6,55.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,29
543,24-25-prem-southampton-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,61,39,83.0,0.0,4,0,0.0,2,67.0,0,1,4,1,6,4,1,8,2,4,80.0,4,80.0,1,0,0,0,0.0,0.0,0,0,0,29
559,24-25-prem-southampton-vs-wolverhampton-wanderers,89,0,0,0,0.0,0.01,0,0,0,0,49,25,86.0,0.0,2,0,0.0,0,0.0,1,3,6,0,6,5,2,3,6,2,33.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,29
452,24-25-prem-southampton-vs-wolverhampton-wanderers,89,0,0,2,0.12,0.04,0,2,0,3,82,66,92.0,1.0,5,0,0.0,1,50.0,0,2,4,0,0,0,0,5,2,4,80.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,29
