player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
146,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,40,23,82.0,0.0,0,0,0.0,10,67.0,0,0,13,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,1,2.36,1.36,1,23,10,3
129,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,1,0,1,0.26,0.12,1,4,0,9,70,35,83.0,1.0,2,1,33.0,2,100.0,0,0,5,0,2,2,1,10,9,8,57.0,2,40.0,3,1,0,0,0.0,0.0,0,0,0,3
17,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,1,4,0.98,0.2,3,4,2,12,51,13,57.0,1.0,3,0,0.0,1,33.0,1,0,7,0,0,0,2,9,8,8,50.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,3
120,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.23,0,0,0,1,112,99,96.0,3.0,17,0,0.0,4,67.0,0,1,7,1,1,1,0,3,2,1,100.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,3
15,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,0,52,16,43.0,0.0,0,0,0.0,9,30.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,1,0.62,-0.38,0,16,9,3
4,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,1,0,2,0.82,0.05,2,0,1,4,29,10,83.0,2.0,0,1,100.0,0,0.0,0,0,6,1,2,1,0,5,14,1,25.0,4,27.0,1,1,0,0,0.0,0.0,0,0,0,3
144,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,2,0.05,0.04,0,0,0,1,79,65,96.0,0.0,8,0,0.0,8,100.0,1,0,4,1,5,3,0,5,2,2,100.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,3
18,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,0,63,48,94.0,0.0,1,0,0.0,1,100.0,2,2,2,1,2,1,0,6,1,5,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,3
24,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,1,0.04,0.0,0,0,0,1,45,16,76.0,0.0,7,0,0.0,1,50.0,2,2,2,1,6,2,3,4,3,3,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,3
136,24-25-prem-arsenal-vs-brighton-&-hove-albion,85,0,0,1,0.04,0.14,0,4,0,5,47,27,87.0,2.0,2,0,0.0,1,100.0,0,0,5,0,0,0,0,4,5,4,57.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,3
115,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,4,0.18,0.03,0,0,0,0,51,32,86.0,1.0,1,0,0.0,4,100.0,2,2,5,0,0,0,2,7,7,3,33.0,4,80.0,0,2,0,0,0.0,0.0,0,0,0,3
3,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,1,0.12,0.01,0,1,0,2,47,31,94.0,2.0,3,0,0.0,5,83.0,1,1,1,2,4,1,1,4,6,3,50.0,1,25.0,1,2,0,0,0.0,0.0,0,0,0,3
20,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,1,0,0,39,19,76.0,0.0,2,0,0.0,3,60.0,1,5,5,2,0,0,2,4,5,3,38.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,3
126,24-25-prem-arsenal-vs-brighton-&-hove-albion,90,0,0,3,0.21,0.14,1,0,0,3,71,43,83.0,1.0,1,1,20.0,1,33.0,0,1,1,0,2,1,2,2,5,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,3
600,24-25-prem-arsenal-vs-brighton-&-hove-albion,73,0,0,2,0.41,0.06,1,0,1,3,37,19,76.0,1.0,3,1,50.0,0,0.0,1,0,5,0,0,0,0,4,1,4,80.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,3
145,24-25-prem-arsenal-vs-brighton-&-hove-albion,72,0,0,1,0.05,0.01,0,1,0,1,51,21,66.0,0.0,3,0,0.0,0,0.0,1,0,1,0,1,0,1,8,4,7,70.0,1,50.0,4,1,0,0,0.0,0.0,0,0,0,3
23,24-25-prem-arsenal-vs-brighton-&-hove-albion,59,0,0,1,0.03,0.08,1,0,0,3,26,7,64.0,1.0,1,1,50.0,0,0.0,1,1,5,0,0,0,1,2,4,2,33.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,3
6,24-25-prem-arsenal-vs-brighton-&-hove-albion,80,0,0,0,0.0,0.02,0,0,0,2,33,12,80.0,1.0,2,0,0.0,1,100.0,2,1,4,1,3,1,0,2,6,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,3
148,24-25-prem-arsenal-vs-brighton-&-hove-albion,85,0,0,1,0.09,0.01,0,0,0,2,22,7,70.0,0.0,2,0,0.0,0,0.0,1,0,0,0,0,0,0,5,3,3,50.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,3
135,24-25-prem-arsenal-vs-brighton-&-hove-albion,71,0,0,2,0.37,0.01,1,1,1,3,22,6,75.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,2,6,5,4,50.0,2,67.0,2,0,0,0,0.0,0.0,0,0,0,3
122,24-25-prem-arsenal-vs-brighton-&-hove-albion,18,0,0,2,0.04,0.07,0,0,0,2,25,17,89.0,2.0,4,3,75.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,3
13,24-25-prem-arsenal-vs-brighton-&-hove-albion,73,0,0,1,0.18,0.08,1,1,1,5,29,9,47.0,1.0,4,0,0.0,0,0.0,1,0,3,0,0,0,1,5,4,4,50.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,3
134,24-25-prem-arsenal-vs-brighton-&-hove-albion,17,0,0,0,0.0,0.0,0,0,0,0,4,2,100.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,3
618,24-25-prem-arsenal-vs-brighton-&-hove-albion,19,0,0,3,0.14,0.04,0,0,0,3,7,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,0,1,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,3
9,24-25-prem-arsenal-vs-brighton-&-hove-albion,17,0,0,0,0.0,0.0,0,0,0,0,5,3,75.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,3
578,24-25-prem-arsenal-vs-brighton-&-hove-albion,31,0,0,0,0.0,0.0,0,0,0,0,8,3,75.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2,1,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,3
25,24-25-prem-arsenal-vs-brighton-&-hove-albion,10,0,0,0,0.0,0.0,0,0,0,0,3,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,3
