player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
44,24-25-prem-aston-villa-vs-tottenham-hotspur,90,1,0,2,0.35,0.12,2,0,0,2,100,88,98.0,1.0,11,0,0.0,2,67.0,1,1,5,0,3,2,0,4,2,4,67.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,37
42,24-25-prem-aston-villa-vs-tottenham-hotspur,90,1,0,1,0.04,0.14,1,0,0,4,62,45,87.0,1.0,5,0,0.0,0,0.0,1,0,4,0,0,0,0,5,4,3,50.0,2,67.0,2,1,0,0,0.0,0.0,0,0,0,37
32,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,0,1,0.06,0.02,0,2,0,2,77,45,87.0,0.0,3,0,0.0,0,0.0,1,1,7,0,2,2,1,6,1,5,83.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,37
54,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,1,2,0.36,0.08,1,0,1,5,40,23,77.0,2.0,3,1,33.0,0,0.0,1,0,4,0,0,0,1,2,2,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,37
233,24-25-prem-aston-villa-vs-tottenham-hotspur,88,0,0,0,0.0,0.17,0,1,0,0,57,41,91.0,1.0,10,1,100.0,2,67.0,4,1,1,0,0,0,0,6,2,6,86.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,37
762,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,0,4,0.17,0.16,1,4,0,5,67,35,83.0,2.0,5,0,0.0,2,67.0,0,0,1,1,0,0,0,5,0,5,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,37
47,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,35,27,96.0,0.0,0,0,0.0,3,75.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.16,0.16,0,27,3,37
52,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,0,0,0.0,0.07,0,0,0,1,128,114,95.0,1.0,18,0,0.0,5,56.0,1,0,7,0,3,1,1,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,37
48,24-25-prem-aston-villa-vs-tottenham-hotspur,89,0,0,3,0.11,0.15,0,2,0,5,48,26,87.0,2.0,4,2,50.0,0,0.0,2,0,3,0,0,0,0,6,2,5,71.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,37
716,24-25-prem-aston-villa-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,48,13,52.0,0.0,0,0,0.0,4,25.0,0,0,15,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,2,2.22,0.22,1,13,4,37
