player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
110,24-25-prem-brentford-vs-fulham,90,1,1,2,1.25,0.06,2,1,1,7,38,19,73.0,1.0,4,0,0.0,1,50.0,0,0,5,0,0,0,0,2,6,2,25.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,37
252,24-25-prem-brentford-vs-fulham,90,1,0,5,0.37,0.04,2,0,0,4,35,7,54.0,1.0,3,0,0.0,2,100.0,1,0,1,0,2,2,1,11,7,5,56.0,6,67.0,3,0,0,0,0.0,0.0,0,0,0,37
248,24-25-prem-brentford-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,35,21,75.0,0.0,0,0,0.0,8,53.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,2,2.7,0.7,1,21,8,37
255,24-25-prem-brentford-vs-fulham,89,0,0,0,0.0,0.11,0,3,0,1,66,33,94.0,1.0,1,1,33.0,0,0.0,4,3,4,0,5,3,3,12,3,10,77.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,37
243,24-25-prem-brentford-vs-fulham,45,1,0,3,0.29,0.03,2,0,0,1,31,24,100.0,0.0,3,0,0.0,3,100.0,0,0,1,0,1,1,0,2,0,1,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,37
239,24-25-prem-brentford-vs-fulham,80,0,1,1,0.06,0.09,1,1,0,1,32,18,95.0,3.0,2,2,50.0,0,0.0,1,0,6,0,0,0,0,5,3,5,63.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,37
259,24-25-prem-brentford-vs-fulham,24,1,0,1,0.01,0.03,1,0,0,3,22,11,92.0,0.0,0,0,0.0,0,0.0,1,1,0,0,1,0,0,1,3,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,37
99,24-25-prem-brentford-vs-fulham,90,1,0,3,0.99,0.09,2,3,1,10,54,19,59.0,1.0,8,1,20.0,1,50.0,0,0,4,0,1,1,1,3,7,3,38.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,37
89,24-25-prem-brentford-vs-fulham,90,0,0,1,0.1,0.31,0,1,0,2,64,36,72.0,1.0,16,0,0.0,2,40.0,1,0,8,0,0,0,0,2,2,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,37
249,24-25-prem-brentford-vs-fulham,90,0,0,1,0.01,0.08,0,0,0,2,48,30,81.0,3.0,8,1,17.0,0,0.0,1,0,2,0,1,0,0,2,0,1,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,37
241,24-25-prem-brentford-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,52,35,88.0,0.0,3,0,0.0,2,67.0,1,1,5,0,7,3,0,4,1,2,100.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,37
247,24-25-prem-brentford-vs-fulham,66,0,0,1,0.04,0.02,0,0,0,1,34,17,77.0,0.0,2,0,0.0,0,0.0,0,0,7,0,1,0,1,2,2,1,33.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,37
106,24-25-prem-brentford-vs-fulham,76,0,0,1,0.12,0.01,0,0,0,6,29,11,73.0,0.0,2,0,0.0,0,0.0,0,0,3,2,1,1,1,7,8,3,43.0,4,50.0,3,0,0,0,0.0,0.0,0,0,0,37
257,24-25-prem-brentford-vs-fulham,90,0,0,1,0.08,0.03,0,0,0,4,52,21,84.0,0.0,3,1,33.0,0,0.0,1,1,3,1,7,4,1,8,11,2,29.0,6,50.0,1,4,0,0,0.0,0.0,0,0,0,37
92,24-25-prem-brentford-vs-fulham,14,0,0,0,0.0,0.01,0,0,0,1,22,10,77.0,0.0,3,0,0.0,0,0.0,2,0,3,0,0,0,0,4,2,3,75.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,37
191,24-25-prem-brentford-vs-fulham,90,0,0,1,0.02,0.01,0,0,0,1,67,38,72.0,0.0,11,0,0.0,4,29.0,0,0,7,1,6,2,0,4,1,1,50.0,3,100.0,1,1,0,0,0.0,0.0,0,0,0,37
