player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
210,24-25-prem-liverpool-vs-crystal-palace,90,0,1,0,0.0,0.02,0,2,0,0,67,24,77.0,1.0,6,0,0.0,3,50.0,1,5,9,0,8,6,1,8,4,6,60.0,2,100.0,1,2,0,0,0.0,0.0,0,0,0,38
339,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.04,0,0,0,0,123,101,93.0,0.0,22,0,0.0,4,50.0,3,2,3,0,6,6,0,11,1,4,80.0,7,100.0,1,1,0,0,0.0,0.0,0,0,0,38
310,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,46,28,90.0,0.0,0,0,0.0,4,57.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,2.33,1.33,2,28,4,38
321,24-25-prem-liverpool-vs-crystal-palace,90,0,1,2,0.07,0.2,0,1,0,11,48,22,88.0,3.0,2,0,0.0,0,0.0,1,0,3,0,1,0,0,6,5,5,63.0,1,33.0,3,0,0,0,0.0,0.0,0,0,0,38
328,24-25-prem-liverpool-vs-crystal-palace,90,1,0,3,0.4,0.42,1,1,0,8,61,24,60.0,2.0,3,1,20.0,0,0.0,0,1,1,0,0,0,0,2,3,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
585,24-25-prem-liverpool-vs-crystal-palace,90,1,0,2,0.68,0.1,2,0,0,2,33,12,63.0,1.0,1,0,0.0,0,0.0,0,0,4,0,2,2,1,4,7,2,25.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,38
326,24-25-prem-liverpool-vs-crystal-palace,62,0,0,0,0.0,0.03,0,1,0,0,76,57,85.0,0.0,19,0,0.0,1,25.0,0,3,7,0,2,1,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
206,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,1,51,20,80.0,0.0,0,1,100.0,1,25.0,0,5,5,0,12,7,0,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,38
201,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,46,15,42.0,1.0,0,0,0.0,5,19.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.44,0.44,0,15,5,38
650,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.05,0,0,0,0,42,16,70.0,1.0,1,1,100.0,4,44.0,1,1,2,3,10,6,0,3,1,1,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,38
199,24-25-prem-liverpool-vs-crystal-palace,62,0,0,0,0.0,0.59,0,3,0,1,29,16,70.0,1.0,3,0,0.0,0,0.0,0,0,8,0,1,1,0,3,2,3,60.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
311,24-25-prem-liverpool-vs-crystal-palace,45,0,0,1,0.01,0.31,0,1,0,0,61,30,71.0,2.0,13,1,13.0,6,46.0,0,0,2,0,1,0,1,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
327,24-25-prem-liverpool-vs-crystal-palace,69,0,0,3,0.72,0.04,1,2,1,3,38,16,89.0,1.0,0,0,0.0,1,100.0,3,0,2,0,0,0,0,7,6,6,60.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,38
194,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,30,13,76.0,0.0,1,0,0.0,1,33.0,1,0,1,0,11,6,0,4,1,1,100.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,38
205,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.01,0,1,0,1,54,35,80.0,0.0,6,0,0.0,4,67.0,1,2,7,0,0,0,1,4,3,4,57.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,38
320,24-25-prem-liverpool-vs-crystal-palace,21,0,0,0,0.0,0.01,0,0,0,0,33,26,100.0,0.0,2,0,0.0,0,0.0,0,3,2,0,1,1,0,3,1,2,67.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,38
324,24-25-prem-liverpool-vs-crystal-palace,90,0,0,1,0.05,0.05,0,0,0,1,82,60,95.0,1.0,8,1,50.0,2,100.0,1,0,6,0,2,1,1,3,6,2,33.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,38
316,24-25-prem-liverpool-vs-crystal-palace,29,0,0,1,0.51,0.03,1,0,1,2,10,4,100.0,1.0,0,1,100.0,0,0.0,1,1,1,0,0,0,0,3,1,1,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,38
203,24-25-prem-liverpool-vs-crystal-palace,79,0,0,1,0.02,0.01,0,1,0,3,45,20,77.0,1.0,4,0,0.0,1,100.0,2,0,5,0,4,2,1,5,6,4,44.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,38
313,24-25-prem-liverpool-vs-crystal-palace,45,0,0,0,0.0,0.02,0,0,0,2,56,41,87.0,0.0,5,0,0.0,1,100.0,0,0,5,0,1,0,0,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
336,24-25-prem-liverpool-vs-crystal-palace,61,0,0,1,0.05,0.1,0,0,0,3,45,32,86.0,2.0,3,0,0.0,3,100.0,0,0,6,1,0,0,4,2,5,1,20.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,38
645,24-25-prem-liverpool-vs-crystal-palace,28,0,0,1,0.08,0.01,1,0,0,1,16,9,75.0,0.0,5,0,0.0,0,0.0,3,0,0,0,0,0,1,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
211,24-25-prem-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.01,0,0,0,1,42,18,75.0,0.0,4,0,0.0,1,25.0,1,2,6,1,3,2,1,3,7,3,33.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,38
335,24-25-prem-liverpool-vs-crystal-palace,85,0,0,0,0.0,0.05,0,0,0,1,81,57,90.0,0.0,8,0,0.0,3,75.0,0,0,6,0,1,0,1,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
317,24-25-prem-liverpool-vs-crystal-palace,28,0,0,2,0.34,0.0,0,0,1,3,23,9,64.0,0.0,2,0,0.0,0,0.0,0,1,1,0,0,0,0,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
