player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
364,24-25-prem-manchester-united-vs-aston-villa,90,1,0,2,0.41,0.19,1,0,0,8,65,47,90.0,2.0,1,1,100.0,2,100.0,2,0,6,1,1,0,1,4,3,3,50.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,38
366,24-25-prem-manchester-united-vs-aston-villa,90,0,1,5,0.3,0.54,1,0,0,6,110,79,92.0,3.0,19,0,0.0,4,100.0,3,0,10,0,0,0,1,7,8,6,43.0,1,100.0,1,4,0,0,0.0,0.0,0,0,0,38
368,24-25-prem-manchester-united-vs-aston-villa,90,0,0,4,0.18,0.09,2,0,0,5,105,73,82.0,2.0,12,0,0.0,8,80.0,2,1,11,0,1,1,3,8,7,4,44.0,4,67.0,1,2,0,0,0.0,0.0,0,0,0,38
370,24-25-prem-manchester-united-vs-aston-villa,24,1,0,3,0.94,0.05,1,0,0,2,22,10,77.0,3.0,1,1,50.0,2,100.0,0,0,1,1,1,0,1,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
367,24-25-prem-manchester-united-vs-aston-villa,90,0,0,0,0.0,0.0,0,0,0,0,29,13,62.0,0.0,0,0,0.0,4,33.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.04,0.04,0,13,4,38
658,24-25-prem-manchester-united-vs-aston-villa,66,0,0,2,0.13,0.01,0,0,0,2,63,44,92.0,1.0,4,0,0.0,1,33.0,0,3,7,0,3,3,0,3,2,2,67.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,38
766,24-25-prem-manchester-united-vs-aston-villa,90,0,0,1,0.05,0.14,0,0,0,7,89,60,91.0,3.0,7,0,0.0,2,100.0,1,0,3,0,1,1,0,4,4,4,50.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,38
32,24-25-prem-manchester-united-vs-aston-villa,90,0,0,1,0.06,0.01,1,2,0,3,66,25,64.0,0.0,5,0,0.0,0,0.0,2,1,9,0,4,3,0,9,4,7,70.0,2,67.0,1,2,0,0,0.0,0.0,0,0,0,38
376,24-25-prem-manchester-united-vs-aston-villa,90,0,0,0,0.0,0.02,0,0,0,0,71,61,95.0,0.0,8,0,0.0,1,33.0,0,1,6,0,1,1,0,3,1,0,0.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,38
377,24-25-prem-manchester-united-vs-aston-villa,90,0,0,0,0.0,0.01,0,0,0,1,70,56,90.0,0.0,5,0,0.0,3,75.0,1,0,1,0,3,3,0,9,2,2,67.0,7,88.0,0,1,0,0,0.0,0.0,0,0,0,38
594,24-25-prem-manchester-united-vs-aston-villa,20,0,0,0,0.0,0.13,0,0,0,2,16,8,89.0,2.0,0,0,0.0,1,100.0,3,0,1,0,1,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
233,24-25-prem-manchester-united-vs-aston-villa,63,0,0,0,0.0,0.02,0,1,0,1,33,23,82.0,1.0,5,0,0.0,0,0.0,2,0,1,0,0,0,0,6,1,4,100.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,38
375,24-25-prem-manchester-united-vs-aston-villa,81,0,0,1,0.1,0.24,1,0,0,7,19,6,60.0,2.0,2,1,100.0,0,0.0,0,1,2,0,0,0,1,4,5,1,50.0,3,43.0,1,0,0,0,0.0,0.0,0,0,0,38
382,24-25-prem-manchester-united-vs-aston-villa,66,0,0,4,0.74,0.08,3,0,1,7,51,31,91.0,1.0,2,2,50.0,1,100.0,0,0,0,0,1,0,1,1,4,1,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,38
42,24-25-prem-manchester-united-vs-aston-villa,84,0,0,0,0.0,0.02,0,1,0,0,39,27,87.0,0.0,2,0,0.0,1,50.0,0,0,8,0,1,0,0,8,4,6,75.0,2,50.0,5,2,0,0,0.0,0.0,0,0,0,38
371,24-25-prem-manchester-united-vs-aston-villa,24,0,0,1,0.02,0.0,1,0,0,1,27,18,86.0,0.0,1,0,0.0,2,67.0,1,1,1,1,2,0,1,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,38
369,24-25-prem-manchester-united-vs-aston-villa,25,0,0,1,0.02,0.0,0,0,0,1,17,10,91.0,0.0,0,0,0.0,0,0.0,1,0,3,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
51,24-25-prem-manchester-united-vs-aston-villa,45,0,0,0,0.0,0.0,0,0,0,0,28,11,44.0,0.0,0,0,0.0,9,39.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,2,2.1,0.1,0,11,9,38
378,24-25-prem-manchester-united-vs-aston-villa,45,0,0,0,0.0,0.43,0,0,0,2,21,17,94.0,0.0,1,1,100.0,0,0.0,1,0,3,0,0,0,1,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
57,24-25-prem-manchester-united-vs-aston-villa,28,0,0,2,0.18,0.01,0,0,0,3,25,15,94.0,1.0,1,0,0.0,1,100.0,1,1,0,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
47,24-25-prem-manchester-united-vs-aston-villa,45,0,0,0,0.0,0.0,0,0,0,0,30,15,71.0,0.0,0,0,0.0,4,40.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,0.74,0.74,0,15,4,38
44,24-25-prem-manchester-united-vs-aston-villa,90,0,0,0,0.0,0.0,0,0,0,0,28,18,90.0,0.0,0,0,0.0,0,0.0,0,2,0,1,4,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
