player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
162,24-25-prem-nottingham-forest-vs-chelsea,90,1,0,1,0.58,0.01,1,0,0,1,64,50,89.0,0.0,6,0,0.0,2,40.0,0,1,2,0,6,2,0,3,2,0,0.0,3,100.0,0,2,0,0,0.0,0.0,0,0,0,38
185,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,44,9,30.0,0.0,0,0,0.0,3,13.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.12,0.12,0,9,3,38
187,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,76,51,88.0,0.0,11,0,0.0,5,50.0,0,1,3,0,12,8,0,5,2,1,50.0,4,80.0,1,0,0,0,0.0,0.0,0,0,0,38
157,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.03,0,0,0,0,43,28,85.0,0.0,3,0,0.0,0,0.0,3,0,6,0,3,1,0,5,2,5,71.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,38
177,24-25-prem-nottingham-forest-vs-chelsea,86,0,0,1,0.08,0.08,0,3,0,2,52,27,75.0,0.0,6,0,0.0,0,0.0,2,1,7,0,0,0,0,6,4,6,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,38
163,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.02,0,0,0,0,61,30,91.0,0.0,4,0,0.0,0,0.0,3,0,3,1,7,6,1,5,6,5,50.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,38
560,24-25-prem-nottingham-forest-vs-chelsea,78,0,1,2,0.35,0.01,0,0,2,3,26,12,75.0,1.0,0,0,0.0,0,0.0,0,0,3,0,0,0,0,1,5,1,25.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
182,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,1,0.01,0.34,1,0,0,5,51,25,78.0,2.0,3,1,20.0,1,50.0,2,0,1,0,2,0,1,3,4,3,43.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
573,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,1,0.08,0.04,0,0,0,2,62,46,94.0,1.0,4,0,0.0,4,80.0,1,0,5,0,6,3,0,6,1,4,80.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,38
172,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,69,46,87.0,0.0,6,0,0.0,1,33.0,0,0,5,2,2,1,0,1,3,1,25.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,38
386,24-25-prem-nottingham-forest-vs-chelsea,62,0,0,0,0.0,0.01,0,0,0,0,32,20,87.0,1.0,2,0,0.0,0,0.0,0,0,2,0,2,2,0,2,2,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
168,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,37,19,70.0,1.0,4,0,0.0,1,25.0,0,0,3,0,0,0,0,3,3,3,60.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,38
443,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,0,0.0,0.18,0,0,0,0,39,22,71.0,1.0,0,0,0.0,3,25.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.11,0.11,1,22,3,38
436,24-25-prem-nottingham-forest-vs-chelsea,90,0,0,1,0.03,0.01,0,0,0,2,77,54,83.0,1.0,18,0,0.0,7,50.0,0,1,5,0,3,1,0,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
422,24-25-prem-nottingham-forest-vs-chelsea,83,0,0,1,0.02,0.34,0,1,0,1,58,23,77.0,1.0,9,2,33.0,0,0.0,1,0,3,0,3,1,0,2,4,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,38
