player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
21,24-25-prem-southampton-vs-arsenal,63,1,0,1,0.15,0.22,1,1,0,2,62,48,98.0,1.0,6,0,0.0,2,100.0,0,1,2,0,4,3,0,4,1,2,67.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,38
24,24-25-prem-southampton-vs-arsenal,90,0,1,0,0.0,0.72,0,0,0,3,77,59,89.0,2.0,10,1,33.0,0,0.0,2,0,4,0,1,1,4,5,7,2,33.0,3,50.0,0,1,0,0,0.0,0.0,0,0,0,38
12,24-25-prem-southampton-vs-arsenal,75,0,0,2,0.04,0.13,1,5,0,4,53,35,90.0,4.0,1,0,0.0,1,100.0,0,0,1,0,0,0,3,5,7,5,45.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
9,24-25-prem-southampton-vs-arsenal,71,0,0,4,0.89,0.23,3,1,1,5,45,21,84.0,3.0,0,2,33.0,0,0.0,0,0,2,0,0,0,0,4,3,3,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,38
16,24-25-prem-southampton-vs-arsenal,90,0,0,2,0.16,0.07,1,0,1,4,73,50,91.0,3.0,10,0,0.0,3,75.0,0,0,8,1,4,3,2,2,5,0,0.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,38
20,24-25-prem-southampton-vs-arsenal,90,0,0,1,0.03,0.05,1,0,0,0,75,63,95.0,1.0,14,0,0.0,0,0.0,0,0,4,1,2,2,1,3,2,2,67.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,38
25,24-25-prem-southampton-vs-arsenal,70,0,0,4,0.38,0.25,0,0,0,2,87,61,95.0,1.0,5,2,67.0,2,67.0,0,1,2,0,3,1,0,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,38
623,24-25-prem-southampton-vs-arsenal,90,0,1,1,0.14,0.42,0,1,0,1,56,31,86.0,3.0,3,3,60.0,2,67.0,1,2,5,1,0,0,5,2,9,2,18.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,38
13,24-25-prem-southampton-vs-arsenal,15,1,0,1,0.06,0.03,1,1,0,1,22,13,72.0,0.0,3,0,0.0,1,100.0,0,0,1,0,0,0,1,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
633,24-25-prem-southampton-vs-arsenal,90,0,0,3,0.27,0.01,0,0,1,4,24,9,75.0,1.0,3,0,0.0,0,0.0,2,0,4,0,1,1,1,5,6,4,40.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,38
473,24-25-prem-southampton-vs-arsenal,70,1,0,2,0.33,0.02,1,0,0,3,30,13,76.0,0.0,0,0,0.0,0,0.0,1,0,2,0,1,1,1,6,8,4,57.0,2,29.0,2,0,0,0,0.0,0.0,0,0,0,38
15,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,22,10,77.0,0.0,0,0,0.0,2,40.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.99,0.01,0,10,2,38
186,24-25-prem-southampton-vs-arsenal,63,0,0,1,0.11,0.01,0,1,0,2,30,15,100.0,0.0,0,1,50.0,0,0.0,0,0,2,0,0,0,1,6,2,6,75.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,38
462,24-25-prem-southampton-vs-arsenal,79,0,0,2,0.09,0.01,0,5,0,6,36,14,88.0,0.0,0,0,0.0,0,0.0,1,0,6,1,0,0,0,10,4,8,73.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,38
474,24-25-prem-southampton-vs-arsenal,90,0,0,1,0.01,0.01,0,0,0,0,46,18,86.0,0.0,4,0,0.0,0,0.0,2,1,4,3,5,4,0,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
23,24-25-prem-southampton-vs-arsenal,27,0,1,1,0.1,0.02,0,0,0,2,18,12,100.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
8,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.03,0,0,0,0,75,59,95.0,0.0,9,0,0.0,2,100.0,0,0,5,1,5,2,1,4,7,3,50.0,1,20.0,0,0,0,0,0.0,0.0,0,0,0,38
475,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.04,0,0,0,1,61,42,91.0,0.0,2,0,0.0,4,57.0,0,2,3,2,9,5,1,3,1,1,50.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,38
597,24-25-prem-southampton-vs-arsenal,20,0,0,0,0.0,0.01,0,0,0,1,21,10,91.0,0.0,2,0,0.0,0,0.0,0,0,2,0,1,0,0,3,0,2,100.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,38
477,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.0,0,1,0,1,52,35,92.0,0.0,1,0,0.0,0,0.0,1,0,0,1,7,5,0,7,2,4,80.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,38
17,24-25-prem-southampton-vs-arsenal,27,0,0,2,0.07,0.42,0,1,0,5,27,16,84.0,2.0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,2,3,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
188,24-25-prem-southampton-vs-arsenal,86,0,0,0,0.0,0.01,0,1,0,0,33,23,88.0,0.0,3,0,0.0,1,100.0,0,0,4,0,2,1,1,3,3,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
518,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.01,0,1,0,0,63,47,96.0,0.0,5,0,0.0,0,0.0,0,1,3,3,2,0,0,3,3,3,60.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,38
718,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.0,0,1,0,0,41,18,90.0,0.0,3,0,0.0,2,67.0,1,0,1,0,6,3,1,3,3,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
798,24-25-prem-southampton-vs-arsenal,79,0,0,1,0.05,0.01,1,3,0,4,30,7,50.0,0.0,2,0,0.0,1,50.0,0,0,5,0,0,0,0,4,5,4,44.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
14,24-25-prem-southampton-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,40,14,44.0,0.0,0,0,0.0,7,28.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,2,1.41,0.59,0,14,7,38
471,24-25-prem-southampton-vs-arsenal,11,0,0,0,0.0,0.0,0,0,0,0,8,2,33.0,0.0,1,0,0.0,0,0.0,1,0,0,0,1,0,1,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
27,24-25-prem-southampton-vs-arsenal,11,0,0,0,0.0,0.01,0,0,0,0,14,4,67.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,3,2,2,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,38
4,24-25-prem-southampton-vs-arsenal,19,0,0,1,0.14,0.01,0,0,0,3,10,5,71.0,1.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,4,0,0.0,1,20.0,0,0,0,0,0.0,0.0,0,0,0,38
470,24-25-prem-southampton-vs-arsenal,20,0,0,0,0.0,0.0,0,1,0,1,14,4,67.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,4,6,1,25.0,3,50.0,0,0,0,0,0.0,0.0,0,0,0,38
719,24-25-prem-southampton-vs-arsenal,4,0,0,0,0.0,0.0,0,0,0,0,6,6,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
