player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
126,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,2,0,3,0.59,0.02,3,0,0,6,53,34,83.0,1.0,2,0,0.0,0,0.0,1,0,2,0,0,0,0,4,2,3,75.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,38
714,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,1,0,3,0.14,0.16,3,0,1,4,31,18,95.0,3.0,1,2,67.0,0,0.0,1,0,0,0,0,0,0,4,1,2,67.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,38
149,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,1,0.02,0.12,0,0,0,3,69,39,89.0,2.0,7,1,33.0,1,100.0,6,2,5,0,2,2,2,9,6,6,55.0,3,75.0,0,2,0,0,0.0,0.0,0,0,0,38
115,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,3,0.07,0.03,0,1,0,0,53,35,95.0,1.0,3,0,0.0,1,100.0,3,2,10,0,0,0,1,7,5,6,67.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,38
144,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,1,0.08,0.06,0,0,0,4,93,77,92.0,0.0,12,0,0.0,3,75.0,0,0,7,1,2,0,0,2,1,1,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,38
147,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,4,0.23,0.04,0,0,1,7,125,106,94.0,0.0,23,0,0.0,2,50.0,0,1,4,0,2,1,0,6,1,0,0.0,6,100.0,0,1,0,0,0.0,0.0,0,0,0,38
136,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,0,1,0,0.0,0.06,0,2,0,2,41,25,89.0,1.0,1,0,0.0,1,100.0,1,1,4,0,0,0,1,4,4,4,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,38
595,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,76,0,0,1,0.08,0.28,0,0,0,4,33,15,79.0,3.0,4,5,83.0,0,0.0,2,0,2,0,0,0,0,4,2,4,80.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,38
128,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,59,0,0,0,0.0,0.02,0,2,0,0,54,41,93.0,1.0,5,0,0.0,2,67.0,1,0,2,0,0,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
135,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,89,0,0,2,0.12,0.32,1,5,0,12,54,21,75.0,2.0,1,1,17.0,1,50.0,0,0,4,0,0,0,0,6,7,6,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
629,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,14,1,0,1,0.79,0.01,1,0,0,1,8,4,100.0,1.0,0,1,50.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
146,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,32,24,86.0,0.0,0,0,0.0,2,33.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.55,0.55,0,24,2,38
768,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,83,0,0,2,0.7,0.15,1,2,1,5,37,9,64.0,1.0,1,0,0.0,1,100.0,1,0,1,0,3,2,1,7,9,7,50.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,38
600,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,0,0,1,0.02,0.23,0,0,0,1,28,16,84.0,1.0,0,1,33.0,0,0.0,0,0,2,0,1,0,0,3,1,2,67.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,38
82,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,66,1,0,1,0.79,0.0,1,0,0,1,16,2,40.0,0.0,0,0,0.0,0,0.0,0,1,1,2,1,1,2,2,6,0,0.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,38
480,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,66,0,0,0,0.0,0.02,0,1,0,0,27,12,86.0,0.0,2,0,0.0,1,100.0,1,4,6,0,3,0,1,2,5,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,38
145,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,31,0,0,0,0.0,0.02,0,0,0,0,33,24,92.0,0.0,5,0,0.0,0,0.0,1,1,0,0,0,0,0,3,0,3,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,38
113,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,0,0,3,0.09,0.01,0,0,0,3,20,6,60.0,0.0,0,1,33.0,0,0.0,0,0,1,0,0,0,0,2,1,1,50.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,38
495,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.06,0,1,0,0,60,20,57.0,1.0,9,0,0.0,3,27.0,3,2,4,0,1,1,2,7,4,6,67.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,38
491,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,1,0.55,0.0,0,0,1,4,26,9,53.0,0.0,2,0,0.0,0,0.0,0,0,3,0,2,0,3,1,4,1,20.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,38
484,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,24,0,0,0,0.0,0.0,0,0,0,0,16,12,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,4,2,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,38
508,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,38,24,80.0,0.0,0,0,0.0,5,56.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,4,4.09,0.09,0,24,5,38
489,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,34,18,90.0,1.0,2,0,0.0,0,0.0,0,1,2,1,5,1,0,2,7,1,17.0,1,33.0,0,3,0,0,0.0,0.0,0,0,0,38
612,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,0,0,0,0.0,0.01,0,0,0,0,13,6,75.0,0.0,2,0,0.0,0,0.0,1,0,1,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
482,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,24,0,0,0,0.0,0.0,0,0,0,0,11,8,80.0,0.0,1,0,0.0,0,0.0,1,0,3,0,0,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
499,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,45,0,0,0,0.0,0.01,0,0,0,0,20,8,80.0,0.0,1,0,0.0,0,0.0,0,1,3,0,0,0,0,2,6,1,20.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,38
767,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,64,33,85.0,0.0,1,0,0.0,3,50.0,0,1,0,2,16,6,0,3,5,2,50.0,1,25.0,2,1,0,0,0.0,0.0,0,0,0,38
497,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,24,0,0,0,0.0,0.0,0,0,0,0,8,2,40.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,3,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,38
506,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,66,0,0,0,0.0,0.0,0,0,0,0,35,23,88.0,0.0,1,0,0.0,2,40.0,0,0,2,2,3,3,0,1,3,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,38
505,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,40,19,79.0,0.0,1,0,0.0,0,0.0,0,1,2,0,1,1,1,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
134,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,1,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
504,24-25-prem-tottenham-hotspur-vs-brighton-hove-albion,7,0,0,0,0.0,0.0,0,0,0,0,4,2,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,38
