player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
300,24-25-prem-crystal-palace-vs-leicester-city,76,0,2,0,0.0,0.79,0,2,0,2,48,20,71.0,4.0,5,0,0.0,1,100.0,1,1,7,0,0,0,1,7,12,7,44.0,0,0.0,2,4,0,0,0.0,0.0,0,0,0,4
207,24-25-prem-crystal-palace-vs-leicester-city,90,2,0,4,1.36,0.01,2,0,0,4,30,12,75.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,7,0,0.0,2,40.0,0,2,0,0,0.0,0.0,0,0,0,4
210,24-25-prem-crystal-palace-vs-leicester-city,89,0,1,1,0.04,0.66,1,1,0,3,89,49,78.0,4.0,9,3,38.0,1,20.0,0,1,4,0,1,1,0,3,4,1,20.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,4
306,24-25-prem-crystal-palace-vs-leicester-city,90,1,0,1,0.64,0.05,1,2,0,4,25,11,65.0,1.0,2,0,0.0,0,0.0,0,0,0,0,1,0,0,6,3,2,67.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,4
216,24-25-prem-crystal-palace-vs-leicester-city,90,0,0,0,0.0,0.11,0,0,0,0,87,59,83.0,2.0,15,1,100.0,8,89.0,3,1,12,0,0,0,3,7,8,6,46.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,4
199,24-25-prem-crystal-palace-vs-leicester-city,90,0,0,3,0.46,0.34,0,1,1,6,77,52,91.0,3.0,5,1,33.0,5,100.0,1,0,7,0,0,0,0,7,4,7,64.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,4
211,24-25-prem-crystal-palace-vs-leicester-city,81,0,0,2,0.15,0.02,0,0,1,4,82,47,87.0,2.0,3,0,0.0,0,0.0,2,1,7,1,2,1,3,5,4,3,43.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,4
298,24-25-prem-crystal-palace-vs-leicester-city,72,1,0,3,0.41,0.01,1,1,0,3,34,12,75.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,2,5,2,29.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,4
650,24-25-prem-crystal-palace-vs-leicester-city,90,0,0,0,0.0,0.04,0,0,0,1,82,63,85.0,1.0,8,0,0.0,11,79.0,2,1,1,0,0,0,1,8,4,4,67.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,4
309,24-25-prem-crystal-palace-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,44,26,81.0,0.0,4,0,0.0,0,0.0,1,1,9,0,1,0,0,3,3,3,75.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,4
