player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
15,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,48,20,63.0,0.0,0,0,0.0,9,43.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,0.28,0.28,1,20,9,4
3,24-25-prem-tottenham-hotspur-vs-arsenal,90,1,0,1,0.23,0.0,1,0,0,2,40,20,80.0,0.0,4,0,0.0,2,33.0,0,1,0,2,8,1,1,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,4
9,24-25-prem-tottenham-hotspur-vs-arsenal,80,0,0,1,0.17,0.14,1,6,1,8,44,14,70.0,2.0,2,1,33.0,1,100.0,3,0,6,0,3,0,0,11,6,10,67.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,4
17,24-25-prem-tottenham-hotspur-vs-arsenal,86,0,1,1,0.07,0.35,0,2,0,5,45,18,82.0,2.0,1,3,43.0,0,0.0,2,0,3,0,1,0,2,5,6,5,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,4
495,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.07,0,0,0,1,85,38,84.0,4.0,9,3,33.0,2,33.0,2,0,5,1,5,2,3,7,5,6,60.0,1,50.0,2,0,0,0,0.0,0.0,0,0,0,4
4,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,2,0.17,0.0,2,1,0,3,51,17,63.0,0.0,2,0,0.0,0,0.0,1,1,2,0,5,4,1,12,9,4,50.0,8,62.0,1,1,0,0,0.0,0.0,0,0,0,4
498,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,1,0.04,0.03,1,0,0,2,87,70,96.0,1.0,14,0,0.0,1,33.0,2,1,6,1,3,1,1,5,3,3,60.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,4
20,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.07,0,0,0,0,35,17,81.0,0.0,4,0,0.0,1,50.0,1,2,3,1,4,2,0,7,0,5,100.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,4
494,24-25-prem-tottenham-hotspur-vs-arsenal,80,0,0,0,0.0,0.35,0,1,0,3,69,45,94.0,2.0,5,4,36.0,3,75.0,1,2,3,0,0,0,1,4,2,4,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,4
6,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,1,0.05,0.01,0,1,0,3,49,12,52.0,0.0,4,0,0.0,0,0.0,2,1,5,1,3,1,1,4,8,4,50.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,4
24,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.01,0,0,0,0,48,26,84.0,0.0,4,0,0.0,2,50.0,1,2,0,0,2,0,1,4,3,3,60.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,4
18,24-25-prem-tottenham-hotspur-vs-arsenal,90,0,0,0,0.0,0.01,0,0,0,1,45,34,97.0,0.0,2,0,0.0,2,67.0,1,0,3,0,3,1,0,5,3,4,67.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,4
