player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
557,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,1,0,2,0.55,0.31,1,2,0,2,46,27,87.0,2.0,3,1,50.0,1,100.0,1,2,6,0,0,0,0,5,2,3,60.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,4
420,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,45,0,1,1,0.09,0.08,0,1,0,2,22,12,92.0,5.0,2,0,0.0,1,100.0,0,0,2,0,1,0,0,5,1,5,83.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,4
392,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,45,1,0,3,0.51,0.2,1,2,1,5,25,12,80.0,2.0,4,0,0.0,0,0.0,0,0,2,0,1,1,0,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,4
398,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,0,0,2,0.21,0.39,0,5,1,5,59,30,97.0,2.0,4,1,50.0,0,0.0,0,1,2,0,0,0,0,10,4,10,71.0,0,0.0,5,0,0,0,0.0,0.0,0,0,0,4
415,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,1,0,2,0.07,0.01,1,0,0,1,65,43,86.0,0.0,6,0,0.0,4,57.0,0,1,1,0,7,4,0,5,3,1,100.0,4,57.0,1,0,0,0,0.0,0.0,0,0,0,4
394,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,87,0,1,1,0.03,0.04,1,2,0,0,50,34,87.0,1.0,7,0,0.0,1,50.0,0,0,2,1,0,0,3,5,5,5,50.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,4
413,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,41,21,68.0,0.0,0,0,0.0,4,29.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,1.26,0.26,1,21,4,4
399,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,0,0,0,0.0,0.03,0,2,0,0,103,79,94.0,1.0,11,0,0.0,0,0.0,2,0,4,0,2,0,6,6,7,4,36.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,4
395,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,90,0,0,1,0.03,0.02,0,0,0,3,79,68,97.0,0.0,1,0,0.0,1,50.0,2,0,8,0,3,1,0,5,2,2,100.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,4
566,24-25-prem-wolverhampton-wanderers-vs-newcastle-united,86,0,1,2,0.17,0.2,1,0,1,2,21,3,23.0,1.0,2,1,100.0,0,0.0,0,0,0,0,0,0,1,3,7,0,0.0,3,43.0,0,3,0,0,0.0,0.0,0,0,0,4
