player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
54,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,0,2,0,0.0,0.6,0,2,0,8,50,27,82.0,3.0,2,0,0.0,0,0.0,1,1,6,0,1,1,3,3,11,3,23.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,5
44,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,1,0,1,0.21,0.02,1,1,0,2,69,56,97.0,0.0,8,0,0.0,0,0.0,2,1,5,0,1,0,1,5,2,5,71.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,5
57,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,0,1,0,0.0,0.38,0,2,0,1,82,51,85.0,3.0,14,3,33.0,2,67.0,2,0,2,0,0,0,0,8,5,8,62.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,5
58,24-25-prem-aston-villa-vs-wolverhampton-wanderers,89,1,0,3,0.34,0.06,2,0,1,5,23,8,80.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,3,3,2,40.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,5
541,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,1,0,1,0.03,0.22,1,2,0,3,57,30,88.0,3.0,4,4,57.0,1,100.0,0,1,4,0,1,1,4,5,11,5,31.0,0,0.0,3,3,0,0,0.0,0.0,0,0,0,5
47,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,35,22,85.0,0.0,0,0,0.0,1,20.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,1,1.12,0.12,1,22,1,5
558,24-25-prem-aston-villa-vs-wolverhampton-wanderers,82,0,0,0,0.0,0.01,0,0,0,2,64,48,96.0,1.0,3,0,0.0,8,80.0,1,3,0,2,5,3,0,3,3,1,25.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,5
52,24-25-prem-aston-villa-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,1,0,0,63,50,89.0,0.0,11,0,0.0,2,67.0,0,0,1,0,2,0,0,4,2,2,100.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,5
553,24-25-prem-aston-villa-vs-wolverhampton-wanderers,82,0,0,0,0.0,0.02,0,0,0,0,55,42,95.0,0.0,1,1,100.0,0,0.0,2,2,5,0,1,0,1,5,3,5,63.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,5
38,24-25-prem-aston-villa-vs-wolverhampton-wanderers,28,1,0,2,1.03,0.0,1,0,1,2,15,4,100.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,1,3,6,3,43.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,5
