player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
201,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,55,18,49.0,0.0,0,0,0.0,6,24.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,7,0,1.9,1.9,3,18,6,5
366,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,4,0.36,0.14,0,2,1,4,113,60,73.0,2.0,11,0,0.0,2,22.0,3,1,6,0,1,0,0,8,2,7,78.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,5
369,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.23,0,2,0,1,77,53,91.0,3.0,4,0,0.0,2,50.0,1,1,8,0,2,2,1,6,3,4,80.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,5
383,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,51,34,83.0,0.0,0,0,0.0,1,14.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.52,0.52,0,34,1,5
594,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.07,0,3,0,0,100,54,81.0,0.0,15,0,0.0,2,33.0,2,1,7,0,5,3,2,10,10,7,44.0,3,75.0,1,4,0,0,0.0,0.0,0,0,0,5
593,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,3,0.54,0.0,3,0,1,3,94,78,94.0,0.0,3,0,0.0,1,20.0,0,2,2,0,2,1,0,5,3,1,50.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,5
194,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,51,24,77.0,0.0,2,0,0.0,1,20.0,2,2,3,0,5,2,0,5,3,5,83.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
200,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,52,30,79.0,0.0,6,0,0.0,7,58.0,0,2,5,1,6,2,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
650,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,1,0.02,0.0,0,0,0,1,41,22,79.0,0.0,1,0,0.0,5,83.0,0,2,4,0,6,2,1,4,3,1,33.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,5
210,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.08,0,0,0,1,46,16,62.0,1.0,2,2,67.0,1,20.0,2,1,6,1,2,1,1,6,3,4,67.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,5
585,24-25-prem-crystal-palace-vs-manchester-united,45,0,0,2,0.31,0.12,1,1,1,5,25,10,71.0,1.0,1,0,0.0,0,0.0,0,1,2,0,1,1,0,4,2,3,75.0,1,50.0,2,0,0,0,0.0,0.0,0,0,0,5
199,24-25-prem-crystal-palace-vs-manchester-united,89,0,0,2,0.5,0.13,1,2,2,3,55,19,73.0,2.0,2,2,50.0,0,0.0,2,2,7,0,1,0,3,7,13,7,41.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,5
370,24-25-prem-crystal-palace-vs-manchester-united,76,0,0,0,0.0,0.35,0,0,0,2,77,52,88.0,3.0,10,2,22.0,3,50.0,0,1,4,0,0,0,1,1,6,1,20.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
389,24-25-prem-crystal-palace-vs-manchester-united,61,0,0,1,0.1,0.22,0,0,0,3,23,15,94.0,2.0,1,0,0.0,0,0.0,0,1,2,0,1,1,0,3,3,0,0.0,3,50.0,0,0,0,0,0.0,0.0,0,0,0,5
205,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.02,0,0,0,0,56,23,66.0,0.0,4,0,0.0,1,25.0,2,1,5,1,1,1,1,7,4,7,64.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,5
380,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,1,0.21,0.01,1,0,1,1,119,96,86.0,0.0,7,0,0.0,1,14.0,0,1,3,2,0,0,0,3,4,0,0.0,3,60.0,0,2,0,0,0.0,0.0,0,0,0,5
211,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,0,0.0,0.01,0,0,0,0,46,19,76.0,1.0,3,1,100.0,1,50.0,1,1,4,0,5,1,0,5,6,3,75.0,2,29.0,0,0,0,0,0.0,0.0,0,0,0,5
378,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,1,0.04,0.14,0,0,0,2,57,38,90.0,0.0,12,0,0.0,1,100.0,0,1,3,0,0,0,0,1,1,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
11,24-25-prem-crystal-palace-vs-manchester-united,66,0,0,2,0.15,0.01,1,0,0,1,19,8,89.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,4,2,3,100.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,5
206,24-25-prem-crystal-palace-vs-manchester-united,45,0,0,1,0.03,0.0,0,0,0,1,17,9,64.0,1.0,3,0,0.0,1,33.0,0,0,2,0,1,0,0,1,0,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,5
372,24-25-prem-crystal-palace-vs-manchester-united,90,0,0,3,0.47,0.01,2,0,2,6,40,19,95.0,0.0,0,0,0.0,0,0.0,1,0,4,0,1,0,0,1,7,1,13.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
364,24-25-prem-crystal-palace-vs-manchester-united,76,0,0,2,0.05,0.11,0,0,0,9,55,27,82.0,2.0,1,1,50.0,1,100.0,1,0,2,0,0,0,0,1,7,1,13.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
385,24-25-prem-crystal-palace-vs-manchester-united,29,0,0,0,0.0,0.05,0,0,0,0,14,6,60.0,0.0,2,0,0.0,0,0.0,0,0,0,0,1,1,0,2,1,1,100.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,5
652,24-25-prem-crystal-palace-vs-manchester-united,14,0,0,0,0.0,0.0,0,0,0,0,20,13,93.0,0.0,2,0,0.0,0,0.0,0,0,2,0,0,0,0,4,3,3,50.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,5
207,24-25-prem-crystal-palace-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,1,11,4,57.0,1.0,1,0,0.0,0,0.0,0,0,1,0,1,1,1,3,4,0,0.0,3,60.0,0,1,0,0,0.0,0.0,0,0,0,5
216,24-25-prem-crystal-palace-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,19,12,80.0,0.0,1,0,0.0,0,0.0,0,1,1,0,0,0,0,1,1,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
375,24-25-prem-crystal-palace-vs-manchester-united,14,0,0,0,0.0,0.01,0,0,0,2,5,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
203,24-25-prem-crystal-palace-vs-manchester-united,24,0,0,1,0.03,0.0,1,0,0,1,13,6,86.0,0.0,0,0,0.0,1,50.0,0,0,1,0,0,0,0,1,3,1,25.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,5
214,24-25-prem-crystal-palace-vs-manchester-united,1,0,0,0,0.0,0.05,0,1,0,2,4,1,100.0,1.0,0,1,100.0,0,0.0,0,0,1,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
