player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
247,24-25-prem-fulham-vs-newcastle-united,90,0,1,3,0.35,0.23,2,1,1,5,49,26,87.0,5.0,6,0,0.0,1,50.0,0,1,2,0,1,0,0,2,4,2,40.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
19,24-25-prem-fulham-vs-newcastle-united,84,1,0,3,0.41,0.02,1,0,0,4,40,25,89.0,0.0,4,0,0.0,0,0.0,1,0,0,0,1,0,1,5,3,4,67.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,5
392,24-25-prem-fulham-vs-newcastle-united,90,1,0,4,0.43,0.14,2,0,1,5,51,36,97.0,2.0,2,1,50.0,2,100.0,1,0,1,0,1,0,0,4,2,3,60.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,5
239,24-25-prem-fulham-vs-newcastle-united,74,0,1,1,0.1,0.63,1,1,0,5,38,25,96.0,3.0,2,2,67.0,0,0.0,1,0,3,0,0,0,0,4,5,4,57.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,5
252,24-25-prem-fulham-vs-newcastle-united,74,1,0,4,0.49,0.01,3,0,2,8,26,10,67.0,0.0,3,0,0.0,0,0.0,1,0,3,0,0,0,0,4,9,3,38.0,1,20.0,1,3,0,0,0.0,0.0,0,0,0,5
10,24-25-prem-fulham-vs-newcastle-united,16,1,0,1,0.31,0.05,1,0,0,2,9,4,80.0,1.0,0,0,0.0,0,0.0,2,0,2,0,0,0,0,2,1,2,67.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
191,24-25-prem-fulham-vs-newcastle-united,90,0,0,3,0.06,0.01,1,0,0,2,63,39,81.0,1.0,13,0,0.0,2,22.0,0,2,7,1,7,3,2,2,6,0,0.0,2,33.0,0,0,0,0,0.0,0.0,0,0,0,5
240,24-25-prem-fulham-vs-newcastle-united,67,0,0,2,0.06,0.08,1,0,0,2,41,19,68.0,3.0,3,3,60.0,0,0.0,1,0,3,0,1,0,0,3,2,3,60.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
255,24-25-prem-fulham-vs-newcastle-united,90,0,0,1,0.07,0.02,0,1,0,1,43,21,81.0,1.0,6,1,50.0,1,50.0,0,0,3,0,3,2,1,3,1,1,50.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,5
257,24-25-prem-fulham-vs-newcastle-united,90,0,0,2,0.29,0.02,0,0,0,3,53,29,88.0,0.0,5,0,0.0,0,0.0,1,1,2,0,1,0,1,4,3,4,57.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,5
241,24-25-prem-fulham-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,41,30,97.0,0.0,1,0,0.0,1,100.0,0,0,3,1,6,2,0,2,0,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
622,24-25-prem-fulham-vs-newcastle-united,45,0,0,0,0.0,0.01,0,0,0,2,18,12,100.0,1.0,0,0,0.0,1,100.0,1,2,2,0,1,1,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
248,24-25-prem-fulham-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,36,13,46.0,0.0,0,0,0.0,5,26.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,1.04,0.04,0,13,5,5
402,24-25-prem-fulham-vs-newcastle-united,45,0,1,1,0.03,0.1,0,0,0,1,30,17,85.0,1.0,3,0,0.0,0,0.0,0,0,3,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
251,24-25-prem-fulham-vs-newcastle-united,16,0,1,2,0.16,0.01,1,0,0,2,7,2,67.0,1.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
