player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
298,24-25-prem-leicester-city-vs-everton,89,1,0,3,0.29,0.31,1,5,0,8,76,35,85.0,2.0,3,0,0.0,0,0.0,2,0,7,1,0,0,0,10,7,10,59.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,5
238,24-25-prem-leicester-city-vs-everton,90,0,1,0,0.0,0.16,0,1,0,0,68,37,80.0,2.0,8,1,25.0,3,43.0,2,1,8,0,2,0,0,4,3,4,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
232,24-25-prem-leicester-city-vs-everton,81,1,0,2,0.21,0.06,1,1,1,4,40,24,89.0,4.0,2,1,100.0,0,0.0,0,1,5,0,1,1,2,2,7,2,22.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,5
300,24-25-prem-leicester-city-vs-everton,90,0,0,3,0.08,0.04,1,2,0,4,74,39,75.0,0.0,5,0,0.0,1,50.0,5,2,3,0,0,0,0,15,7,9,69.0,6,67.0,1,1,0,0,0.0,0.0,0,0,0,5
295,24-25-prem-leicester-city-vs-everton,90,0,0,0,0.0,0.02,0,1,0,0,62,26,74.0,1.0,7,1,33.0,0,0.0,3,1,3,1,2,1,1,9,1,7,88.0,2,100.0,3,0,0,0,0.0,0.0,0,0,0,5
230,24-25-prem-leicester-city-vs-everton,90,0,0,4,0.13,0.34,1,2,0,3,60,32,89.0,3.0,8,1,17.0,2,50.0,1,0,6,0,0,0,1,5,6,5,50.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,5
293,24-25-prem-leicester-city-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,38,22,81.0,0.0,0,0,0.0,6,67.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,1.48,0.48,0,22,6,5
296,24-25-prem-leicester-city-vs-everton,90,0,0,0,0.0,0.11,0,0,0,0,98,62,90.0,0.0,10,3,38.0,5,63.0,3,1,9,0,1,0,1,4,7,3,38.0,1,33.0,0,3,0,0,0.0,0.0,0,0,0,5
309,24-25-prem-leicester-city-vs-everton,90,0,0,1,0.02,0.18,0,0,0,0,70,47,89.0,3.0,8,4,57.0,3,100.0,0,0,5,0,0,0,1,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
577,24-25-prem-leicester-city-vs-everton,61,0,0,4,0.47,0.05,1,1,1,6,41,14,82.0,1.0,1,0,0.0,0,0.0,4,1,4,0,0,0,0,7,5,6,55.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,5
