player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
503,24-25-prem-tottenham-hotspur-vs-brentford,90,0,2,1,0.07,0.45,1,1,0,7,48,33,85.0,7.0,2,0,0.0,1,100.0,0,0,3,0,0,0,0,1,5,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
494,24-25-prem-tottenham-hotspur-vs-brentford,88,1,0,3,0.92,1.08,2,7,1,10,87,45,88.0,3.0,8,0,0.0,2,50.0,1,1,4,0,2,0,3,14,9,14,61.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,5
508,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,48,23,88.0,0.0,0,0,0.0,6,75.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,1.54,0.54,2,23,6,5
505,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,1,0.05,0.04,0,1,0,7,93,40,78.0,1.0,3,0,0.0,1,100.0,2,4,9,0,3,3,1,10,5,8,67.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,5
491,24-25-prem-tottenham-hotspur-vs-brentford,70,1,0,6,0.49,0.06,2,0,1,10,34,14,70.0,1.0,2,1,100.0,0,0.0,0,0,2,0,1,1,0,1,4,0,0.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,5
498,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,1,0.07,0.03,1,0,0,2,65,47,87.0,0.0,8,0,0.0,3,60.0,0,3,12,0,4,3,0,2,2,0,0.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,5
82,24-25-prem-tottenham-hotspur-vs-brentford,88,1,0,4,1.61,0.07,3,0,3,8,36,10,53.0,0.0,4,1,100.0,0,0.0,0,0,1,0,1,1,0,4,5,2,33.0,2,67.0,2,1,0,0,0.0,0.0,0,0,0,5
99,24-25-prem-tottenham-hotspur-vs-brentford,90,1,0,3,0.64,0.02,3,0,2,5,47,24,80.0,0.0,2,0,0.0,1,50.0,1,0,3,0,1,1,0,3,4,3,60.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,5
495,24-25-prem-tottenham-hotspur-vs-brentford,88,0,0,2,0.06,0.03,0,0,0,1,67,31,74.0,0.0,11,1,25.0,2,40.0,4,4,5,0,0,0,1,5,4,5,56.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
480,24-25-prem-tottenham-hotspur-vs-brentford,63,0,0,1,0.08,0.02,0,1,0,1,41,25,81.0,0.0,5,0,0.0,2,67.0,2,3,8,0,0,0,1,4,3,3,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,5
98,24-25-prem-tottenham-hotspur-vs-brentford,90,0,1,1,0.02,0.15,1,1,0,2,49,24,86.0,1.0,5,1,100.0,3,75.0,1,1,4,2,1,0,0,4,3,4,57.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
314,24-25-prem-tottenham-hotspur-vs-brentford,87,0,0,0,0.0,0.34,0,1,0,4,41,18,67.0,2.0,3,0,0.0,2,50.0,2,1,6,0,0,0,1,6,3,6,67.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,5
89,24-25-prem-tottenham-hotspur-vs-brentford,79,0,0,1,0.09,0.03,1,3,0,2,61,23,74.0,1.0,3,0,0.0,0,0.0,2,4,5,0,1,0,1,10,6,10,67.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,5
506,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,1,54,38,90.0,0.0,3,0,0.0,0,0.0,1,1,8,0,4,2,0,6,5,2,33.0,4,80.0,0,2,0,0,0.0,0.0,0,0,0,5
492,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,4,0.38,0.11,1,1,0,12,51,21,81.0,3.0,4,1,14.0,2,100.0,0,1,6,0,0,0,2,1,7,1,13.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
94,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,0,61,44,86.0,0.0,4,0,0.0,2,50.0,1,2,5,0,2,0,2,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
111,24-25-prem-tottenham-hotspur-vs-brentford,63,0,0,0,0.0,0.01,0,1,0,0,52,28,74.0,0.0,2,0,0.0,0,0.0,0,2,7,2,2,0,2,3,3,2,40.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,5
106,24-25-prem-tottenham-hotspur-vs-brentford,27,0,0,1,0.06,0.0,1,0,0,2,10,2,50.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
482,24-25-prem-tottenham-hotspur-vs-brentford,27,0,0,0,0.0,0.03,0,0,0,0,16,13,100.0,0.0,1,0,0.0,1,100.0,1,0,0,0,1,1,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
105,24-25-prem-tottenham-hotspur-vs-brentford,11,0,0,0,0.0,0.0,0,0,0,0,17,12,80.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
338,24-25-prem-tottenham-hotspur-vs-brentford,90,0,0,0,0.0,0.21,0,0,0,1,76,49,91.0,1.0,1,0,0.0,1,50.0,3,1,5,1,4,3,2,8,8,5,56.0,3,43.0,0,2,0,0,0.0,0.0,0,0,0,5
