player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
180,24-25-prem-west-ham-united-vs-chelsea,64,2,1,4,0.76,0.06,2,0,0,6,30,14,82.0,2.0,1,0,0.0,0,0.0,0,1,0,0,1,1,0,1,3,1,25.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,5
185,24-25-prem-west-ham-united-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,55,27,77.0,0.0,0,0,0.0,6,46.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,7,0,0.82,0.82,2,27,6,5
157,24-25-prem-west-ham-united-vs-chelsea,90,0,1,1,0.08,0.41,0,0,0,1,75,47,87.0,1.0,8,1,50.0,2,40.0,4,1,4,2,2,2,2,13,3,10,83.0,3,75.0,2,1,0,0,0.0,0.0,0,0,0,5
182,24-25-prem-west-ham-united-vs-chelsea,64,1,0,2,0.42,0.0,1,0,1,2,31,15,79.0,1.0,1,0,0.0,2,67.0,0,0,3,0,1,0,0,6,2,6,75.0,0,0.0,5,1,0,0,0.0,0.0,0,0,0,5
163,24-25-prem-west-ham-united-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,59,34,94.0,0.0,3,0,0.0,2,100.0,2,2,4,0,7,5,2,7,4,5,56.0,2,100.0,2,1,0,0,0.0,0.0,0,0,0,5
177,24-25-prem-west-ham-united-vs-chelsea,90,0,0,2,0.16,0.01,1,0,0,7,33,16,80.0,1.0,1,1,100.0,2,67.0,0,1,8,0,2,1,1,2,2,1,33.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,5
187,24-25-prem-west-ham-united-vs-chelsea,90,0,0,0,0.0,0.0,0,1,0,0,66,50,89.0,0.0,1,0,0.0,0,0.0,1,1,1,2,5,2,0,2,1,2,67.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,5
386,24-25-prem-west-ham-united-vs-chelsea,57,0,1,0,0.0,0.21,0,0,0,3,23,18,90.0,2.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
530,24-25-prem-west-ham-united-vs-chelsea,52,0,0,1,0.06,0.13,1,0,0,3,46,35,95.0,1.0,2,0,0.0,3,100.0,0,2,0,0,2,2,0,3,2,1,33.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,5
162,24-25-prem-west-ham-united-vs-chelsea,90,0,0,0,0.0,0.31,0,0,0,2,74,55,89.0,1.0,2,0,0.0,2,67.0,0,1,3,1,8,4,0,2,4,0,0.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,5
514,24-25-prem-west-ham-united-vs-chelsea,90,0,0,2,0.12,0.11,1,2,0,6,36,16,94.0,1.0,2,2,25.0,0,0.0,1,1,3,0,0,0,0,6,3,5,83.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,5
168,24-25-prem-west-ham-united-vs-chelsea,84,0,0,0,0.0,0.13,0,0,0,0,58,40,89.0,2.0,5,1,100.0,1,20.0,1,1,6,0,1,1,3,4,11,4,36.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,5
388,24-25-prem-west-ham-united-vs-chelsea,90,0,0,0,0.0,0.29,0,0,0,3,66,40,87.0,2.0,3,2,40.0,1,100.0,1,0,10,2,0,0,0,4,7,3,38.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,5
189,24-25-prem-west-ham-united-vs-chelsea,57,0,0,0,0.0,0.0,0,0,0,0,31,20,83.0,1.0,1,0,0.0,1,50.0,0,0,1,0,3,3,1,2,3,1,25.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,5
167,24-25-prem-west-ham-united-vs-chelsea,33,0,0,0,0.0,0.0,0,1,0,0,22,13,93.0,0.0,1,0,0.0,2,100.0,1,0,1,0,1,1,0,2,1,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
560,24-25-prem-west-ham-united-vs-chelsea,33,0,0,0,0.0,0.02,0,3,0,3,33,16,84.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,5,3,5,71.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,5
