player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
293,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,58,19,54.0,0.0,0,0,0.0,10,42.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,13,4,5.74,2.74,2,19,10,6
6,24-25-prem-arsenal-vs-leicester-city,90,0,1,2,0.21,0.12,0,1,0,3,97,63,93.0,7.0,9,1,20.0,2,100.0,2,0,8,0,1,1,1,6,3,5,71.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,6
9,24-25-prem-arsenal-vs-leicester-city,74,1,1,4,0.39,0.55,2,1,1,13,40,19,79.0,2.0,0,1,33.0,0,0.0,0,0,2,0,0,0,0,3,4,3,60.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,6
17,24-25-prem-arsenal-vs-leicester-city,90,0,0,7,0.29,0.79,2,8,0,14,102,50,93.0,8.0,4,6,55.0,0,0.0,1,1,4,0,0,0,1,12,12,12,52.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,6
23,24-25-prem-arsenal-vs-leicester-city,89,1,0,4,1.11,0.12,2,2,1,13,59,33,79.0,2.0,3,1,100.0,3,100.0,1,1,3,0,0,0,1,3,8,3,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,6
4,24-25-prem-arsenal-vs-leicester-city,90,1,0,7,1.89,0.04,2,1,2,12,59,32,82.0,0.0,3,0,0.0,0,0.0,1,0,2,0,0,0,1,7,8,3,33.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,6
16,24-25-prem-arsenal-vs-leicester-city,90,0,0,3,0.06,0.22,1,0,0,5,107,75,91.0,2.0,9,0,0.0,3,60.0,0,1,11,0,0,0,0,2,0,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,6
295,24-25-prem-arsenal-vs-leicester-city,90,2,0,3,0.15,0.0,2,0,0,3,38,7,70.0,0.0,1,0,0.0,0,0.0,0,2,1,0,10,2,2,7,3,4,67.0,3,75.0,3,0,0,0,0.0,0.0,0,0,0,6
578,24-25-prem-arsenal-vs-leicester-city,90,0,0,3,0.48,0.28,3,2,1,6,92,62,86.0,2.0,5,0,0.0,3,75.0,1,0,1,1,1,1,0,13,5,6,60.0,7,88.0,1,4,0,0,0.0,0.0,0,0,0,6
20,24-25-prem-arsenal-vs-leicester-city,85,0,0,0,0.0,0.09,0,0,0,2,107,87,91.0,1.0,5,0,0.0,1,100.0,4,0,6,0,0,0,0,4,4,4,57.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,6
3,24-25-prem-arsenal-vs-leicester-city,90,0,0,3,0.27,0.05,2,1,1,3,96,80,92.0,0.0,12,0,0.0,1,20.0,0,0,1,0,4,2,0,6,3,1,100.0,5,63.0,0,0,0,0,0.0,0.0,0,0,0,6
117,24-25-prem-arsenal-vs-leicester-city,85,0,1,2,0.18,0.06,1,0,0,3,34,7,50.0,1.0,1,1,100.0,0,0.0,1,1,1,1,3,3,5,6,12,4,33.0,2,33.0,2,1,0,0,0.0,0.0,0,0,0,6
300,24-25-prem-arsenal-vs-leicester-city,89,0,1,0,0.0,0.02,0,0,0,3,60,23,88.0,1.0,2,1,50.0,1,33.0,6,0,6,2,8,5,2,10,9,8,47.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,6
18,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,68,59,97.0,0.0,5,0,0.0,1,50.0,2,1,3,0,2,2,0,3,5,2,40.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,6
298,24-25-prem-arsenal-vs-leicester-city,89,0,0,0,0.0,0.06,0,1,0,1,36,11,73.0,1.0,0,0,0.0,1,100.0,2,0,2,0,2,0,4,6,10,6,38.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,6
186,24-25-prem-arsenal-vs-leicester-city,16,0,0,0,0.0,0.03,0,1,0,2,12,9,90.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
306,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,21,10,83.0,1.0,0,0,0.0,1,100.0,1,0,2,0,3,2,0,2,4,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,6
291,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.0,0,2,0,0,39,17,77.0,0.0,1,0,0.0,2,40.0,1,0,2,0,11,6,1,6,2,4,80.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,6
301,24-25-prem-arsenal-vs-leicester-city,89,0,0,0,0.0,0.0,0,0,0,1,45,17,65.0,0.0,0,0,0.0,1,20.0,0,1,1,2,13,7,0,6,4,2,100.0,4,50.0,1,0,0,0,0.0,0.0,0,0,0,6
296,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.0,0,1,0,0,56,18,82.0,0.0,3,0,0.0,1,50.0,3,2,2,2,5,3,4,9,8,9,60.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,6
501,24-25-prem-arsenal-vs-leicester-city,89,0,0,0,0.0,0.0,0,0,0,0,23,16,100.0,0.0,0,0,0.0,0,0.0,0,0,1,1,2,1,0,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,6
15,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,26,17,74.0,0.0,0,0,0.0,2,25.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,2,0.21,-1.79,0,17,2,6
309,24-25-prem-arsenal-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,37,23,79.0,1.0,2,0,0.0,0,0.0,0,0,4,1,2,1,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
192,24-25-prem-arsenal-vs-leicester-city,5,0,0,0,0.0,0.0,0,0,0,0,3,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
290,24-25-prem-arsenal-vs-leicester-city,1,0,0,0,0.0,0.0,0,0,0,0,2,2,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
2,24-25-prem-arsenal-vs-leicester-city,1,0,0,1,0.11,0.0,1,0,0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,6
198,24-25-prem-arsenal-vs-leicester-city,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
12,24-25-prem-arsenal-vs-leicester-city,5,0,0,1,0.02,0.16,1,1,0,3,10,6,100.0,1.0,0,0,0.0,1,100.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
570,24-25-prem-arsenal-vs-leicester-city,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
635,24-25-prem-arsenal-vs-leicester-city,1,0,0,0,0.0,0.0,0,0,0,0,4,1,50.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
