player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
530,24-25-prem-brentford-vs-west-ham-united,90,1,0,1,0.22,0.08,1,0,0,8,47,22,76.0,4.0,5,0,0.0,0,0.0,2,2,3,0,5,3,0,7,5,3,75.0,4,50.0,0,1,0,0,0.0,0.0,0,0,0,6
99,24-25-prem-brentford-vs-west-ham-united,90,1,0,4,0.25,0.41,1,1,1,8,65,30,75.0,1.0,5,1,14.0,1,33.0,1,1,5,0,0,0,0,7,6,6,67.0,1,25.0,2,0,0,0,0.0,0.0,0,0,0,6
314,24-25-prem-brentford-vs-west-ham-united,85,0,1,1,0.02,0.06,0,0,0,4,50,22,85.0,1.0,3,0,0.0,1,50.0,3,1,2,1,1,1,1,5,4,4,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,6
89,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.07,0,0,0,1,78,39,74.0,1.0,14,1,25.0,1,20.0,5,1,5,0,1,0,1,9,3,8,80.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,6
524,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.02,0,0,0,0,48,34,87.0,1.0,9,0,0.0,3,50.0,0,2,6,1,5,4,0,2,1,1,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,6
528,24-25-prem-brentford-vs-west-ham-united,45,0,0,1,0.01,0.27,0,2,0,2,41,10,59.0,0.0,1,1,100.0,1,50.0,0,4,3,0,5,5,1,3,2,2,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,6
591,24-25-prem-brentford-vs-west-ham-united,90,0,0,2,0.1,0.01,0,0,0,2,65,41,85.0,0.0,8,0,0.0,3,38.0,2,0,9,2,5,3,0,6,4,3,60.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,6
91,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,55,35,73.0,0.0,0,0,0.0,9,45.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.28,0.28,0,35,9,6
588,24-25-prem-brentford-vs-west-ham-united,90,0,0,1,0.01,0.02,0,0,0,0,58,38,88.0,1.0,9,0,0.0,2,40.0,1,0,1,0,7,5,1,7,3,4,57.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,6
388,24-25-prem-brentford-vs-west-ham-united,90,0,0,1,0.02,0.06,0,1,0,3,57,32,86.0,1.0,2,0,0.0,1,50.0,0,0,8,0,2,1,0,4,7,4,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,6
86,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.02,0,1,0,0,68,33,70.0,0.0,9,1,100.0,1,33.0,1,2,2,1,2,0,2,4,4,2,40.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,6
104,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.02,0,0,0,0,88,70,91.0,0.0,9,0,0.0,3,43.0,0,1,2,0,4,2,0,7,3,2,100.0,5,63.0,1,0,0,0,0.0,0.0,0,0,0,6
513,24-25-prem-brentford-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,41,22,69.0,0.0,0,0,0.0,15,60.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.25,0.25,1,22,15,6
