player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
255,24-25-prem-nottingham-forest-vs-fulham,90,0,0,2,0.04,0.02,0,1,0,1,66,42,91.0,0.0,8,0,0.0,2,67.0,1,2,3,0,2,2,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,6
247,24-25-prem-nottingham-forest-vs-fulham,90,0,0,1,0.03,0.14,0,1,0,3,71,45,80.0,2.0,6,0,0.0,1,33.0,0,0,4,0,6,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,6
252,24-25-prem-nottingham-forest-vs-fulham,83,1,0,3,0.91,0.03,2,0,0,5,24,16,94.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2,1,2,1,6,1,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,6
248,24-25-prem-nottingham-forest-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,40,30,88.0,0.0,0,0,0.0,3,43.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.01,0.01,0,30,3,6
240,24-25-prem-nottingham-forest-vs-fulham,69,0,0,1,0.05,0.06,0,1,0,1,35,21,84.0,1.0,4,3,50.0,0,0.0,0,1,1,0,0,0,0,2,2,2,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,6
249,24-25-prem-nottingham-forest-vs-fulham,83,0,0,0,0.0,0.02,0,0,0,0,52,40,87.0,1.0,2,0,0.0,0,0.0,0,2,2,0,1,1,1,3,3,2,40.0,1,100.0,2,2,0,0,0.0,0.0,0,0,0,6
449,24-25-prem-nottingham-forest-vs-fulham,90,0,0,1,0.02,0.16,0,0,0,6,72,47,85.0,1.0,2,0,0.0,0,0.0,0,2,6,0,2,2,0,10,3,8,80.0,2,67.0,5,1,0,0,0.0,0.0,0,0,0,6
191,24-25-prem-nottingham-forest-vs-fulham,90,0,0,1,0.06,0.02,0,0,0,1,104,76,88.0,0.0,13,0,0.0,9,64.0,0,1,0,2,11,9,0,4,6,2,67.0,2,29.0,1,1,0,0,0.0,0.0,0,0,0,6
19,24-25-prem-nottingham-forest-vs-fulham,88,0,0,2,0.15,0.05,0,0,0,2,60,47,92.0,3.0,6,0,0.0,1,100.0,0,0,3,0,1,1,0,2,2,1,33.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,6
257,24-25-prem-nottingham-forest-vs-fulham,90,0,0,1,0.02,0.01,0,2,0,7,79,38,79.0,0.0,5,1,33.0,0,0.0,0,2,1,1,8,4,0,2,9,2,25.0,0,0.0,0,4,0,0,0.0,0.0,0,0,0,6
422,24-25-prem-nottingham-forest-vs-fulham,90,0,0,0,0.0,0.31,0,1,0,0,70,33,77.0,1.0,7,1,33.0,1,33.0,1,0,9,2,2,1,1,4,5,4,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,6
239,24-25-prem-nottingham-forest-vs-fulham,69,0,0,1,0.04,0.01,0,4,0,2,46,23,96.0,0.0,0,0,0.0,1,100.0,0,0,4,0,0,0,0,8,4,8,73.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,6
