player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
17,24-25-prem-arsenal-vs-southampton,90,1,2,7,0.31,0.93,2,0,0,15,71,35,92.0,7.0,1,3,27.0,0,0.0,0,0,8,0,2,1,2,3,10,3,27.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,7
4,24-25-prem-arsenal-vs-southampton,90,1,0,7,0.77,0.04,2,2,1,10,53,27,84.0,1.0,3,0,0.0,0,0.0,1,1,3,0,0,0,0,7,6,3,50.0,4,57.0,0,1,0,0,0.0,0.0,0,0,0,7
578,24-25-prem-arsenal-vs-southampton,89,0,0,0,0.0,0.12,0,3,0,5,67,37,82.0,0.0,7,0,0.0,1,100.0,2,3,6,1,0,0,1,9,3,8,73.0,1,100.0,2,2,0,0,0.0,0.0,0,0,0,7
20,24-25-prem-arsenal-vs-southampton,84,0,0,2,0.11,0.05,1,1,0,2,96,70,95.0,0.0,10,1,50.0,3,60.0,4,2,1,0,2,1,0,6,2,5,83.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,7
16,24-25-prem-arsenal-vs-southampton,90,0,0,2,0.14,0.2,0,0,0,3,63,41,93.0,4.0,5,2,29.0,2,100.0,1,1,6,0,3,0,0,2,5,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,7
623,24-25-prem-arsenal-vs-southampton,74,0,1,1,0.17,0.0,0,3,1,1,36,14,78.0,1.0,1,0,0.0,1,50.0,2,0,6,0,3,2,0,6,3,5,63.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,7
9,24-25-prem-arsenal-vs-southampton,30,1,0,1,0.41,0.04,1,0,0,3,26,16,80.0,0.0,0,0,0.0,1,100.0,1,0,1,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
2,24-25-prem-arsenal-vs-southampton,60,0,0,3,0.38,0.06,0,1,0,5,20,9,69.0,3.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,3,2,3,75.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,7
18,24-25-prem-arsenal-vs-southampton,90,0,0,0,0.0,0.03,0,2,0,1,95,89,97.0,0.0,13,0,0.0,3,75.0,0,0,1,0,1,1,1,3,2,2,67.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,7
27,24-25-prem-arsenal-vs-southampton,63,1,0,1,0.06,0.0,1,0,0,1,20,9,75.0,0.0,0,0,0.0,0,0.0,1,1,3,0,0,0,0,2,5,1,25.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,7
452,24-25-prem-arsenal-vs-southampton,90,0,0,1,0.04,0.0,0,0,0,1,46,29,88.0,0.0,0,0,0.0,0,0.0,2,2,5,1,2,1,1,6,3,4,57.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,7
633,24-25-prem-arsenal-vs-southampton,29,0,0,0,0.0,0.03,0,0,0,1,22,10,77.0,1.0,1,0,0.0,1,100.0,2,2,1,2,0,0,0,4,1,4,100.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,7
7,24-25-prem-arsenal-vs-southampton,61,0,0,1,0.04,0.14,0,0,0,0,49,38,90.0,1.0,6,0,0.0,0,0.0,1,0,6,0,0,0,2,3,4,3,50.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,7
23,24-25-prem-arsenal-vs-southampton,30,0,0,0,0.0,0.07,0,1,0,4,19,13,81.0,4.0,2,0,0.0,1,100.0,0,0,3,0,0,0,0,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
186,24-25-prem-arsenal-vs-southampton,60,0,0,2,0.33,0.02,0,4,1,12,34,14,93.0,1.0,0,0,0.0,0,0.0,0,0,3,0,0,0,0,4,4,4,57.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
467,24-25-prem-arsenal-vs-southampton,74,0,0,0,0.0,0.0,0,1,0,0,26,12,92.0,0.0,0,0,0.0,0,0.0,2,0,2,2,3,1,0,7,2,5,71.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,7
3,24-25-prem-arsenal-vs-southampton,90,0,0,3,0.2,0.04,0,0,0,2,66,58,95.0,0.0,8,0,0.0,4,57.0,0,0,1,1,0,0,0,1,3,0,0.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,7
15,24-25-prem-arsenal-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,27,21,91.0,0.0,0,0,0.0,3,60.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.65,-0.35,1,21,3,7
608,24-25-prem-arsenal-vs-southampton,90,0,0,2,0.06,0.02,0,1,0,1,28,14,93.0,1.0,1,0,0.0,0,0.0,1,0,0,1,2,0,0,2,5,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,7
470,24-25-prem-arsenal-vs-southampton,16,0,0,0,0.0,0.0,0,1,0,0,11,5,100.0,0.0,0,0,0.0,0,0.0,0,1,1,0,0,0,0,2,3,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
473,24-25-prem-arsenal-vs-southampton,27,0,0,0,0.0,0.0,0,0,0,0,7,1,25.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,2,2,1,33.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,7
14,24-25-prem-arsenal-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,0,54,34,76.0,0.0,0,0,0.0,8,44.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,3,2.66,-0.34,0,34,8,7
455,24-25-prem-arsenal-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,0,98,72,92.0,0.0,8,0,0.0,4,80.0,0,1,1,2,13,7,1,2,6,0,0.0,2,40.0,0,2,0,0,0.0,0.0,0,0,0,7
453,24-25-prem-arsenal-vs-southampton,16,0,0,0,0.0,0.01,0,0,0,2,12,5,100.0,0.0,0,0,0.0,0,0.0,0,2,0,0,0,0,2,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
476,24-25-prem-arsenal-vs-southampton,90,0,0,1,0.02,0.01,1,0,0,0,68,51,96.0,0.0,7,0,0.0,0,0.0,1,0,2,2,1,1,2,3,5,2,29.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,7
