player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
47,24-25-prem-aston-villa-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,40,24,75.0,0.0,0,0,0.0,2,20.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.97,0.97,1,24,2,7
383,24-25-prem-aston-villa-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,38,22,67.0,0.0,0,0,0.0,6,35.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.39,0.39,0,22,6,7
371,24-25-prem-aston-villa-vs-manchester-united,90,0,0,1,0.1,0.01,0,0,0,1,54,36,86.0,0.0,5,0,0.0,1,25.0,4,0,3,1,3,2,0,11,1,6,86.0,5,100.0,2,1,0,0,0.0,0.0,0,0,0,7
378,24-25-prem-aston-villa-vs-manchester-united,85,0,0,1,0.01,0.02,0,2,0,1,56,35,88.0,1.0,8,0,0.0,4,80.0,2,0,7,0,1,1,1,5,4,4,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,7
36,24-25-prem-aston-villa-vs-manchester-united,85,0,0,1,0.05,0.08,0,0,0,0,62,31,84.0,1.0,0,1,13.0,0,0.0,4,2,8,0,1,0,0,4,4,4,50.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,7
57,24-25-prem-aston-villa-vs-manchester-united,90,0,0,2,0.09,0.06,1,0,0,1,72,38,70.0,1.0,8,0,0.0,3,50.0,3,1,1,1,1,0,1,7,5,4,44.0,3,100.0,1,2,0,0,0.0,0.0,0,0,0,7
29,24-25-prem-aston-villa-vs-manchester-united,90,0,0,0,0.0,0.07,0,1,0,2,52,35,80.0,2.0,6,0,0.0,0,0.0,1,0,6,0,1,0,1,4,4,3,50.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,7
366,24-25-prem-aston-villa-vs-manchester-united,90,0,0,1,0.04,0.02,0,0,0,0,63,38,90.0,0.0,7,0,0.0,4,80.0,0,3,2,1,4,3,1,3,3,3,50.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,7
369,24-25-prem-aston-villa-vs-manchester-united,90,0,0,0,0.0,0.12,0,0,0,1,38,17,77.0,1.0,1,0,0.0,1,25.0,2,1,1,1,3,3,0,2,0,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
594,24-25-prem-aston-villa-vs-manchester-united,45,0,0,0,0.0,0.0,0,0,0,0,39,21,81.0,0.0,3,0,0.0,0,0.0,1,2,2,0,3,1,0,2,0,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
