player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
293,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,51,29,66.0,0.0,0,0,0.0,14,48.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.77,0.77,0,29,14,7
117,24-25-prem-leicester-city-vs-afc-bournemouth,82,1,0,3,0.3,0.15,2,2,0,3,45,19,76.0,1.0,2,0,0.0,1,50.0,1,0,6,0,2,1,4,8,8,7,54.0,1,33.0,3,1,0,0,0.0,0.0,0,0,0,7
295,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,1,0,0.0,0.04,0,1,0,0,65,27,71.0,1.0,9,0,0.0,2,40.0,0,1,3,0,4,2,1,5,5,2,33.0,3,75.0,1,1,0,0,0.0,0.0,0,0,0,7
301,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,72,49,88.0,0.0,3,0,0.0,3,43.0,1,1,7,1,10,4,0,5,4,2,67.0,3,50.0,0,1,0,0,0.0,0.0,0,0,0,7
291,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,43,23,82.0,1.0,3,0,0.0,2,33.0,1,0,4,3,9,3,0,3,2,2,100.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,7
64,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,0,0.0,0.32,0,0,0,0,78,44,76.0,4.0,10,4,50.0,1,17.0,3,2,6,0,1,0,1,5,8,4,44.0,1,25.0,0,3,0,0,0.0,0.0,0,0,0,7
78,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,3,0.26,0.04,0,4,0,7,55,21,68.0,1.0,4,0,0.0,0,0.0,3,0,5,0,1,0,1,11,5,9,69.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,7
300,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,1,65,33,75.0,0.0,7,0,0.0,2,40.0,4,0,6,0,4,2,1,6,6,5,56.0,1,33.0,1,2,0,0,0.0,0.0,0,0,0,7
77,24-25-prem-leicester-city-vs-afc-bournemouth,27,0,0,0,0.0,0.04,0,0,0,1,25,19,95.0,2.0,7,0,0.0,2,100.0,1,0,3,0,0,0,0,3,0,3,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
85,24-25-prem-leicester-city-vs-afc-bournemouth,90,0,0,1,0.11,0.01,0,0,1,1,73,58,92.0,0.0,4,0,0.0,3,50.0,1,1,10,0,3,1,0,3,5,1,50.0,2,33.0,0,1,0,0,0.0,0.0,0,0,0,7
