player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
514,24-25-prem-west-ham-united-vs-ipswich-town,90,1,1,5,0.29,1.04,3,0,1,7,37,23,96.0,5.0,4,1,25.0,0,0.0,0,0,6,0,0,0,1,0,5,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,7
525,24-25-prem-west-ham-united-vs-ipswich-town,86,1,0,5,1.53,0.06,4,1,2,6,55,28,93.0,1.0,1,0,0.0,2,100.0,1,0,5,0,0,0,1,3,8,2,22.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,7
512,24-25-prem-west-ham-united-vs-ipswich-town,70,1,0,4,0.57,0.14,2,0,2,6,24,7,70.0,2.0,2,1,33.0,1,100.0,0,0,2,0,0,0,0,1,4,0,0.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,7
527,24-25-prem-west-ham-united-vs-ipswich-town,83,1,0,3,0.99,0.25,2,0,0,2,56,33,77.0,3.0,10,0,0.0,4,67.0,1,1,4,0,0,0,1,2,6,2,40.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
591,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.0,0,2,0,0,72,54,95.0,0.0,0,0,0.0,2,50.0,2,2,8,0,5,1,0,5,3,4,80.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,7
520,24-25-prem-west-ham-united-vs-ipswich-town,83,0,0,0,0.0,0.11,0,0,0,0,70,36,84.0,1.0,6,1,33.0,1,25.0,4,2,4,1,2,0,1,7,3,7,70.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
268,24-25-prem-west-ham-united-vs-ipswich-town,83,1,0,2,0.12,0.03,2,1,1,4,20,4,50.0,2.0,1,0,0.0,1,100.0,0,0,3,0,0,0,2,4,7,2,29.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,7
388,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,1,0.02,0.09,1,3,0,2,73,50,89.0,1.0,5,0,0.0,2,100.0,1,1,5,0,1,1,0,5,8,5,50.0,0,0.0,1,4,0,0,0.0,0.0,0,0,0,7
530,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,3,0.38,0.01,1,0,1,3,59,36,80.0,1.0,6,0,0.0,4,80.0,0,0,2,1,4,3,2,7,5,4,57.0,3,60.0,3,1,0,0,0.0,0.0,0,0,0,7
524,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.0,0,1,0,0,83,67,92.0,0.0,4,0,0.0,5,50.0,0,1,6,0,4,2,1,3,3,1,50.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,7
511,24-25-prem-west-ham-united-vs-ipswich-town,20,0,0,0,0.0,0.0,0,1,0,0,19,13,100.0,1.0,1,0,0.0,2,100.0,1,1,2,0,0,0,0,3,1,3,75.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,7
631,24-25-prem-west-ham-united-vs-ipswich-town,73,0,0,0,0.0,0.01,0,2,0,4,30,14,74.0,1.0,2,0,0.0,1,100.0,1,0,4,0,1,0,2,5,4,4,50.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,7
513,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,52,30,71.0,0.0,0,0,0.0,4,31.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,0.65,-0.35,0,30,4,7
588,24-25-prem-west-ham-united-vs-ipswich-town,70,0,0,0,0.0,0.01,0,0,0,0,45,35,92.0,0.0,2,0,0.0,3,75.0,1,0,2,1,1,1,4,4,4,2,33.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,7
275,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.02,0,2,0,0,70,33,83.0,0.0,4,0,0.0,0,0.0,4,0,5,0,2,1,0,7,0,6,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,7
611,24-25-prem-west-ham-united-vs-ipswich-town,17,0,0,1,0.09,0.0,0,1,0,1,9,4,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
632,24-25-prem-west-ham-united-vs-ipswich-town,17,0,0,0,0.0,0.0,0,0,0,0,9,5,100.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
654,24-25-prem-west-ham-united-vs-ipswich-town,20,0,0,1,0.04,0.0,0,0,0,0,14,12,100.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
264,24-25-prem-west-ham-united-vs-ipswich-town,73,0,0,1,0.01,0.08,0,1,0,1,33,12,75.0,1.0,2,1,25.0,1,100.0,0,0,2,0,0,0,0,3,3,3,50.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,7
281,24-25-prem-west-ham-united-vs-ipswich-town,16,0,0,1,0.04,0.0,0,0,0,0,20,14,78.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,1,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
630,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,1,0.05,0.0,0,0,0,2,76,52,79.0,0.0,9,0,0.0,6,43.0,0,1,6,2,4,3,0,4,3,0,0.0,4,57.0,0,0,0,0,0.0,0.0,0,0,0,7
267,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.34,0,0,0,0,58,42,98.0,3.0,7,2,67.0,2,67.0,1,2,3,0,1,1,0,2,2,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
274,24-25-prem-west-ham-united-vs-ipswich-town,83,0,0,0,0.0,0.02,0,3,0,2,44,21,81.0,0.0,4,0,0.0,0,0.0,1,0,0,0,1,1,0,4,8,4,36.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
359,24-25-prem-west-ham-united-vs-ipswich-town,74,0,0,1,0.03,0.02,0,0,0,0,51,30,81.0,0.0,2,0,0.0,4,67.0,1,2,5,0,1,0,1,5,4,5,56.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,7
568,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,46,19,86.0,0.0,0,0,0.0,7,70.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,8,4,3.3,-0.7,0,19,7,7
270,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,1,0.27,0.0,0,0,1,2,67,51,94.0,0.0,8,0,0.0,0,0.0,1,0,2,3,4,3,0,7,3,3,75.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,7
278,24-25-prem-west-ham-united-vs-ipswich-town,90,0,0,1,0.04,0.04,0,1,0,0,70,56,88.0,0.0,12,0,0.0,3,75.0,1,1,1,0,0,0,1,4,3,3,60.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,7
517,24-25-prem-west-ham-united-vs-ipswich-town,7,0,0,1,0.03,0.0,0,0,0,0,11,5,83.0,0.0,0,0,0.0,1,100.0,0,0,1,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
265,24-25-prem-west-ham-united-vs-ipswich-town,7,0,0,0,0.0,0.02,0,0,0,0,6,4,67.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,7
272,24-25-prem-west-ham-united-vs-ipswich-town,7,0,0,0,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,1,2,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,7
587,24-25-prem-west-ham-united-vs-ipswich-town,7,0,0,0,0.0,0.0,0,0,0,1,4,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,7
526,24-25-prem-west-ham-united-vs-ipswich-town,4,0,0,0,0.0,0.0,0,0,0,0,2,1,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,7
