player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
79,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.03,0,0,0,1,79,47,77.0,0.0,10,0,0.0,0,0.0,4,1,5,0,5,4,0,11,2,6,100.0,5,71.0,2,0,0,0,0.0,0.0,0,0,0,8
71,24-25-prem-afc-bournemouth-vs-arsenal,27,1,1,1,0.79,0.06,1,0,0,2,7,4,100.0,1.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
70,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,1,0.05,0.03,0,2,0,2,72,46,90.0,1.0,8,0,0.0,2,40.0,0,0,6,0,3,3,1,5,3,5,71.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
64,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.04,0,1,0,0,59,35,83.0,2.0,7,0,0.0,1,33.0,2,1,5,0,1,1,1,5,4,4,57.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,8
152,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,41,21,64.0,0.0,0,0,0.0,11,50.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.32,0.32,0,21,11,8
16,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.15,0,3,0,2,68,39,87.0,2.0,6,3,75.0,0,0.0,1,0,7,1,1,0,0,10,1,9,90.0,1,100.0,3,0,0,0,0.0,0.0,0,0,0,8
617,24-25-prem-afc-bournemouth-vs-arsenal,82,0,0,1,0.04,0.04,0,2,0,6,23,7,64.0,1.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,4,4,4,57.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,8
77,24-25-prem-afc-bournemouth-vs-arsenal,63,0,0,0,0.0,0.08,0,2,0,2,48,30,88.0,2.0,8,0,0.0,0,0.0,0,2,6,0,1,0,1,5,7,5,56.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,8
63,24-25-prem-afc-bournemouth-vs-arsenal,27,1,0,1,0.11,0.02,1,0,0,1,17,8,80.0,0.0,0,1,100.0,1,50.0,0,0,3,0,4,3,2,1,3,1,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
83,24-25-prem-afc-bournemouth-vs-arsenal,63,0,0,3,0.2,0.03,1,3,1,3,39,21,91.0,1.0,3,0,0.0,0,0.0,1,0,1,0,0,0,0,5,3,5,63.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
85,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.02,0,0,0,0,60,45,79.0,0.0,10,0,0.0,0,0.0,0,1,3,0,1,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
578,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.01,0,0,0,0,65,35,88.0,0.0,3,1,50.0,1,100.0,3,0,2,1,6,5,2,6,4,4,57.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,8
633,24-25-prem-afc-bournemouth-vs-arsenal,81,0,0,1,0.15,0.11,0,0,0,3,51,23,68.0,1.0,3,0,0.0,2,100.0,3,2,8,1,2,2,4,7,8,4,40.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,8
592,24-25-prem-afc-bournemouth-vs-arsenal,45,0,0,0,0.0,0.01,0,0,0,0,34,19,83.0,0.0,2,0,0.0,0,0.0,1,0,3,0,3,2,0,2,0,1,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
74,24-25-prem-afc-bournemouth-vs-arsenal,63,0,0,0,0.0,0.04,0,2,0,6,39,7,54.0,1.0,1,1,13.0,0,0.0,2,0,1,0,0,0,0,5,8,4,50.0,1,20.0,0,1,0,0,0.0,0.0,0,0,0,8
78,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,6,0.64,0.08,1,3,1,4,46,20,91.0,1.0,4,1,50.0,2,67.0,0,1,3,1,1,1,2,3,12,3,27.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,8
2,24-25-prem-afc-bournemouth-vs-arsenal,10,0,0,0,0.0,0.0,0,1,0,3,13,3,60.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,5,0,5,100.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,8
20,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,1,0.05,0.03,0,1,0,0,74,55,87.0,0.0,4,0,0.0,0,0.0,1,0,5,0,0,0,4,8,8,5,42.0,3,75.0,2,2,0,0,0.0,0.0,0,0,0,8
3,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,1,0.02,0.0,0,0,0,1,60,42,86.0,0.0,5,0,0.0,1,17.0,0,0,1,2,5,2,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
81,24-25-prem-afc-bournemouth-vs-arsenal,45,0,0,0,0.0,0.0,0,0,0,0,18,9,75.0,0.0,3,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
24,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.01,0,0,0,1,47,29,91.0,0.0,3,0,0.0,1,100.0,0,1,5,0,1,1,3,4,5,3,38.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,8
80,24-25-prem-afc-bournemouth-vs-arsenal,27,0,0,0,0.0,0.0,0,1,0,1,12,2,67.0,0.0,1,0,0.0,0,0.0,0,0,0,0,1,0,0,2,3,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
8,24-25-prem-afc-bournemouth-vs-arsenal,43,0,0,0,0.0,0.0,0,1,0,0,24,13,76.0,0.0,1,0,0.0,2,67.0,0,0,1,0,3,0,1,2,3,2,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
23,24-25-prem-afc-bournemouth-vs-arsenal,64,0,0,0,0.0,0.01,0,0,0,1,31,12,63.0,0.0,0,0,0.0,1,25.0,1,2,5,0,1,0,1,2,5,2,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
186,24-25-prem-afc-bournemouth-vs-arsenal,37,0,0,0,0.0,0.0,0,1,0,5,15,6,60.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,1,3,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
4,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,1,0.04,0.02,0,0,0,4,54,25,71.0,0.0,6,0,0.0,0,0.0,0,0,1,0,4,3,0,6,12,0,0.0,6,46.0,0,3,0,0,0.0,0.0,0,0,0,8
9,24-25-prem-afc-bournemouth-vs-arsenal,26,0,0,2,0.42,0.01,1,0,2,2,19,10,91.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
15,24-25-prem-afc-bournemouth-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,64,31,58.0,0.0,0,0,0.0,10,33.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,2,1.65,-0.35,1,31,10,8
18,24-25-prem-afc-bournemouth-vs-arsenal,30,0,0,0,0.0,0.0,0,0,0,0,22,17,94.0,0.0,1,0,0.0,1,50.0,1,1,1,0,1,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
65,24-25-prem-afc-bournemouth-vs-arsenal,8,0,0,0,0.0,0.0,0,1,0,0,10,2,33.0,0.0,3,0,0.0,0,0.0,0,0,0,0,0,0,0,5,2,2,50.0,3,100.0,1,1,0,0,0.0,0.0,0,0,0,8
12,24-25-prem-afc-bournemouth-vs-arsenal,9,0,0,0,0.0,0.0,0,0,0,0,12,8,100.0,0.0,0,0,0.0,1,100.0,0,0,2,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
