player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
235,24-25-prem-ipswich-town-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,50,16,40.0,0.0,0,0,0.0,4,14.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.32,0.32,2,16,4,8
238,24-25-prem-ipswich-town-vs-everton,90,0,0,1,0.06,0.1,1,1,0,0,71,38,79.0,2.0,11,0,0.0,5,45.0,2,1,6,0,2,1,1,7,4,6,67.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,8
228,24-25-prem-ipswich-town-vs-everton,90,1,0,1,0.03,0.0,1,0,0,2,56,38,90.0,0.0,1,0,0.0,5,83.0,1,1,2,1,7,5,0,1,3,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
232,24-25-prem-ipswich-town-vs-everton,81,1,0,2,0.29,0.13,2,1,0,2,32,14,78.0,0.0,1,0,0.0,0,0.0,1,1,3,0,1,1,3,5,5,4,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,8
230,24-25-prem-ipswich-town-vs-everton,90,0,1,2,0.05,0.18,1,1,0,2,64,38,88.0,2.0,2,2,29.0,1,50.0,0,0,4,0,0,0,0,3,5,3,43.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
231,24-25-prem-ipswich-town-vs-everton,90,0,0,0,0.0,0.01,0,0,0,0,58,38,88.0,0.0,2,1,100.0,3,100.0,3,1,5,1,3,0,0,4,1,3,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,8
224,24-25-prem-ipswich-town-vs-everton,90,0,0,0,0.0,0.21,0,2,0,7,57,17,63.0,1.0,3,0,0.0,1,25.0,1,0,3,0,5,3,1,8,5,8,62.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,8
236,24-25-prem-ipswich-town-vs-everton,90,0,0,0,0.0,0.0,0,1,0,2,47,28,82.0,0.0,4,0,0.0,3,43.0,1,0,0,0,7,5,1,8,2,4,67.0,4,100.0,1,1,0,0,0.0,0.0,0,0,0,8
222,24-25-prem-ipswich-town-vs-everton,90,0,0,0,0.0,0.01,0,0,0,1,47,36,90.0,0.0,3,0,0.0,2,67.0,2,1,5,0,0,0,1,4,3,3,50.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,8
220,24-25-prem-ipswich-town-vs-everton,90,0,0,5,1.31,0.0,3,3,2,10,29,7,58.0,0.0,2,0,0.0,0,0.0,0,0,5,0,1,1,0,5,10,4,50.0,1,14.0,1,1,0,0,0.0,0.0,0,0,0,8
