player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
372,24-25-prem-manchester-united-vs-brentford,89,1,0,8,0.39,0.04,5,2,0,10,51,22,79.0,2.0,0,0,0.0,3,75.0,3,2,7,0,0,0,5,6,9,6,46.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,8
366,24-25-prem-manchester-united-vs-brentford,90,0,1,5,0.12,0.05,2,0,0,3,74,49,86.0,2.0,8,0,0.0,1,25.0,2,0,7,0,2,1,1,6,3,4,57.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,8
368,24-25-prem-manchester-united-vs-brentford,88,0,0,3,0.07,0.19,1,1,0,2,76,46,84.0,4.0,9,1,100.0,3,60.0,3,1,6,1,4,4,2,11,5,7,58.0,4,100.0,2,2,0,0,0.0,0.0,0,0,0,8
104,24-25-prem-manchester-united-vs-brentford,90,1,0,1,0.42,0.13,1,0,0,1,88,62,95.0,1.0,7,1,100.0,5,63.0,2,2,3,1,8,3,0,6,5,4,100.0,2,29.0,0,0,0,0,0.0,0.0,0,0,0,8
385,24-25-prem-manchester-united-vs-brentford,90,0,1,2,0.07,0.35,0,0,0,7,62,40,89.0,4.0,5,2,50.0,2,67.0,1,0,0,0,2,0,0,2,5,1,20.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,8
375,24-25-prem-manchester-united-vs-brentford,74,1,0,2,0.42,0.01,1,2,0,6,33,14,70.0,1.0,3,0,0.0,0,0.0,0,0,2,0,0,0,0,6,11,3,60.0,3,25.0,1,0,0,0,0.0,0.0,0,0,0,8
380,24-25-prem-manchester-united-vs-brentford,90,0,0,1,0.02,0.02,1,0,0,1,63,33,79.0,1.0,9,0,0.0,2,40.0,2,2,2,0,2,1,2,4,2,3,60.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
593,24-25-prem-manchester-united-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,0,54,41,95.0,1.0,4,1,100.0,1,50.0,2,3,5,0,3,2,0,5,3,3,75.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,8
370,24-25-prem-manchester-united-vs-brentford,90,0,0,1,0.07,0.08,0,0,0,3,62,41,95.0,4.0,6,2,22.0,2,67.0,1,0,2,0,3,1,2,4,3,3,50.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,8
88,24-25-prem-manchester-united-vs-brentford,90,0,0,0,0.0,0.03,0,1,0,2,98,72,89.0,2.0,8,0,0.0,1,20.0,0,2,5,2,7,4,1,9,2,2,67.0,7,88.0,1,0,0,0,0.0,0.0,0,0,0,8
89,24-25-prem-manchester-united-vs-brentford,90,0,1,1,0.08,0.24,0,3,0,1,71,35,73.0,1.0,8,2,33.0,1,20.0,1,0,6,0,3,1,2,4,7,4,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
369,24-25-prem-manchester-united-vs-brentford,90,0,0,1,0.17,0.01,1,0,1,1,52,33,92.0,0.0,5,0,0.0,2,67.0,0,0,7,0,3,1,0,4,2,0,0.0,4,80.0,0,1,0,0,0.0,0.0,0,0,0,8
371,24-25-prem-manchester-united-vs-brentford,89,0,0,0,0.0,0.01,0,0,0,1,66,55,92.0,0.0,2,0,0.0,1,100.0,1,0,6,0,4,2,0,4,1,2,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,8
383,24-25-prem-manchester-united-vs-brentford,90,0,0,0,0.0,0.19,0,0,0,0,50,26,59.0,1.0,0,0,0.0,12,40.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.06,0.06,1,26,12,8
91,24-25-prem-manchester-united-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,58,28,76.0,0.0,0,0,0.0,5,36.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,9,2,1.99,-0.01,1,28,5,8
99,24-25-prem-manchester-united-vs-brentford,90,0,0,1,0.03,0.05,0,4,0,1,57,20,71.0,2.0,2,2,100.0,1,33.0,2,0,8,1,2,2,0,7,8,7,58.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,8
101,24-25-prem-manchester-united-vs-brentford,90,0,0,1,0.02,0.04,1,1,0,1,74,47,90.0,0.0,5,0,0.0,0,0.0,3,2,9,1,2,1,0,6,7,4,40.0,2,67.0,0,3,0,0,0.0,0.0,0,0,0,8
338,24-25-prem-manchester-united-vs-brentford,87,0,0,0,0.0,0.0,0,2,0,2,56,28,82.0,0.0,3,0,0.0,0,0.0,0,3,2,1,2,2,1,5,4,3,60.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,8
86,24-25-prem-manchester-united-vs-brentford,90,0,0,0,0.0,0.02,0,0,0,1,57,42,88.0,0.0,7,0,0.0,3,75.0,1,0,2,0,2,0,1,3,3,1,50.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,8
94,24-25-prem-manchester-united-vs-brentford,75,0,0,0,0.0,0.16,0,0,0,0,40,35,95.0,1.0,3,0,0.0,3,75.0,0,0,5,0,1,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
111,24-25-prem-manchester-united-vs-brentford,15,0,0,0,0.0,0.01,0,0,0,0,24,13,81.0,0.0,1,0,0.0,0,0.0,1,1,4,0,0,0,0,1,3,1,25.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
106,24-25-prem-manchester-united-vs-brentford,74,0,0,1,0.09,0.01,0,0,1,1,28,13,81.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,0,4,8,2,29.0,2,40.0,1,0,0,0,0.0,0.0,0,0,0,8
110,24-25-prem-manchester-united-vs-brentford,24,0,0,0,0.0,0.01,0,0,0,1,9,5,83.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
98,24-25-prem-manchester-united-vs-brentford,66,0,0,1,0.06,0.01,0,1,0,1,19,9,90.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,3,6,3,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
314,24-25-prem-manchester-united-vs-brentford,16,0,0,2,0.16,0.0,0,0,0,2,7,1,33.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
389,24-25-prem-manchester-united-vs-brentford,16,0,0,0,0.0,0.02,0,0,0,1,14,5,56.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,4,0,0.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,8
376,24-25-prem-manchester-united-vs-brentford,1,0,0,0,0.0,0.0,0,0,0,0,1,1,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
594,24-25-prem-manchester-united-vs-brentford,1,0,0,0,0.0,0.0,0,0,0,0,6,1,33.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,3,0,2,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
105,24-25-prem-manchester-united-vs-brentford,3,0,0,0,0.0,0.04,0,0,0,0,4,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
652,24-25-prem-manchester-united-vs-brentford,2,0,0,0,0.0,0.0,0,0,0,0,4,2,100.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
