player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
117,24-25-prem-southampton-vs-leicester-city,90,1,0,5,1.34,0.17,1,4,0,4,75,31,82.0,3.0,4,3,60.0,1,100.0,3,0,2,0,0,0,2,13,12,13,52.0,0,0.0,2,4,0,0,0.0,0.0,0,0,0,8
306,24-25-prem-southampton-vs-leicester-city,90,1,0,4,1.03,0.0,1,0,0,4,12,2,40.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,2,1,1,50.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,8
452,24-25-prem-southampton-vs-leicester-city,90,1,0,3,0.64,0.01,3,2,0,4,52,22,81.0,0.0,3,0,0.0,1,100.0,0,2,2,0,2,0,0,7,6,3,33.0,4,100.0,1,1,0,0,0.0,0.0,0,0,0,8
570,24-25-prem-southampton-vs-leicester-city,31,0,1,2,0.17,0.34,1,2,1,7,31,12,80.0,1.0,0,0,0.0,1,50.0,1,0,2,0,1,1,0,4,4,4,57.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,8
309,24-25-prem-southampton-vs-leicester-city,45,0,1,0,0.0,0.08,0,0,0,0,39,34,94.0,4.0,11,0,0.0,2,100.0,0,0,2,0,1,0,0,1,1,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
293,24-25-prem-southampton-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,43,19,73.0,0.0,0,0,0.0,7,54.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,2,2.62,0.62,0,19,7,8
295,24-25-prem-southampton-vs-leicester-city,90,0,0,2,0.03,0.06,0,0,0,7,84,51,88.0,1.0,6,1,33.0,1,100.0,2,1,7,0,5,2,0,6,3,4,80.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,8
476,24-25-prem-southampton-vs-leicester-city,90,0,1,0,0.0,0.22,0,3,0,2,58,31,82.0,2.0,4,0,0.0,1,33.0,1,2,2,0,3,2,0,6,4,5,56.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,8
192,24-25-prem-southampton-vs-leicester-city,22,1,0,1,0.1,0.01,1,0,0,3,11,6,100.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,4,1,25.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,8
27,24-25-prem-southampton-vs-leicester-city,68,1,0,4,1.02,0.0,2,0,0,5,17,7,78.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
467,24-25-prem-southampton-vs-leicester-city,78,0,0,1,0.05,0.16,0,1,0,3,43,18,90.0,4.0,1,4,50.0,1,100.0,0,2,2,0,2,2,0,2,4,1,25.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,8
474,24-25-prem-southampton-vs-leicester-city,62,0,0,0,0.0,0.13,0,0,0,2,56,36,92.0,1.0,3,0,0.0,0,0.0,1,0,1,0,2,0,0,5,0,5,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,8
296,24-25-prem-southampton-vs-leicester-city,59,0,0,0,0.0,0.05,0,0,0,0,50,34,92.0,2.0,5,0,0.0,1,50.0,4,1,2,0,0,0,0,5,1,5,83.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,8
291,24-25-prem-southampton-vs-leicester-city,90,0,0,1,0.44,0.03,0,0,1,3,78,55,85.0,0.0,17,0,0.0,4,57.0,3,0,2,1,2,2,1,5,4,4,80.0,1,25.0,0,0,0,0,0.0,0.0,0,0,0,8
301,24-25-prem-southampton-vs-leicester-city,90,0,0,0,0.0,0.02,0,0,0,2,80,62,90.0,0.0,5,0,0.0,4,67.0,1,1,3,0,5,4,0,5,1,3,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,8
298,24-25-prem-southampton-vs-leicester-city,88,0,0,1,0.04,0.4,0,0,0,2,58,29,81.0,2.0,1,2,33.0,1,50.0,1,0,6,0,1,0,1,2,8,2,22.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,8
635,24-25-prem-southampton-vs-leicester-city,68,0,0,1,0.05,0.23,0,0,0,2,38,22,81.0,2.0,5,2,100.0,1,50.0,1,0,0,0,1,1,1,3,5,2,29.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,8
461,24-25-prem-southampton-vs-leicester-city,90,0,0,2,0.18,0.0,0,0,0,2,53,36,90.0,2.0,4,0,0.0,2,50.0,1,0,6,2,6,3,0,2,0,1,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
300,24-25-prem-southampton-vs-leicester-city,90,0,0,0,0.0,0.05,0,0,0,4,74,42,81.0,0.0,7,0,0.0,0,0.0,1,0,7,1,4,2,1,4,5,4,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
518,24-25-prem-southampton-vs-leicester-city,90,0,0,1,0.2,0.01,1,0,1,2,63,44,96.0,0.0,1,0,0.0,1,100.0,3,1,5,0,4,1,2,3,8,3,30.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,8
475,24-25-prem-southampton-vs-leicester-city,12,0,0,0,0.0,0.01,0,0,0,0,13,1,100.0,0.0,3,1,33.0,0,0.0,3,0,0,0,3,0,1,3,2,3,60.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
501,24-25-prem-southampton-vs-leicester-city,45,0,0,0,0.0,0.01,0,1,0,0,24,16,94.0,0.0,3,0,0.0,0,0.0,0,2,2,0,0,0,0,3,0,3,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,8
462,24-25-prem-southampton-vs-leicester-city,12,0,0,1,0.02,0.0,0,0,0,1,11,1,100.0,0.0,0,0,0.0,0,0.0,3,0,1,0,1,0,0,3,3,3,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
623,24-25-prem-southampton-vs-leicester-city,68,0,0,0,0.0,0.02,0,0,0,1,58,32,86.0,0.0,5,0,0.0,2,67.0,1,0,3,1,1,0,3,6,7,6,46.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,8
608,24-25-prem-southampton-vs-leicester-city,78,0,0,1,0.04,0.01,1,0,0,3,30,12,86.0,0.0,1,0,0.0,1,100.0,2,1,1,0,0,0,0,4,7,4,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
455,24-25-prem-southampton-vs-leicester-city,90,0,0,0,0.0,0.63,0,0,0,1,40,25,81.0,1.0,3,0,0.0,3,75.0,1,1,2,1,4,2,0,1,3,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,8
471,24-25-prem-southampton-vs-leicester-city,22,0,0,0,0.0,0.0,0,0,0,0,4,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,1,1,1,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,8
470,24-25-prem-southampton-vs-leicester-city,22,0,0,1,0.02,0.0,0,0,0,2,19,4,44.0,1.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,5,6,2,29.0,3,75.0,2,0,0,0,0.0,0.0,0,0,0,8
14,24-25-prem-southampton-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,46,25,60.0,0.0,0,0,0.0,8,32.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,3,2.53,-0.47,0,25,8,8
397,24-25-prem-southampton-vs-leicester-city,11,0,0,0,0.0,0.09,0,0,0,1,7,1,50.0,1.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,8
290,24-25-prem-southampton-vs-leicester-city,2,0,0,1,0.02,0.02,0,0,0,3,8,5,100.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
