player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
503,24-25-prem-tottenham-hotspur-vs-west-ham-united,70,1,0,5,0.41,0.06,2,1,1,10,43,26,84.0,2.0,2,0,0.0,0,0.0,0,0,2,0,0,0,2,1,4,1,20.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,8
492,24-25-prem-tottenham-hotspur-vs-west-ham-united,90,1,0,4,0.17,0.06,1,2,0,7,59,29,85.0,2.0,4,0,0.0,1,100.0,3,0,8,0,0,0,0,8,8,8,50.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,8
482,24-25-prem-tottenham-hotspur-vs-west-ham-united,81,1,0,1,0.16,0.02,1,0,0,1,60,37,93.0,1.0,6,0,0.0,0,0.0,4,0,3,0,4,3,2,7,5,7,58.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,8
505,24-25-prem-tottenham-hotspur-vs-west-ham-united,88,0,1,1,0.06,0.51,0,0,0,5,55,27,87.0,3.0,2,2,67.0,1,100.0,1,1,4,1,0,0,2,6,7,5,45.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,8
494,24-25-prem-tottenham-hotspur-vs-west-ham-united,45,0,1,0,0.0,0.6,0,1,0,5,50,32,91.0,5.0,6,2,29.0,0,0.0,0,1,1,0,0,0,0,2,3,2,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
499,24-25-prem-tottenham-hotspur-vs-west-ham-united,45,0,1,0,0.0,0.01,0,0,0,0,29,19,100.0,1.0,3,0,0.0,2,100.0,2,0,2,1,1,1,1,4,3,4,67.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,8
495,24-25-prem-tottenham-hotspur-vs-west-ham-united,90,0,0,4,0.11,0.15,1,0,0,3,84,37,79.0,2.0,3,4,33.0,2,100.0,1,2,8,0,1,0,1,4,4,3,43.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,8
498,24-25-prem-tottenham-hotspur-vs-west-ham-united,90,0,0,0,0.0,0.13,0,0,0,1,86,67,85.0,0.0,19,1,100.0,4,44.0,2,0,3,0,2,0,1,8,2,4,80.0,4,80.0,0,0,0,0,0.0,0.0,0,0,0,8
506,24-25-prem-tottenham-hotspur-vs-west-ham-united,90,0,0,0,0.0,0.01,0,0,0,0,78,61,91.0,0.0,6,0,0.0,2,50.0,2,1,8,2,4,1,3,3,7,3,43.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,8
388,24-25-prem-tottenham-hotspur-vs-west-ham-united,90,0,0,1,0.03,0.02,0,4,0,2,77,39,83.0,1.0,7,0,0.0,0,0.0,5,4,4,0,4,1,1,11,1,9,90.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,8
