player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
84,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,34,10,67.0,0.0,0,0,0.0,8,62.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,7,1,3.23,2.23,1,10,8,9
79,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.05,0,1,0,0,77,51,80.0,1.0,15,0,0.0,9,69.0,2,1,7,0,2,0,1,10,6,4,57.0,6,67.0,1,2,0,0,0.0,0.0,0,0,0,9
36,24-25-prem-aston-villa-vs-afc-bournemouth,71,0,0,0,0.0,0.41,0,0,0,1,41,23,88.0,2.0,0,1,33.0,0,0.0,1,3,3,0,0,0,2,5,5,3,43.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,9
44,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,1,0.07,0.11,1,1,0,0,76,59,88.0,1.0,6,0,0.0,2,29.0,0,1,2,0,2,1,0,5,0,5,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,9
53,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.15,0,1,0,5,50,30,79.0,2.0,3,0,0.0,0,0.0,0,2,5,1,0,0,0,3,1,2,67.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,9
32,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.14,0,1,0,0,56,31,89.0,1.0,3,1,50.0,2,67.0,1,2,4,0,3,1,1,4,3,3,60.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,9
617,24-25-prem-aston-villa-vs-afc-bournemouth,26,1,0,1,0.04,0.0,1,0,0,4,8,3,60.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,9
47,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,60,38,76.0,0.0,0,0,0.0,5,29.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.05,0.05,1,38,5,9
57,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,4,0.25,0.27,1,0,0,4,91,53,79.0,2.0,13,3,27.0,2,33.0,1,2,2,1,1,0,0,3,4,3,60.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,9
83,24-25-prem-aston-villa-vs-afc-bournemouth,26,0,1,1,0.04,0.07,0,0,0,0,18,8,80.0,2.0,2,1,33.0,1,100.0,0,0,0,0,0,0,0,3,2,3,60.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,9
78,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,1,0.02,0.03,0,2,0,5,44,17,77.0,2.0,2,0,0.0,0,0.0,1,0,4,0,0,0,1,8,5,7,70.0,1,33.0,3,3,0,0,0.0,0.0,0,0,0,9
29,24-25-prem-aston-villa-vs-afc-bournemouth,45,1,0,2,0.51,0.01,1,0,0,2,29,18,78.0,0.0,4,0,0.0,0,0.0,0,0,3,1,1,1,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
70,24-25-prem-aston-villa-vs-afc-bournemouth,81,0,0,1,0.02,0.09,0,0,0,0,33,19,90.0,2.0,3,2,100.0,0,0.0,1,3,3,0,1,0,0,2,2,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
63,24-25-prem-aston-villa-vs-afc-bournemouth,81,0,0,0,0.0,0.07,0,1,0,2,62,39,91.0,0.0,8,0,0.0,4,80.0,2,1,6,0,3,3,1,5,5,4,50.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,9
58,24-25-prem-aston-villa-vs-afc-bournemouth,82,0,0,3,0.35,0.23,2,1,0,10,24,8,67.0,2.0,0,0,0.0,0,0.0,1,0,1,0,1,0,0,5,5,3,43.0,2,67.0,1,2,0,0,0.0,0.0,0,0,0,9
85,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.03,0,0,0,0,46,30,86.0,0.0,4,0,0.0,0,0.0,0,2,5,2,3,1,0,3,0,2,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,9
64,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,0,61,43,90.0,0.0,4,1,25.0,3,75.0,2,1,4,2,1,0,0,2,2,2,67.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
28,24-25-prem-aston-villa-vs-afc-bournemouth,19,0,1,0,0.0,0.16,0,0,0,1,4,1,50.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
65,24-25-prem-aston-villa-vs-afc-bournemouth,64,0,0,2,0.1,0.02,0,0,0,2,24,8,73.0,0.0,2,0,0.0,0,0.0,0,0,5,0,0,0,1,6,5,2,40.0,4,67.0,1,0,0,0,0.0,0.0,0,0,0,9
52,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,2,0.05,0.01,1,0,0,2,44,34,92.0,0.0,6,0,0.0,3,60.0,0,0,4,0,4,2,0,2,5,0,0.0,2,29.0,0,0,0,0,0.0,0.0,0,0,0,9
71,24-25-prem-aston-villa-vs-afc-bournemouth,64,0,0,2,0.04,0.01,1,1,0,1,20,9,90.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,0,0,2,2,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
38,24-25-prem-aston-villa-vs-afc-bournemouth,33,0,0,3,0.29,0.0,1,0,1,2,23,7,70.0,0.0,2,0,0.0,1,100.0,1,0,2,0,1,1,0,7,5,4,67.0,3,50.0,2,0,0,0,0.0,0.0,0,0,0,9
233,24-25-prem-aston-villa-vs-afc-bournemouth,45,0,0,2,0.21,0.02,1,1,1,2,42,28,88.0,0.0,7,0,0.0,1,100.0,0,0,2,0,0,0,0,2,2,2,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
74,24-25-prem-aston-villa-vs-afc-bournemouth,90,0,0,2,0.05,0.02,1,0,0,3,34,5,56.0,0.0,0,0,0.0,0,0.0,1,1,1,1,5,3,1,3,7,2,33.0,1,25.0,1,1,0,0,0.0,0.0,0,0,0,9
48,24-25-prem-aston-villa-vs-afc-bournemouth,71,0,0,0,0.0,0.07,0,1,0,2,26,14,82.0,1.0,1,0,0.0,0,0.0,0,0,4,0,0,0,1,3,5,3,38.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,9
592,24-25-prem-aston-villa-vs-afc-bournemouth,30,0,0,0,0.0,0.0,0,0,0,0,13,8,100.0,0.0,1,0,0.0,1,100.0,0,1,2,0,0,0,0,1,2,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
81,24-25-prem-aston-villa-vs-afc-bournemouth,60,0,0,0,0.0,0.01,0,0,0,0,29,15,79.0,1.0,3,0,0.0,0,0.0,0,1,1,0,1,1,1,2,4,1,20.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,9
45,24-25-prem-aston-villa-vs-afc-bournemouth,19,0,0,0,0.0,0.04,0,0,0,1,11,4,80.0,0.0,0,1,100.0,1,100.0,0,0,1,0,1,1,0,2,2,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,9
54,24-25-prem-aston-villa-vs-afc-bournemouth,57,0,0,1,0.08,0.08,0,0,0,2,19,10,83.0,1.0,2,0,0.0,1,100.0,0,0,0,0,0,0,1,1,7,1,14.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
62,24-25-prem-aston-villa-vs-afc-bournemouth,9,0,0,0,0.0,0.0,0,0,0,0,7,2,100.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
60,24-25-prem-aston-villa-vs-afc-bournemouth,9,0,0,0,0.0,0.0,0,0,0,0,3,3,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
42,24-25-prem-aston-villa-vs-afc-bournemouth,8,0,0,0,0.0,0.0,0,0,0,0,7,4,80.0,0.0,0,0,0.0,0,0.0,0,1,2,0,0,0,0,1,1,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
