player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
401,24-25-prem-chelsea-vs-newcastle-united,90,1,0,3,1.21,0.09,2,1,2,10,39,16,70.0,1.0,2,0,0.0,0,0.0,0,0,2,0,0,0,0,4,8,2,25.0,2,50.0,0,4,0,0,0.0,0.0,0,0,0,9
560,24-25-prem-chelsea-vs-newcastle-united,90,0,1,5,0.18,0.27,2,3,0,6,53,28,93.0,3.0,1,2,50.0,1,50.0,0,2,2,0,0,0,1,4,9,3,33.0,1,25.0,0,2,0,0,0.0,0.0,0,0,0,9
182,24-25-prem-chelsea-vs-newcastle-united,90,1,0,1,0.05,0.26,1,1,0,2,58,31,76.0,1.0,8,1,20.0,5,56.0,0,1,7,0,0,0,0,4,4,4,57.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,9
157,24-25-prem-chelsea-vs-newcastle-united,90,0,0,1,0.08,0.04,0,0,0,0,71,49,94.0,2.0,10,0,0.0,3,75.0,3,6,4,0,1,0,0,5,3,4,57.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,9
180,24-25-prem-chelsea-vs-newcastle-united,78,1,0,1,0.56,0.04,1,1,0,1,21,12,75.0,3.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,2,3,2,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,9
174,24-25-prem-chelsea-vs-newcastle-united,72,0,1,0,0.0,0.02,0,0,0,0,51,41,95.0,1.0,9,0,0.0,4,100.0,1,2,4,0,2,1,1,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
172,24-25-prem-chelsea-vs-newcastle-united,90,0,0,0,0.0,0.04,0,0,0,0,81,54,86.0,0.0,8,1,20.0,4,50.0,0,2,5,2,2,2,1,5,1,2,67.0,3,100.0,2,0,0,0,0.0,0.0,0,0,0,9
399,24-25-prem-chelsea-vs-newcastle-united,89,0,1,0,0.0,0.78,0,0,0,1,78,38,75.0,4.0,10,5,100.0,5,56.0,2,1,5,1,1,0,1,5,4,3,60.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,9
171,24-25-prem-chelsea-vs-newcastle-united,78,0,0,4,0.3,0.03,0,0,0,4,56,30,88.0,1.0,5,0,0.0,0,0.0,1,1,6,0,1,1,0,6,3,5,63.0,1,100.0,3,1,0,0,0.0,0.0,0,0,0,9
177,24-25-prem-chelsea-vs-newcastle-united,67,0,0,2,0.08,0.18,2,1,0,8,41,20,87.0,2.0,1,1,33.0,1,100.0,0,0,5,0,0,0,1,2,6,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
162,24-25-prem-chelsea-vs-newcastle-united,90,0,0,0,0.0,0.01,0,0,0,3,70,48,87.0,0.0,8,0,0.0,2,33.0,1,1,2,0,7,1,0,3,3,2,67.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,9
185,24-25-prem-chelsea-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,46,20,50.0,0.0,0,0,0.0,5,21.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.17,0.17,1,20,5,9
189,24-25-prem-chelsea-vs-newcastle-united,90,0,0,0,0.0,0.01,0,0,0,1,65,38,90.0,0.0,4,0,0.0,0,0.0,0,1,3,2,6,5,0,7,6,3,50.0,4,57.0,3,1,0,0,0.0,0.0,0,0,0,9
394,24-25-prem-chelsea-vs-newcastle-united,90,0,0,1,0.04,0.04,0,1,0,1,77,51,86.0,1.0,11,0,0.0,4,67.0,1,1,5,1,0,0,1,7,3,7,70.0,0,0.0,5,1,0,0,0.0,0.0,0,0,0,9
181,24-25-prem-chelsea-vs-newcastle-united,12,0,0,2,0.11,0.02,0,1,0,5,8,2,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,4,2,2,50.0,2,100.0,1,2,0,0,0.0,0.0,0,0,0,9
179,24-25-prem-chelsea-vs-newcastle-united,23,0,0,1,0.25,0.0,1,0,0,1,12,5,100.0,0.0,0,0,0.0,0,0.0,1,0,2,0,1,1,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
410,24-25-prem-chelsea-vs-newcastle-united,22,0,0,0,0.0,0.0,0,0,0,1,19,10,83.0,0.0,1,0,0.0,1,100.0,2,0,2,0,0,0,0,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
