player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
201,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,37,11,38.0,0.0,0,0,0.0,10,36.0,0,0,15,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,0.44,0.44,0,11,10,9
159,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,39,13,59.0,0.0,7,0,0.0,4,40.0,3,1,6,0,7,5,0,9,1,5,83.0,4,100.0,2,1,0,0,0.0,0.0,0,0,0,9
207,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,1,0,1,0.12,0.01,1,0,0,1,24,10,67.0,0.0,1,0,0.0,0,0.0,0,0,5,0,2,2,0,3,4,0,0.0,3,50.0,0,1,0,0,0.0,0.0,0,0,0,9
199,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,1,4,0.22,0.28,1,3,0,8,65,21,66.0,1.0,8,2,33.0,4,57.0,0,0,4,0,1,1,2,8,11,8,47.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,9
211,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,2,0.07,0.12,0,0,0,6,55,14,74.0,1.0,3,1,25.0,0,0.0,5,1,7,0,3,2,1,11,10,9,53.0,2,50.0,0,5,0,0,0.0,0.0,0,0,0,9
498,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,1,0.05,0.02,0,0,0,3,98,67,87.0,1.0,3,0,0.0,4,67.0,5,2,6,0,5,3,0,6,5,6,86.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
650,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,1,0.06,0.0,0,0,0,1,32,15,71.0,0.0,8,0,0.0,2,40.0,3,2,6,0,3,2,0,5,4,3,60.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,9
210,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,0,0.0,0.06,0,1,0,1,52,16,70.0,1.0,4,0,0.0,1,25.0,1,1,6,0,3,1,1,7,5,5,50.0,2,100.0,3,2,0,0,0.0,0.0,0,0,0,9
505,24-25-prem-crystal-palace-vs-tottenham-hotspur,90,0,0,0,0.0,0.06,0,2,0,1,86,46,85.0,1.0,6,1,50.0,0,0.0,0,1,9,0,3,2,0,9,8,8,67.0,1,20.0,5,0,0,0,0.0,0.0,0,0,0,9
216,24-25-prem-crystal-palace-vs-tottenham-hotspur,88,0,0,2,0.07,0.02,1,0,0,1,47,18,67.0,0.0,6,0,0.0,1,20.0,2,3,5,0,4,1,2,5,6,4,50.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,9
