player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
222,24-25-prem-everton-vs-fulham,90,0,0,1,0.04,0.03,0,2,0,0,64,41,89.0,0.0,6,0,0.0,1,100.0,4,2,7,0,0,0,0,11,2,9,82.0,2,100.0,2,1,0,0,0.0,0.0,0,0,0,9
247,24-25-prem-everton-vs-fulham,89,1,0,2,0.15,0.07,1,3,0,3,65,35,76.0,0.0,11,1,50.0,5,71.0,1,0,6,0,0,0,0,5,7,5,63.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
238,24-25-prem-everton-vs-fulham,90,0,1,0,0.0,0.5,0,0,0,1,61,38,81.0,1.0,11,0,0.0,2,29.0,2,0,3,0,4,2,1,4,2,3,75.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,9
19,24-25-prem-everton-vs-fulham,79,0,1,2,0.34,0.02,0,1,1,3,57,44,96.0,1.0,7,0,0.0,1,100.0,2,0,4,0,0,0,2,3,4,3,43.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
257,24-25-prem-everton-vs-fulham,90,0,0,1,0.04,0.05,0,0,0,0,97,54,79.0,1.0,6,1,50.0,4,57.0,3,2,5,0,3,2,2,7,6,6,50.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,9
248,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,70,52,91.0,0.0,0,0,0.0,4,44.0,0,0,19,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,1.31,0.31,2,52,4,9
231,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.13,0,1,0,1,57,24,77.0,2.0,4,2,50.0,0,0.0,1,1,7,0,3,1,0,4,2,3,75.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,9
235,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.01,0,0,0,0,48,23,68.0,0.0,0,0,0.0,10,48.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.33,0.33,1,23,10,9
245,24-25-prem-everton-vs-fulham,90,0,0,1,0.06,0.0,0,1,0,1,92,72,90.0,1.0,7,0,0.0,3,43.0,0,1,4,1,6,3,0,3,3,3,75.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,9
217,24-25-prem-everton-vs-fulham,80,0,0,1,0.06,0.02,1,0,0,2,44,33,89.0,1.0,2,0,0.0,1,100.0,1,1,7,0,0,0,0,5,2,3,60.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,9
622,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.02,0,0,0,0,66,52,91.0,1.0,10,0,0.0,0,0.0,1,0,5,1,1,1,0,4,1,2,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,9
236,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.15,0,0,0,2,62,42,86.0,2.0,5,0,0.0,3,50.0,1,0,2,1,8,3,1,3,4,2,33.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,9
252,24-25-prem-everton-vs-fulham,89,0,0,4,0.47,0.24,1,1,0,6,47,20,77.0,3.0,3,0,0.0,1,100.0,0,0,2,0,1,0,0,5,6,4,50.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,9
228,24-25-prem-everton-vs-fulham,90,0,0,1,0.04,0.0,0,0,0,1,50,25,76.0,1.0,5,0,0.0,0,0.0,2,0,3,1,5,3,1,4,4,3,75.0,1,25.0,0,0,0,0,0.0,0.0,0,0,0,9
255,24-25-prem-everton-vs-fulham,90,0,0,1,0.02,0.03,0,0,0,2,79,40,83.0,0.0,4,1,50.0,2,50.0,2,0,5,0,7,3,0,2,3,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
220,24-25-prem-everton-vs-fulham,81,0,0,1,0.12,0.02,0,0,0,3,29,9,60.0,1.0,3,0,0.0,0,0.0,1,1,0,0,0,0,1,10,5,3,50.0,7,78.0,2,0,0,0,0.0,0.0,0,0,0,9
651,24-25-prem-everton-vs-fulham,10,0,0,0,0.0,0.01,0,1,0,0,12,9,90.0,1.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
230,24-25-prem-everton-vs-fulham,86,0,0,1,0.06,0.13,1,2,0,1,45,24,83.0,0.0,4,2,33.0,1,100.0,0,1,1,0,0,0,1,4,4,3,43.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,9
10,24-25-prem-everton-vs-fulham,22,0,0,0,0.0,0.04,0,1,0,2,15,7,88.0,1.0,1,1,100.0,1,100.0,0,0,1,0,0,0,1,2,2,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
232,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.04,0,1,0,0,42,22,81.0,0.0,1,1,50.0,0,0.0,0,2,4,0,0,0,0,3,4,3,43.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,9
241,24-25-prem-everton-vs-fulham,90,0,0,0,0.0,0.01,0,0,0,0,84,73,92.0,0.0,9,0,0.0,3,43.0,1,1,2,0,1,0,0,2,7,1,50.0,1,14.0,0,0,0,0,0.0,0.0,0,0,0,9
239,24-25-prem-everton-vs-fulham,68,0,0,1,0.13,0.12,1,0,0,2,38,19,79.0,2.0,3,2,40.0,0,0.0,0,0,0,0,0,0,0,3,4,1,20.0,2,100.0,1,2,0,0,0.0,0.0,0,0,0,9
240,24-25-prem-everton-vs-fulham,79,0,0,1,0.03,0.16,0,0,0,3,46,27,73.0,2.0,7,2,67.0,1,20.0,0,0,4,0,0,0,2,0,9,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,9
259,24-25-prem-everton-vs-fulham,11,0,0,0,0.0,0.01,0,0,0,0,5,4,100.0,0.0,1,0,0.0,1,100.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
254,24-25-prem-everton-vs-fulham,11,0,0,1,0.01,0.0,0,0,0,1,9,4,80.0,0.0,1,0,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
577,24-25-prem-everton-vs-fulham,22,0,0,1,0.02,0.0,1,0,0,0,10,5,71.0,0.0,2,0,0.0,1,50.0,0,0,1,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
224,24-25-prem-everton-vs-fulham,68,0,0,1,0.06,0.13,0,0,0,2,28,7,58.0,1.0,3,1,50.0,0,0.0,0,0,0,0,0,0,1,1,5,1,17.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
586,24-25-prem-everton-vs-fulham,1,0,0,0,0.0,0.0,0,0,0,0,4,1,50.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,1,0,2,0,1,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,9
219,24-25-prem-everton-vs-fulham,4,0,0,0,0.0,0.0,0,0,0,0,6,2,50.0,0.0,1,0,0.0,0,0.0,0,0,0,0,2,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
218,24-25-prem-everton-vs-fulham,9,1,0,3,0.39,0.0,2,0,0,4,7,0,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,1,2,2,0,0.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,9
251,24-25-prem-everton-vs-fulham,1,0,0,0,0.0,0.0,0,0,0,0,1,1,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
