player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
447,24-25-prem-leicester-city-vs-nottingham-forest,81,2,0,3,0.35,0.01,2,0,0,4,23,10,71.0,1.0,5,0,0.0,0,0.0,0,0,1,0,0,0,0,2,3,0,0.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,9
434,24-25-prem-leicester-city-vs-nottingham-forest,76,0,0,2,0.08,0.03,1,6,0,4,45,23,88.0,1.0,3,0,0.0,2,100.0,1,1,4,0,0,0,0,10,2,10,83.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
449,24-25-prem-leicester-city-vs-nottingham-forest,90,1,0,2,0.4,0.01,1,0,1,3,50,27,82.0,1.0,4,0,0.0,0,0.0,0,1,3,0,4,3,1,8,5,4,80.0,4,50.0,2,0,0,0,0.0,0.0,0,0,0,9
422,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.02,0,3,0,1,58,17,59.0,0.0,4,1,25.0,0,0.0,3,0,7,0,5,5,1,10,5,9,75.0,1,33.0,3,2,0,0,0.0,0.0,0,0,0,9
306,24-25-prem-leicester-city-vs-nottingham-forest,90,1,0,2,0.54,0.07,1,0,0,5,25,11,61.0,2.0,0,1,100.0,1,100.0,0,0,0,0,3,2,0,4,0,0,0.0,4,100.0,0,0,0,0,0.0,0.0,0,0,0,9
423,24-25-prem-leicester-city-vs-nottingham-forest,72,0,1,5,0.24,0.08,0,3,0,5,52,26,79.0,1.0,2,0,0.0,1,100.0,1,0,4,0,0,0,2,7,6,7,58.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,9
573,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,1,0.06,0.0,0,1,0,0,29,12,71.0,0.0,4,0,0.0,6,60.0,2,2,4,0,3,2,0,4,3,3,75.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,9
117,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,4,0.12,0.09,0,2,0,4,85,41,93.0,2.0,3,2,40.0,2,100.0,1,2,9,2,1,1,3,7,11,6,38.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,9
443,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,31,13,52.0,0.0,0,0,0.0,10,45.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0.97,-0.03,0,13,10,9
431,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,1,0.28,0.02,1,0,1,1,54,38,93.0,0.0,7,0,0.0,3,75.0,0,3,5,0,2,0,0,3,5,3,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,9
436,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,2,0.17,0.08,0,0,0,3,43,25,83.0,2.0,5,0,0.0,2,40.0,1,0,2,3,4,3,0,3,5,2,67.0,1,20.0,0,0,0,0,0.0,0.0,0,0,0,9
309,24-25-prem-leicester-city-vs-nottingham-forest,90,0,1,1,0.02,0.6,0,0,0,1,87,66,85.0,2.0,16,3,100.0,0,0.0,0,0,8,1,1,0,0,1,4,1,33.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,9
26,24-25-prem-leicester-city-vs-nottingham-forest,72,0,0,0,0.0,0.02,0,0,0,2,35,19,79.0,1.0,4,0,0.0,0,0.0,1,0,5,0,4,1,1,1,6,1,20.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,9
620,24-25-prem-leicester-city-vs-nottingham-forest,14,0,0,1,0.02,0.05,0,1,0,1,14,5,71.0,2.0,2,0,0.0,1,100.0,0,0,2,0,0,0,1,2,2,1,33.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,9
301,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,0,0,3,89,70,96.0,0.0,5,0,0.0,1,50.0,3,2,6,2,5,4,0,5,1,4,80.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,9
653,24-25-prem-leicester-city-vs-nottingham-forest,18,0,0,0,0.0,0.0,0,1,0,0,12,2,50.0,0.0,1,0,0.0,1,100.0,0,2,2,0,4,2,0,1,3,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
596,24-25-prem-leicester-city-vs-nottingham-forest,14,0,0,1,0.05,0.01,0,0,0,1,9,1,33.0,0.0,1,0,0.0,0,0.0,0,1,4,0,0,0,0,4,1,3,100.0,1,50.0,2,0,0,0,0.0,0.0,0,0,0,9
437,24-25-prem-leicester-city-vs-nottingham-forest,18,0,0,0,0.0,0.0,0,0,0,1,12,2,67.0,0.0,0,0,0.0,0,0.0,2,0,0,0,1,0,0,3,0,3,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
570,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,1,0.01,0.09,0,3,0,6,71,25,81.0,1.0,2,1,9.0,0,0.0,1,0,5,0,3,3,3,9,13,6,35.0,3,60.0,2,3,0,0,0.0,0.0,0,0,0,9
285,24-25-prem-leicester-city-vs-nottingham-forest,16,0,0,0,0.0,0.02,0,1,0,0,14,9,82.0,0.0,0,0,0.0,1,100.0,1,0,0,0,0,0,0,4,3,3,60.0,1,50.0,1,2,0,0,0.0,0.0,0,0,0,9
432,24-25-prem-leicester-city-vs-nottingham-forest,76,0,0,1,0.05,0.01,0,0,0,3,32,8,67.0,1.0,1,0,0.0,2,67.0,0,0,0,0,0,0,0,2,5,1,25.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,9
295,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.02,0,0,0,1,96,62,86.0,1.0,16,0,0.0,3,50.0,1,1,3,0,4,2,2,6,5,3,43.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,9
635,24-25-prem-leicester-city-vs-nottingham-forest,22,0,0,0,0.0,0.02,0,0,0,1,15,11,85.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
300,24-25-prem-leicester-city-vs-nottingham-forest,74,0,0,1,0.04,0.01,0,0,0,3,46,29,83.0,0.0,5,0,0.0,1,100.0,0,0,3,0,4,4,1,8,3,1,33.0,7,88.0,0,1,0,0,0.0,0.0,0,0,0,9
298,24-25-prem-leicester-city-vs-nottingham-forest,68,0,0,2,0.03,0.02,0,0,0,1,40,21,70.0,2.0,5,0,0.0,0,0.0,0,0,3,0,0,0,2,1,10,0,0.0,1,20.0,0,2,0,0,0.0,0.0,0,0,0,9
302,24-25-prem-leicester-city-vs-nottingham-forest,68,0,0,0,0.0,0.02,0,0,0,0,56,36,88.0,0.0,5,0,0.0,2,100.0,2,1,4,1,0,0,2,3,3,3,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
192,24-25-prem-leicester-city-vs-nottingham-forest,22,0,0,0,0.0,0.01,0,0,0,1,17,9,90.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,3,1,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
293,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,43,25,83.0,0.0,0,0,0.0,4,44.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,3,1.71,-1.29,2,25,4,9
291,24-25-prem-leicester-city-vs-nottingham-forest,90,0,0,0,0.0,0.04,0,0,0,1,82,67,91.0,0.0,12,0,0.0,5,50.0,1,0,2,0,2,2,2,4,5,1,33.0,3,50.0,0,0,0,0,0.0,0.0,0,0,0,9
424,24-25-prem-leicester-city-vs-nottingham-forest,9,0,0,1,0.06,0.01,0,0,1,1,7,3,75.0,0.0,0,0,0.0,0,0.0,0,0,3,0,0,0,0,2,2,1,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,9
