player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
571,24-25-prem-manchester-city-vs-southampton,90,0,0,2,0.07,0.87,1,6,0,17,74,41,85.0,5.0,1,4,57.0,0,0.0,0,1,6,0,0,0,2,7,6,7,54.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,9
350,24-25-prem-manchester-city-vs-southampton,90,0,0,2,0.07,0.16,0,0,0,5,120,96,93.0,3.0,11,0,0.0,2,67.0,1,2,1,0,6,5,0,3,3,2,67.0,1,33.0,1,1,0,0,0.0,0.0,0,0,0,9
361,24-25-prem-manchester-city-vs-southampton,90,0,0,1,0.02,0.06,1,0,0,0,98,90,97.0,1.0,14,0,0.0,1,33.0,1,0,8,0,2,1,0,3,3,2,100.0,1,25.0,0,0,0,0,0.0,0.0,0,0,0,9
356,24-25-prem-manchester-city-vs-southampton,86,0,1,2,0.06,0.56,0,1,0,9,79,53,91.0,2.0,1,2,33.0,1,100.0,1,1,3,0,1,1,1,4,7,3,30.0,1,100.0,1,3,0,0,0.0,0.0,0,0,0,9
348,24-25-prem-manchester-city-vs-southampton,90,0,0,3,0.18,0.72,0,1,0,5,70,45,96.0,5.0,0,3,27.0,1,100.0,0,1,1,0,0,0,0,3,3,3,60.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,9
354,24-25-prem-manchester-city-vs-southampton,90,0,0,3,0.18,0.13,1,0,0,2,80,56,90.0,0.0,7,0,0.0,0,0.0,3,2,4,0,0,0,1,7,5,7,58.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,9
342,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.07,0,1,0,4,59,44,90.0,2.0,7,0,0.0,0,0.0,0,2,6,0,1,0,2,3,3,3,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
351,24-25-prem-manchester-city-vs-southampton,90,1,0,8,2.33,0.0,4,0,3,11,21,5,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,5,1,20.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,9
347,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,25,18,86.0,0.0,0,0,0.0,5,63.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.05,0.05,0,18,5,9
461,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,1,88,68,96.0,0.0,1,0,0.0,2,100.0,1,0,1,4,9,3,1,3,1,2,67.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,9
340,24-25-prem-manchester-city-vs-southampton,90,0,0,1,0.04,0.09,1,0,0,0,93,79,93.0,1.0,5,1,50.0,1,33.0,0,1,0,1,2,1,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
355,24-25-prem-manchester-city-vs-southampton,89,0,0,0,0.0,0.05,0,0,0,1,50,41,98.0,0.0,7,0,0.0,1,100.0,0,0,0,0,2,1,0,2,0,1,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,9
623,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.05,0,2,0,1,67,38,84.0,1.0,2,1,50.0,0,0.0,3,2,3,0,1,1,2,7,6,7,54.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
14,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,74,48,86.0,0.0,0,0,0.0,4,40.0,0,0,17,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,1,0.79,-0.21,0,48,4,9
518,24-25-prem-manchester-city-vs-southampton,87,0,0,0,0.0,0.0,0,0,0,0,45,34,94.0,0.0,0,0,0.0,0,0.0,1,1,2,0,2,0,1,5,3,5,63.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,9
472,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,0,47,34,94.0,1.0,0,0,0.0,1,100.0,1,1,3,0,6,2,1,1,4,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,9
476,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,0,74,55,95.0,1.0,3,0,0.0,1,100.0,0,1,1,0,1,0,1,2,5,2,33.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,9
452,24-25-prem-manchester-city-vs-southampton,30,0,0,0,0.0,0.03,0,1,0,1,19,14,88.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,2,0,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
455,24-25-prem-manchester-city-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,1,88,74,95.0,0.0,3,0,0.0,2,40.0,0,0,2,2,6,3,1,3,3,1,33.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,9
463,24-25-prem-manchester-city-vs-southampton,60,0,0,0,0.0,0.01,0,1,0,0,38,26,90.0,0.0,1,0,0.0,1,100.0,1,0,1,1,1,1,1,3,2,2,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,9
457,24-25-prem-manchester-city-vs-southampton,13,0,0,0,0.0,0.02,0,1,0,0,12,8,80.0,1.0,2,0,0.0,1,50.0,0,0,0,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,9
27,24-25-prem-manchester-city-vs-southampton,87,0,0,1,0.1,0.05,0,0,1,2,15,3,100.0,0.0,0,0,0.0,0,0.0,1,0,3,1,0,0,0,3,5,2,33.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,9
608,24-25-prem-manchester-city-vs-southampton,45,0,0,0,0.0,0.0,0,1,0,1,21,10,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,3,0,3,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,9
467,24-25-prem-manchester-city-vs-southampton,77,0,0,0,0.0,0.01,0,0,0,2,30,17,89.0,0.0,1,0,0.0,0,0.0,0,0,1,0,2,2,1,1,2,1,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,9
