player_code,player_id,first_name,second_name,web_name,team_code,position
438098,1,Fábio,Ferreira Vieira,Fábio Vieira,3,Midfielder
100051017,735,Mikel,Arteta,Arteta,3,Unknown
616059,756,Jack,Porter,Porter,3,Goalkeeper
538182,790,Jimi,Gower,Gower,3,Midfielder
514307,793,Jack,Henry-Francis,Jack Henry-Francis,3,Midfielder
563324,801,Brayden,Clarke,Clarke,3,Defender
577731,679,Ben,Broggio,Broggio,7,Midfielder
559962,710,Jamaldeen,Jimoh,Jimoh,7,Midfielder
204646,725,Donyell,Malen,Malen,7,Midfielder
606798,731,Andrés,García,A. Garcia,7,Defender
123354,40,Kortney,Hause,Hause,7,Defender
100037568,737,Unai,Emery,Emery,7,Unknown
174292,762,Marco,Asensio,M.Asensio,7,Midfielder
155408,64,Lewis,Cook,Cook,91,Midfielder
441240,66,Romain,Faivre,Faivre,91,Midfielder
223911,72,Chris,Mepham,Mepham,91,Defender
450539,103,Myles,Peart-Harris,Peart-Harris,94,Midfielder
591357,602,Ryan,Trevitt,Trevitt,94,Midfielder
622536,705,Benjamin,Arthur,Arthur,94,Defender
533463,74,Dango,Ouattara,O.Dango,91,Midfielder
168991,76,Philip,Billing,Philip,91,Midfielder
224995,80,Luis,Sinisterra,Sinisterra,91,Midfielder
496683,680,Max,Kinsey,Kinsey,91,Defender
575901,713,Julio,Soler,Soler,91,Defender
432830,88,Nathan,Collins,Collins,94,Defender
626464,634,Gustavo,Nunes Fernandes Gomes,G.Nunes,94,Midfielder
612534,786,Benjamin,Fredrick,Benjamin Fredrick,94,Defender
535301,115,Carlos,Baleba,Baleba,36,Midfielder
543158,116,Valentín,Barco,Barco,36,Defender
612855,127,Ibrahim,Osman,I.Osman,36,Midfielder
232792,131,Tariq,Lamptey,Lamptey,36,Defender
550141,133,Adrian,Mazilu,Mazilu,36,Midfielder
592031,135,Yankuba,Minteh,Minteh,36,Midfielder
450434,143,Deniz,Undav,Undav,36,Forward
176297,385,Marcus,Rashford,Rashford,7,Midfielder
590760,722,Daniel,Adu-Adjei,Adu-Adjei,91,Forward
550596,723,Dominic,Sadi,Sadi,91,Midfielder
568791,727,Callan,McKenna,McKenna,91,Goalkeeper
530121,728,Zain,Silcott-Duberry,Silcott-Duberry,91,Midfielder
100050427,738,Andoni,Iraola,Iraola,91,Unknown
15157,134,James,Milner,Milner,36,Midfielder
441192,141,Jeremy,Sarmiento Morante,Sarmiento,36,Midfielder
606774,707,Remy,Rees-Dottin,Rees-Dottin,91,Forward
541462,712,Matai,Akinmboni,Akinmboni,91,Defender
440089,89,Mikkel,Damsgaard,Damsgaard,94,Midfielder
183656,90,Josh,Dasilva,Dasilva,94,Midfielder
118342,91,Mark,Flekken,Flekken,94,Goalkeeper
194010,92,Rico,Henry,Henry,94,Defender
472713,93,Aaron,Hickey,Hickey,94,Defender
204580,94,Vitaly,Janelt,Janelt,94,Midfielder
570241,96,Kim,Ji-soo,Ji-soo,94,Defender
628204,97,Yunus Emre,Konak,Konak,94,Midfielder
249231,98,Keane,Lewis-Potter,Lewis-Potter,94,Midfielder
446008,99,Bryan,Mbeumo,Mbeumo,94,Midfielder
51927,100,Ben,Mee,Mee,94,Defender
128295,101,Christian,Nørgaard,Nørgaard,94,Midfielder
231065,104,Ethan,Pinnock,Pinnock,94,Defender
226956,105,Mads,Roerslev Rasmussen,Roerslev,94,Defender
513418,106,Kevin,Schade,Schade,94,Midfielder
502500,107,Igor Thiago,Nascimento Rodrigues,Thiago,94,Forward
144485,108,Ivan,Toney,Toney,94,Forward
507433,109,Hákon,Valdimarsson,Valdimarsson,94,Goalkeeper
216646,110,Yoane,Wissa,Wissa,94,Forward
508395,111,Yehor,Yarmoliuk,Yarmoliuk,94,Midfielder
48760,112,Mathias,Jorgensen,Zanka,94,Defender
244858,314,Fábio,Freitas Gouveia Carvalho,Carvalho,94,Midfielder
499717,649,Jayden,Meghoma,Meghoma,94,Defender
592662,661,Tony,Yogane,Yogane,94,Midfielder
220695,674,Paris,Maghoma,Maghoma,94,Midfielder
100042830,752,Thomas,Frank,Frank,94,Unknown
607464,757,Michael,Kayode,Kayode,94,Defender
535017,759,Julian,Eyestone,Eyestone,94,Goalkeeper
533710,780,Iwan,Morgan,Morgan,94,Forward
535818,113,Simon,Adingra,Adingra,36,Midfielder
475480,114,Benicio,Baker-Boaitey,Baker-Boaitey,36,Midfielder
519324,118,Amario,Cozier-Duberry,Cozier-Duberry,36,Midfielder
168090,119,Mahmoud,Dahoud,Dahoud,36,Midfielder
