id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
419,u,0.0,0.0,4.5,401,250,0,0,0,0,0.1,447,155,0,0,0.0,691,272,0,0,0.0,581,206,0.0,0.0,0,12007,0,43267,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689,271,0.0,684,271,0.0,668,265,0.0,688,270,,,,29,
176,u,0.0,0.0,4.5,375,58,0,0,0,0,0.0,771,258,0,0,0.0,675,251,0,0,0.0,562,233,0.0,0.0,0,0,0,457,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673,253,0.0,668,253,0.0,651,250,0.0,672,253,,,,29,
478,u,0.0,0.0,4.0,697,211,0,0,0,0,0.2,411,147,0,0,0.0,621,223,0,0,0.0,450,170,0.0,0.0,0,8361,0,43923,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618,225,0.0,603,225,0.0,568,214,0.0,617,225,,,,29,
479,a,,,4.0,646,48,0,0,0,0,0.5,276,42,1,0,1.0,441,40,0,7,0.0,402,47,0.0,0.2,0,39985,146,42174,395,-0.5,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,2.53,20.0,462,40,0.0,564,44,0.0,526,28,2.0,494,40,,,,29,
492,d,50.0,0.0,6.2,65,40,0,0,-3,3,2.8,114,36,110,0,4.1,46,21,9,405,0.0,770,332,0.0,17.7,0,1478975,282,1477819,24311,-0.2,0.0,3.92,3.95,7.87,39.17,0.16,0.17,0.33,1.64,584.0,46,12,813.1,7,7,685.0,22,12,208.0,9,6,3.0,,,29,
744,a,,,1.5,774,5,0,0,0,0,24.7,194,1,67,0,0.0,556,20,0,0,9.0,13,6,6.0,44.7,0,142027,6848,341670,1642,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551,20,0.0,529,20,0.0,485,20,0.0,550,20,,,,29,
430,u,0.0,0.0,4.9,266,55,0,0,-1,1,0.2,364,56,0,0,0.0,759,76,0,0,0.0,697,57,0.0,0.0,0,49670,0,62969,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760,76,0.0,758,75,0.0,750,76,0.0,760,76,,,,29,
358,a,,,5.2,160,4,0,0,-3,3,0.6,254,35,26,1,2.6,186,30,0,107,0.5,340,21,0.1,5.0,0,53483,2357,93674,667,1.0,1.0,0.0,0.0,0.0,16.32,0.0,0.0,0.0,1.63,246.4,228,22,0.0,776,82,0.0,772,79,24.7,340,22,,,,29,
653,a,,,4.5,410,71,0,0,0,0,0.1,463,162,34,0,1.7,334,109,2,123,0.5,317,104,0.1,7.6,0,14952,103,10097,281,1.0,1.0,0.1,0.02,0.12,8.16,0.01,0.0,0.01,1.19,164.2,294,108,5.2,456,160,5.0,439,160,17.6,375,126,,,,29,
770,a,100.0,100.0,5.0,219,139,0,0,0,0,0.2,393,129,20,3,4.0,51,26,2,58,5.5,53,17,1.1,4.0,0,23998,690,5110,2769,5.5,6.0,1.93,0.03,1.95,3.89,0.51,0.01,0.52,1.04,83.2,380,176,40.7,344,197,96.0,238,134,22.0,357,176,,,,29,
