code,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,elo
3,1,Arsenal,ARS,4,1235,1335,1220,1370,1250,1300,1,1988
7,2,Aston Villa,AVL,3,1110,1215,1080,1160,1140,1270,2,1808
91,3,Bournemouth,BOU,4,1195,1215,1130,1170,1260,1260,127,1815
94,4,Brentford,BRE,3,1100,1195,1080,1080,1120,1310,130,1750
36,5,Brighton,BHA,3,1140,1150,1120,1140,1160,1160,131,1767
8,6,Chelsea,CHE,4,1230,1235,1150,1150,1310,1320,4,1855
31,7,Crystal Palace,CRY,3,1130,1130,1140,1140,1120,1120,6,1767
11,8,Everton,EVE,3,1095,1125,1130,1140,1070,1100,7,1717
54,9,Fulham,FUL,3,1150,1150,1150,1150,1150,1150,34,1756
40,10,Ipswich,IPS,3,1075,1075,1070,1070,1080,1080,8,1595
13,11,Leicester,LEI,3,1075,1085,1060,1080,1090,1090,26,1620
14,12,Liverpool,LIV,5,1355,1360,1340,1350,1370,1370,10,1994
43,13,Man City,MCI,4,1230,1250,1140,1150,1320,1350,11,1945
1,14,Man Utd,MUN,3,1115,1140,1120,1120,1110,1160,12,1765
4,15,Newcastle,NEW,4,1195,1225,1140,1150,1250,1300,23,1837
17,16,Nott'm Forest,NFO,4,1195,1220,1200,1250,1190,1190,15,1771
20,17,Southampton,SOU,2,1055,1065,1050,1050,1060,1080,20,1546
6,18,Spurs,TOT,3,1150,1185,1090,1090,1210,1280,21,1771
21,19,West Ham,WHU,3,1095,1100,1080,1080,1110,1120,25,1725
39,20,Wolves,WOL,3,1095,1095,1070,1070,1120,1120,38,1662
