id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
22,i,0.0,0.0,5.4,164,101.0,0,0.0,-6,6.0,0.9,201,69.0,66,0,3.1,176.0,78.0,5,238,1.4,241.0,105.0,0.3,12.2,0.0,835860,52,830122,11350,0.0,0.0,2.99,1.45,4.44,6.59,0.27,0.13,0.4,0.6,304.4,170.0,63.0,187.0,155.0,107.0,237.0,93.0,56.0,72.6,134.0,73.0,,,,26,,Mikel,Merino Zazón,Merino,Foot injury - Unknown return date,,996,4,3,4,9,0,0,0,1,0,0,10,111,,,,0.0,0.36,0.81,0.9,10.03,26,30,55
23,u,0.0,0.0,5.4,173,107.0,0,0.0,-1,1.0,0.0,681,279.0,0,0,0.0,798.0,353.0,0,0,0.0,777.0,339.0,0.0,0.0,0.0,933,0,4420,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,353.0,0.0,797.0,353.0,0.0,795.0,352.0,0.0,798.0,353.0,,,,26,,Fábio,Ferreira Vieira,Fábio Vieira,has joined Hamburger on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
24,a,100.0,100.0,5.1,224,138.0,0,0.0,-4,4.0,0.1,434,147.0,4,0,1.0,494.0,230.0,0,14,0.2,371.0,163.0,0.0,0.8,0.0,7415,179,60811,264,1.2,2.9,0.05,0.0,0.05,2.18,0.14,0.0,0.14,6.13,15.6,449.0,201.0,0.4,475.0,230.0,7.0,418.0,204.0,2.4,463.0,210.0,,,,26,,Christian,Nørgaard,Nørgaard,,,32,0,0,0,1,0,0,0,0,0,0,0,9,,,,0.0,0.0,2.81,0.0,25.31,0,6,3
25,u,0.0,0.0,5.0,269,164.0,0,0.0,-5,5.0,0.1,447,152.0,8,0,1.3,429.0,194.0,0,20,0.0,747.0,318.0,0.0,1.6,0.0,13149,0,36691,201,0.0,0.0,0.23,0.08,0.31,0.73,0.13,0.04,0.17,0.4,8.6,458.0,206.0,22.5,383.0,196.0,24.0,361.0,188.0,5.4,438.0,196.0,,,,26,,Ethan,Nwaneri,Nwaneri,has joined Marseille on loan for the rest of the season.,,165,0,0,1,0,0,0,0,0,0,0,0,13,,,,0.0,0.55,0.0,0.0,7.09,2,1,10
26,a,100.0,100.0,5.3,201,125.0,0,0.0,-2,2.0,5.5,65,23.0,107,6,4.0,69.0,31.0,9,485,5.4,22.0,15.0,1.0,20.2,0.0,1276004,35063,883907,78546,6.4,13.3,2.56,1.84,4.4,17.45,0.1,0.07,0.17,0.69,510.4,52.0,14.0,313.9,75.0,56.0,232.0,96.0,59.0,105.8,51.0,35.0,,,,26,,Martín,Zubimendi Ibáñez,Zubimendi,,,2265,5,1,13,18,0,0,0,4,0,0,26,232,,,,0.0,0.52,0.72,1.03,9.22,46,96,90
28,u,0.0,0.0,4.5,486,297.0,0,0.0,0,0.0,0.1,480,167.0,0,0,0.0,731.0,303.0,0,0,0.0,660.0,255.0,0.0,0.0,0.0,6731,0,30190,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,301.0,0.0,724.0,302.0,0.0,710.0,298.0,0.0,730.0,302.0,,,,26,,Ismeal,Kabia,Kabia,has joined Shrewsbury Town on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
29,u,0.0,0.0,4.5,429,256.0,0,0.0,0,0.0,0.0,583,218.0,0,0,0.0,695.0,273.0,0,0,0.0,616.0,218.0,0.0,0.0,0.0,2952,0,14036,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,267.0,0.0,686.0,271.0,0.0,668.0,264.0,0.0,692.0,270.0,,,,26,,Albert,Sambi Lokonga,Sambi,has joined Hamburger permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
30,d,75.0,100.0,7.3,25,10.0,0,0.0,-2,2.0,0.6,230,34.0,8,0,2.7,247.0,27.0,0,40,1.4,243.0,30.0,0.2,1.1,0.0,109793,1586,171219,48168,1.8,5.3,0.21,0.06,0.27,1.11,0.12,0.03,0.15,0.64,32.2,421.0,47.0,32.6,365.0,47.0,22.0,371.0,54.0,8.8,412.0,51.0,,,,26,,Kai,Havertz,Havertz,Muscle injury - 75% chance of playing,,156,0,1,2,0,0,0,0,0,0,0,2,10,,,,0.0,1.15,0.0,1.15,5.77,2,5,3
31,a,100.0,100.0,6.4,56,20.0,0,0.0,-1,1.0,0.6,248,39.0,17,0,1.5,416.0,50.0,0,68,1.4,242.0,29.0,0.2,2.7,0.0,144442,4514,90407,24534,2.4,5.3,1.75,0.19,1.94,3.56,0.52,0.06,0.58,1.05,100.6,339.0,33.0,24.9,379.0,48.0,207.0,107.0,28.0,33.0,304.0,35.0,,,,26,,Gabriel,Fernando de Jesus,G.Jesus,,,304,2,0,0,6,0,0,0,2,0,0,2,26,,,,0.0,0.0,1.78,0.59,7.7,4,4,18
266,a,,,7.2,30,18.0,0,0.0,-3,3.0,7.6,52,19.0,72,2,3.3,151.0,68.0,6,277,0.8,308.0,137.0,0.1,10.0,0.0,3261368,4319,3698594,27094,1.8,4.1,2.8,1.71,4.51,7.03,0.22,0.13,0.35,0.55,259.6,202.0,84.0,182.5,159.0,111.0,303.0,66.0,40.0,74.5,127.0,69.0,,,,26,,Eberechi,Eze,Eze,,,1148,4,3,6,8,0,0,0,1,0,0,13,75,,,,0.0,0.47,0.63,1.02,5.88,13,16,46
666,a,100.0,100.0,8.8,8,4.0,0,0.0,-2,2.0,11.8,29,5.0,78,3,3.1,181.0,17.0,8,280,4.6,35.0,4.0,0.5,8.9,0.0,3242685,21342,4819568,216550,5.6,11.7,7.88,1.33,9.21,11.46,0.43,0.07,0.5,0.63,306.6,167.0,14.0,178.0,167.0,12.0,542.0,20.0,12.0,101.9,60.0,11.0,,,2.0,26,,Viktor,Gyökeres,Gyökeres,,,1636,8,0,10,9,0,0,0,4,0,0,20,58,,,,0.0,0.55,0.5,1.1,3.19,5,18,35
700,i,0.0,0.0,4.2,648,367.0,0,0.0,-3,3.0,0.5,267,92.0,5,0,2.5,266.0,112.0,0,13,0.0,535.0,172.0,0.0,1.2,0.0,165982,9505,130250,3403,0.0,0.0,0.14,0.02,0.16,0.12,0.47,0.07,0.54,0.4,1.0,491.0,226.0,0.8,466.0,224.0,26.0,357.0,186.0,2.8,458.0,208.0,,,,26,,Max,Dowman,Dowman,Ankle injury - Unknown return date,,27,0,1,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,10.0,2,0,1
34,u,0.0,0.0,4.0,683,53.0,0,0.0,0,0.0,0.1,494,74.0,0,0,0.0,590.0,72.0,0,0,0.0,472.0,64.0,0.0,0.0,0.0,0,0,17194,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,72.0,0.0,573.0,60.0,0.0,540.0,46.0,0.0,583.0,72.0,,,,26,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
36,a,100.0,100.0,4.9,300,46.0,0,0.0,4,-4.0,11.0,32,12.0,99,0,4.1,57.0,23.0,6,367,2.5,158.0,55.0,0.5,20.2,0.0,2747422,48441,1736500,132295,2.5,2.5,1.02,2.25,3.27,31.87,0.04,0.1,0.14,1.35,490.2,57.0,26.0,359.5,54.0,9.0,183.0,133.0,26.0,103.3,55.0,8.0,1.0,,,26,,Matty,Cash,Cash,,,2131,3,2,7,22,0,0,0,5,0,0,24,158,,,,0.0,0.3,0.93,1.01,5.7,42,93,63
37,a,100.0,100.0,4.5,408,72.0,0,0.0,0,0.0,1.6,152,61.0,72,0,3.1,170.0,68.0,4,282,1.8,211.0,80.0,0.4,16.0,0.0,304793,7064,342507,6320,1.8,1.8,0.54,2.21,2.75,20.25,0.04,0.15,0.19,1.39,278.2,190.0,79.0,302.6,85.0,20.0,108.0,220.0,57.0,68.7,149.0,48.0,2.0,2.0,,26,,Lucas,Digne,Digne,,,1309,0,4,6,13,0,0,0,3,0,0,15,102,,,,0.0,0.41,0.89,1.03,5.36,26,52,52
711,a,,,4.4,570,342.0,0,0.0,-1,1.0,0.0,701,292.0,0,0,0.0,684.0,267.0,0,0,0.0,601.0,211.0,0.0,0.0,0.0,1847,59,1717,49,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,261.0,0.0,673.0,265.0,0.0,653.0,257.0,0.0,681.0,264.0,,,,26,,Andre,Harriman-Annous,Harriman-Annous,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
38,a,100.0,100.0,4.4,525,105.0,0,0.0,-1,1.0,8.0,46,16.0,80,6,3.2,155.0,59.0,3,402,4.0,55.0,17.0,0.9,18.2,0.0,661353,64855,1950848,10753,4.0,4.0,0.88,0.51,1.39,34.95,0.04,0.02,0.06,1.41,436.0,72.0,31.0,84.6,270.0,87.0,94.0,239.0,64.0,61.9,179.0,57.0,,,,26,,Ezri,Konsa Ngoyo,Konsa,,,2225,0,0,8,26,0,0,0,0,1,0,25,171,,,,0.0,0.32,1.05,1.01,5.82,16,128,77
39,a,,,4.2,636,149.0,0,0.0,-3,3.0,0.6,229,88.0,36,8,1.8,356.0,131.0,0,187,4.0,54.0,16.0,1.0,8.6,0.0,75761,11482,99712,1672,4.0,4.0,0.85,1.72,2.57,16.44,0.07,0.15,0.22,1.42,218.4,234.0,92.0,257.6,106.0,28.0,159.0,155.0,32.0,63.7,170.0,55.0,5.0,,,26,,Ian,Maatsen,Maatsen,,,1043,0,0,2,14,0,0,0,2,0,0,11,98,,,,0.0,0.17,1.21,0.95,7.42,32,54,64
40,a,100.0,100.0,4.3,577,126.0,0,0.0,-2,2.0,0.7,221,84.0,39,12,3.9,80.0,29.0,4,136,3.8,71.0,25.0,0.9,9.1,0.0,144997,16981,191174,1225,3.8,3.8,0.56,0.1,0.66,11.47,0.07,0.01,0.08,1.49,159.8,283.0,110.0,46.3,341.0,117.0,44.0,319.0,103.0,25.0,338.0,116.0,,,,26,,Tyrone,Mings,Mings,,,692,0,1,3,7,0,0,0,0,0,0,8,73,,,,0.0,0.39,0.91,1.04,7.41,3,54,21
44,a,100.0,100.0,4.0,701,182.0,0,0.0,0,0.0,0.6,252,94.0,32,7,1.5,399.0,144.0,4,107,2.5,150.0,50.0,0.6,8.0,0.0,103925,2751,87278,1151,2.5,2.5,0.0,0.16,0.16,9.46,0.0,0.02,0.02,1.29,91.4,350.0,133.0,45.2,343.0,119.0,10.0,395.0,142.0,14.6,383.0,137.0,,,,26,,Lamare,Bogarde,Bogarde,,,659,0,0,2,8,0,0,0,5,0,0,7,48,,,,0.0,0.27,1.09,0.96,5.33,16,23,22
45,u,0.0,0.0,3.8,798,247.0,0,0.0,-2,2.0,0.3,326,119.0,0,0,0.0,524.0,190.0,0,0,0.0,399.0,155.0,0.0,0.0,0.0,22076,0,36025,1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,190.0,0.0,501.0,188.0,0.0,465.0,179.0,0.0,517.0,190.0,,,,26,,Lino,da Cruz Sousa,Sousa,has joined Rotherham on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
46,u,0.0,0.0,4.0,717,195.0,0,0.0,0,0.0,0.1,460,168.0,0,0,0.0,617.0,233.0,0,0,0.0,502.0,207.0,0.0,0.0,0.0,4656,0,20864,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,233.0,0.0,600.0,233.0,0.0,568.0,228.0,0.0,610.0,233.0,,,,26,,Yasin,Özcan,Yasin,has joined Anderlecht on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
47,a,100.0,100.0,7.7,19,14.0,1,-1.0,7,-7.0,31.6,11,4.0,125,2,4.8,23.0,12.0,13,433,5.5,20.0,14.0,0.7,16.2,0.0,5750193,250548,2869575,102231,5.5,5.5,4.86,2.9,7.76,35.78,0.19,0.11,0.3,1.39,562.0,32.0,8.0,492.5,23.0,22.0,644.0,8.0,3.0,169.8,9.0,7.0,,,,26,,Morgan,Rogers,Rogers,,,2317,8,5,8,27,0,0,0,5,0,0,26,158,,,,0.0,0.31,1.05,1.01,6.14,29,37,92
48,i,0.0,0.0,5.9,92,58.0,0,0.0,-1,1.0,0.7,227,78.0,52,0,3.1,178.0,79.0,3,289,0.8,306.0,135.0,0.1,8.8,0.0,158150,61,344179,4679,0.0,0.0,0.97,2.53,3.5,23.03,0.07,0.18,0.25,1.6,317.2,155.0,55.0,401.3,41.0,39.0,147.0,170.0,96.0,86.6,96.0,56.0,3.0,,,26,,Youri,Tielemans,Tielemans,Ankle injury - Expected back 11 Apr,,1295,0,4,4,17,0,0,0,0,0,0,15,138,,,,0.0,0.28,1.18,1.04,9.59,38,33,67
50,a,100.0,100.0,5.3,190,117.0,0,0.0,-2,2.0,0.6,251,86.0,75,1,3.1,175.0,77.0,8,260,3.8,76.0,37.0,0.7,14.2,0.0,216301,8868,171751,6432,3.8,3.8,2.57,1.43,4.0,17.76,0.2,0.11,0.31,1.39,324.8,145.0,50.0,280.2,89.0,66.0,295.0,69.0,43.0,90.0,85.0,51.0,,6.0,2.0,26,,Emiliano,Buendía Stati,Buendía,,,1150,5,2,3,11,0,0,0,3,0,0,14,133,,,,0.0,0.23,0.86,1.1,10.41,33,23,77
53,u,0.0,0.0,5.1,227,140.0,0,0.0,-4,4.0,0.4,275,96.0,55,0,2.6,257.0,109.0,3,161,0.0,757.0,326.0,0.0,10.8,0.0,172896,0,337227,1484,0.0,0.0,4.03,0.35,4.38,10.59,0.57,0.05,0.62,1.49,183.4,261.0,110.0,99.7,248.0,153.0,290.0,70.0,44.0,56.3,205.0,104.0,,,,26,,Donyell,Malen,Malen,has joined Roma on loan for the rest of the season.,,640,4,2,1,10,0,0,0,0,0,0,5,16,,,,0.0,0.14,1.41,0.7,2.25,4,2,10
