id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
103,Matthew,Cox,Cox,a,,,4.0,665,,0.1,420,,0.0,,,0,0,,0,,131,186,0.0,0.0,-0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,David,Raya Martín,Raya,a,,,5.5,132,,21.8,17,,6.0,,,2,0,,0,,38830,17474,1.1,3.3,6.5,5.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,1,0,0,0,0,0,2,1,0,12,108234,114694,0.0,0.0,0.02,0.02,0.52,19.999999999999993,10.0,0.0,2.999999999999999,0,0,12,12
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.4,546,,0.7,209,,0.0,,,0,0,,-1,,227,1925,0.0,0.0,0.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,8477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,640,,0.5,245,,0.0,,,0,0,,0,,0,1968,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,8708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,4.0,686,,0.2,375,,0.0,,,0,0,,0,,660,400,0.0,0.0,0.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,1519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,a,Thigh injury - 75% chance of playing,,6.1,80,,20.7,20,,4.7,,,2,0,,1,,31852,21490,0.8,2.3,5.2,4.2,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,1,0,0,0,0,0,0,1,0,8,101448,117972,0.0,0.019999999999999997,0.01,0.03,0.52,15.399999999999999,1.4,2.0,1.9000000000000004,1,6,2,9
6,William,Saliba,Saliba,a,,,6.1,82,,18.1,23,,5.3,,,1,0,,1,,19305,42461,0.9,2.6,5.8,4.8,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,4,83456,126704,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2999999999999998,0,3,0,3
7,Riccardo,Calafiori,Calafiori,a,Hip injury - 75% chance of playing,,5.6,121,,9.4,44,,9.3,,,2,0,,1,,90568,8456,1.7,5.0,9.8,8.8,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,1,0,0,0,0,0,0,1,0,9,314812,51724,0.0,0.1299999999999999,0.009999999999999998,0.1399999999999999,0.52,9.799999999999997,1.8999999999999986,11.0,2.299999999999999,2,5,3,10
8,Jurriën,Timber,J.Timber,a,,,5.6,120,,7.8,54,,8.7,,,2,0,,1,,70821,9511,1.6,4.6,9.2,8.2,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,90,0,0,0,1,0,0,0,0,0,0,1,0,7,318739,48121,0.0,0.08999999999999997,0.05,0.14,0.5200000000000001,11.400000000000006,12.400000000000002,11.0,3.5,2,5,4,11
9,Jakub,Kiwior,Kiwior,a,has joined Porto on loan for the rest of the season.,,5.4,196,,0.1,481,,0.0,,,0,0,,-1,,95,409,0.0,0.0,0.5,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
