match_id,minute,home_xg,away_xg,home_cumulative_xg,away_cumulative_xg
25-26-prem-afc-bournemouth-vs-fulham,5,0.034,0,0.034,0.0
25-26-prem-afc-bournemouth-vs-fulham,10,0.029,0,0.062,0.0
25-26-prem-afc-bournemouth-vs-fulham,23,0,0.01,0.062,0.01
25-26-prem-afc-bournemouth-vs-fulham,30,0,0.064,0.062,0.073
25-26-prem-afc-bournemouth-vs-fulham,42,0.037,0,0.099,0.073
25-26-prem-afc-bournemouth-vs-fulham,44,0.027,0,0.126,0.073
25-26-prem-afc-bournemouth-vs-fulham,45,0,0.024,0.126,0.097
25-26-prem-afc-bournemouth-vs-fulham,47,0.098,0,0.224,0.097
25-26-prem-afc-bournemouth-vs-fulham,52,0.165,0,0.389,0.097
25-26-prem-afc-bournemouth-vs-fulham,53,0.079,0,0.468,0.097
25-26-prem-afc-bournemouth-vs-fulham,57,0,0.021,0.468,0.119
25-26-prem-afc-bournemouth-vs-fulham,58,0,0.069,0.468,0.188
25-26-prem-afc-bournemouth-vs-fulham,60,0,0.009,0.468,0.196
25-26-prem-afc-bournemouth-vs-fulham,70,0,0.404,0.468,0.601
25-26-prem-afc-bournemouth-vs-fulham,78,0.101,0,0.569,0.601
25-26-prem-afc-bournemouth-vs-fulham,83,0.038,0.039,0.607,0.64
25-26-prem-afc-bournemouth-vs-fulham,84,0.015,0,0.622,0.64
25-26-prem-afc-bournemouth-vs-fulham,87,0,0.109,0.622,0.749
25-26-prem-afc-bournemouth-vs-fulham,90,0.574,0.133,1.196,0.882
25-26-prem-arsenal-vs-west-ham-united,1,0,0.271,0.0,0.271
25-26-prem-arsenal-vs-west-ham-united,5,0.163,0,0.163,0.271
25-26-prem-arsenal-vs-west-ham-united,7,0,0.012,0.163,0.282
25-26-prem-arsenal-vs-west-ham-united,8,0.102,0,0.265,0.282
25-26-prem-arsenal-vs-west-ham-united,10,0.092,0,0.357,0.282
25-26-prem-arsenal-vs-west-ham-united,13,0.635,0,0.992,0.282
25-26-prem-arsenal-vs-west-ham-united,33,0.362,0,1.354,0.282
25-26-prem-arsenal-vs-west-ham-united,35,0.056,0,1.409,0.282
25-26-prem-arsenal-vs-west-ham-united,38,0.385,0,1.794,0.282
25-26-prem-arsenal-vs-west-ham-united,45,0.085,0,1.879,0.282
25-26-prem-arsenal-vs-west-ham-united,47,0,0.023,1.879,0.305
25-26-prem-arsenal-vs-west-ham-united,51,0.023,0,1.902,0.305
25-26-prem-arsenal-vs-west-ham-united,53,0.041,0,1.943,0.305
25-26-prem-arsenal-vs-west-ham-united,67,0.788,0,2.732,0.305
25-26-prem-arsenal-vs-west-ham-united,82,0.075,0,2.807,0.305
25-26-prem-arsenal-vs-west-ham-united,85,0.081,0,2.887,0.305
25-26-prem-arsenal-vs-west-ham-united,90,0.021,0.126,2.908,0.431
25-26-prem-aston-villa-vs-burnley,9,0.091,0,0.091,0.0
25-26-prem-aston-villa-vs-burnley,12,0.037,0,0.128,0.0
25-26-prem-aston-villa-vs-burnley,13,0.044,0,0.172,0.0
25-26-prem-aston-villa-vs-burnley,14,0.045,0,0.217,0.0
25-26-prem-aston-villa-vs-burnley,25,0.154,0,0.37,0.0
25-26-prem-aston-villa-vs-burnley,30,0.032,0,0.402,0.0
25-26-prem-aston-villa-vs-burnley,35,0,0.072,0.402,0.072
25-26-prem-aston-villa-vs-burnley,45,0.108,0,0.511,0.072
25-26-prem-aston-villa-vs-burnley,54,0.178,0,0.688,0.072
25-26-prem-aston-villa-vs-burnley,55,0.055,0,0.743,0.072
25-26-prem-aston-villa-vs-burnley,63,0.116,0,0.859,0.072
25-26-prem-aston-villa-vs-burnley,67,0.015,0,0.874,0.072
25-26-prem-aston-villa-vs-burnley,77,0,0.09,0.874,0.163
25-26-prem-aston-villa-vs-burnley,78,0,0.212,0.874,0.374
25-26-prem-aston-villa-vs-burnley,81,0.037,0,0.911,0.374
25-26-prem-aston-villa-vs-burnley,89,0.133,0,1.044,0.374
25-26-prem-aston-villa-vs-burnley,90,0.119,0.033,1.163,0.408
25-26-prem-brentford-vs-manchester-city,7,0,0.02,0.0,0.02
25-26-prem-brentford-vs-manchester-city,8,0,0.056,0.0,0.077
25-26-prem-brentford-vs-manchester-city,9,0,0.222,0.0,0.299
25-26-prem-brentford-vs-manchester-city,15,0,0.014,0.0,0.313
25-26-prem-brentford-vs-manchester-city,19,0,0.043,0.0,0.356
25-26-prem-brentford-vs-manchester-city,27,0,0.021,0.0,0.377
25-26-prem-brentford-vs-manchester-city,29,0,0.1,0.0,0.477
25-26-prem-brentford-vs-manchester-city,31,0,0.124,0.0,0.602
25-26-prem-brentford-vs-manchester-city,36,0.06,0,0.06,0.602
25-26-prem-brentford-vs-manchester-city,39,0,0.151,0.06,0.753
25-26-prem-brentford-vs-manchester-city,48,0.46,0,0.519,0.753
25-26-prem-brentford-vs-manchester-city,53,0,0.03,0.519,0.783
25-26-prem-brentford-vs-manchester-city,58,0.017,0,0.536,0.783
25-26-prem-brentford-vs-manchester-city,61,0.021,0,0.557,0.783
25-26-prem-brentford-vs-manchester-city,90,0.138,0,0.695,0.783
25-26-prem-chelsea-vs-liverpool,14,0.037,0,0.037,0.0
25-26-prem-chelsea-vs-liverpool,19,0,0.464,0.037,0.464
25-26-prem-chelsea-vs-liverpool,26,0.021,0,0.058,0.464
25-26-prem-chelsea-vs-liverpool,38,0.051,0,0.109,0.464
25-26-prem-chelsea-vs-liverpool,44,0,0.18,0.109,0.644
25-26-prem-chelsea-vs-liverpool,46,0,0.109,0.109,0.753
25-26-prem-chelsea-vs-liverpool,51,0,0.026,0.109,0.779
25-26-prem-chelsea-vs-liverpool,52,0.035,0,0.144,0.779
25-26-prem-chelsea-vs-liverpool,53,0,0.148,0.144,0.927
25-26-prem-chelsea-vs-liverpool,59,0.035,0,0.178,0.927
25-26-prem-chelsea-vs-liverpool,63,0,0.548,0.178,1.475
25-26-prem-chelsea-vs-liverpool,69,0,0.03,0.178,1.505
25-26-prem-chelsea-vs-liverpool,71,0,0.033,0.178,1.538
25-26-prem-chelsea-vs-liverpool,76,0.031,0,0.209,1.538
25-26-prem-chelsea-vs-liverpool,81,0,0.193,0.209,1.731
25-26-prem-chelsea-vs-liverpool,84,0.062,0,0.271,1.731
25-26-prem-chelsea-vs-liverpool,89,0.036,0,0.307,1.731
25-26-prem-chelsea-vs-liverpool,90,0.697,0.214,1.004,1.945
25-26-prem-everton-vs-crystal-palace,2,0,0.146,0.0,0.146
25-26-prem-everton-vs-crystal-palace,9,0.026,0,0.026,0.146
25-26-prem-everton-vs-crystal-palace,12,0,0.044,0.026,0.191
25-26-prem-everton-vs-crystal-palace,17,0.019,0,0.045,0.191
25-26-prem-everton-vs-crystal-palace,19,0,0.204,0.045,0.394
25-26-prem-everton-vs-crystal-palace,26,0,0.05,0.045,0.444
25-26-prem-everton-vs-crystal-palace,27,0,0.073,0.045,0.517
25-26-prem-everton-vs-crystal-palace,37,0,0.111,0.045,0.628
25-26-prem-everton-vs-crystal-palace,48,0.075,0,0.12,0.628
25-26-prem-everton-vs-crystal-palace,49,0.04,0,0.16,0.628
25-26-prem-everton-vs-crystal-palace,57,0,0.023,0.16,0.65
25-26-prem-everton-vs-crystal-palace,60,0,0.126,0.16,0.777
25-26-prem-everton-vs-crystal-palace,63,0.151,0,0.311,0.777
25-26-prem-everton-vs-crystal-palace,64,0,0.468,0.311,1.244
25-26-prem-everton-vs-crystal-palace,66,0.165,0,0.476,1.244
25-26-prem-everton-vs-crystal-palace,76,0.788,0,1.264,1.244
25-26-prem-everton-vs-crystal-palace,78,0.064,0,1.328,1.244
25-26-prem-everton-vs-crystal-palace,81,0.038,0,1.366,1.244
25-26-prem-everton-vs-crystal-palace,90,0.792,0.334,2.158,1.579
25-26-prem-leeds-united-vs-tottenham-hotspur,5,0.044,0,0.044,0.0
25-26-prem-leeds-united-vs-tottenham-hotspur,7,0.209,0,0.253,0.0
25-26-prem-leeds-united-vs-tottenham-hotspur,10,0,0.064,0.253,0.064
25-26-prem-leeds-united-vs-tottenham-hotspur,16,0,0.037,0.253,0.101
25-26-prem-leeds-united-vs-tottenham-hotspur,23,0,0.037,0.253,0.138
25-26-prem-leeds-united-vs-tottenham-hotspur,26,0.059,0,0.312,0.138
25-26-prem-leeds-united-vs-tottenham-hotspur,27,0,0.159,0.312,0.297
25-26-prem-leeds-united-vs-tottenham-hotspur,34,0.861,0,1.173,0.297
25-26-prem-leeds-united-vs-tottenham-hotspur,37,0.149,0,1.321,0.297
25-26-prem-leeds-united-vs-tottenham-hotspur,45,0,0.131,1.321,0.427
25-26-prem-leeds-united-vs-tottenham-hotspur,48,0.092,0,1.413,0.427
25-26-prem-leeds-united-vs-tottenham-hotspur,55,0,0.063,1.413,0.49
25-26-prem-leeds-united-vs-tottenham-hotspur,57,0,0.057,1.413,0.546
25-26-prem-leeds-united-vs-tottenham-hotspur,62,0.017,0,1.43,0.546
25-26-prem-leeds-united-vs-tottenham-hotspur,71,0.05,0,1.48,0.546
25-26-prem-leeds-united-vs-tottenham-hotspur,78,0.024,0,1.504,0.546
25-26-prem-leeds-united-vs-tottenham-hotspur,87,0,0.029,1.504,0.575
25-26-prem-leeds-united-vs-tottenham-hotspur,90,0.243,0,1.747,0.575
25-26-prem-manchester-united-vs-sunderland,8,0.163,0,0.163,0.0
25-26-prem-manchester-united-vs-sunderland,21,0.048,0,0.211,0.0
25-26-prem-manchester-united-vs-sunderland,22,0.026,0,0.237,0.0
25-26-prem-manchester-united-vs-sunderland,23,0.057,0,0.294,0.0
25-26-prem-manchester-united-vs-sunderland,25,0.68,0,0.974,0.0
25-26-prem-manchester-united-vs-sunderland,31,0.291,0,1.266,0.0
25-26-prem-manchester-united-vs-sunderland,33,0,0.065,1.266,0.065
25-26-prem-manchester-united-vs-sunderland,35,0,0.091,1.266,0.155
25-26-prem-manchester-united-vs-sunderland,41,0.053,0,1.319,0.155
25-26-prem-manchester-united-vs-sunderland,44,0,0.021,1.319,0.176
25-26-prem-manchester-united-vs-sunderland,45,0.026,0.134,1.345,0.31
25-26-prem-manchester-united-vs-sunderland,55,0.077,0,1.421,0.31
25-26-prem-manchester-united-vs-sunderland,57,0.017,0,1.438,0.31
25-26-prem-manchester-united-vs-sunderland,63,0,0.027,1.438,0.337
25-26-prem-manchester-united-vs-sunderland,66,0,0.04,1.438,0.376
25-26-prem-manchester-united-vs-sunderland,70,0.069,0,1.507,0.376
25-26-prem-manchester-united-vs-sunderland,79,0,0.08,1.507,0.456
25-26-prem-manchester-united-vs-sunderland,81,0.048,0,1.554,0.456
25-26-prem-manchester-united-vs-sunderland,84,0.305,0,1.859,0.456
25-26-prem-manchester-united-vs-sunderland,89,0.033,0,1.892,0.456
25-26-prem-manchester-united-vs-sunderland,90,0,0.212,1.892,0.669
25-26-prem-newcastle-united-vs-nottingham-forest,11,0.183,0,0.183,0.0
25-26-prem-newcastle-united-vs-nottingham-forest,15,0.153,0,0.336,0.0
25-26-prem-newcastle-united-vs-nottingham-forest,17,0.019,0,0.356,0.0
25-26-prem-newcastle-united-vs-nottingham-forest,20,0,0.065,0.356,0.065
25-26-prem-newcastle-united-vs-nottingham-forest,44,0.024,0,0.38,0.065
25-26-prem-newcastle-united-vs-nottingham-forest,45,0.168,0,0.548,0.065
25-26-prem-newcastle-united-vs-nottingham-forest,49,0.131,0,0.679,0.065
25-26-prem-newcastle-united-vs-nottingham-forest,52,0.304,0,0.983,0.065
25-26-prem-newcastle-united-vs-nottingham-forest,56,0,0.031,0.983,0.097
25-26-prem-newcastle-united-vs-nottingham-forest,58,0.047,0,1.029,0.097
25-26-prem-newcastle-united-vs-nottingham-forest,62,0,0.03,1.029,0.126
25-26-prem-newcastle-united-vs-nottingham-forest,73,0.02,0,1.05,0.126
25-26-prem-newcastle-united-vs-nottingham-forest,74,0.384,0,1.434,0.126
25-26-prem-newcastle-united-vs-nottingham-forest,78,0.107,0.045,1.541,0.171
25-26-prem-newcastle-united-vs-nottingham-forest,79,0,0.064,1.541,0.235
25-26-prem-newcastle-united-vs-nottingham-forest,80,0.467,0,2.007,0.235
25-26-prem-newcastle-united-vs-nottingham-forest,81,0.525,0,2.532,0.235
25-26-prem-newcastle-united-vs-nottingham-forest,84,0.788,0,3.321,0.235
25-26-prem-newcastle-united-vs-nottingham-forest,90,0.132,0,3.452,0.235
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,10,0,0.023,0.0,0.023
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,11,0,0.085,0.0,0.108
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,14,0,0.061,0.0,0.169
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,21,0.065,0,0.065,0.169
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,24,0.03,0,0.095,0.169
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,25,0,0.027,0.095,0.196
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,26,0,0.048,0.095,0.244
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,28,0,0.091,0.095,0.335
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,29,0.067,0,0.162,0.335
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,33,0,0.032,0.162,0.367
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,44,0.03,0,0.192,0.367
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,52,0,0.062,0.192,0.429
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,56,0.314,0,0.506,0.429
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,58,0,0.087,0.506,0.516
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,59,0,0.029,0.506,0.545
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,62,0,0.063,0.506,0.609
25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,73,0,0.035,0.506,0.644
