player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches
6,25-26-champions-league-arsenal-vs-slavia-prague,Saliba,6.4,8,0,32,3,0,1,7,3,0,0,0
8,25-26-champions-league-arsenal-vs-slavia-prague,J.Timber,6.8,7,0,18,1,0,4,5,0,0,0,0
10,25-26-champions-league-arsenal-vs-slavia-prague,Lewis-Skelly,6.6,3,0,11,1,0,0,2,1,0,0,0
16,25-26-champions-league-arsenal-vs-slavia-prague,Saka,7.3,14,1,18,1,3,2,3,1,0,0,0
20,25-26-champions-league-arsenal-vs-slavia-prague,Trossard,7.4,13,1,9,1,3,3,4,0,0,0,0
21,25-26-champions-league-arsenal-vs-slavia-prague,Rice,7.8,7,0,52,4,5,0,0,0,0,0,0
24,25-26-champions-league-arsenal-vs-slavia-prague,Nørgaard,6.4,10,0,30,0,1,0,6,3,0,0,0
25,25-26-champions-league-arsenal-vs-slavia-prague,Nwaneri,6.2,6,1,19,0,1,2,5,1,0,0,0
266,25-26-champions-league-arsenal-vs-slavia-prague,Eze,6.6,2,0,5,0,0,0,0,0,0,0,0
700,25-26-champions-league-arsenal-vs-slavia-prague,Dowman,6.7,6,0,6,0,0,3,2,0,0,0,0
711,25-26-champions-league-arsenal-vs-slavia-prague,Harriman-Annous,6.6,2,0,4,0,0,0,1,0,0,0,0
725,25-26-champions-league-arsenal-vs-slavia-prague,Hincapie,7.3,8,0,19,1,2,1,0,0,0,0,0
52,25-26-champions-league-athletic-club-vs-newcastle-united,J.Ramsey,6.7,0,0,1,0,0,1,0,0,0,0,0
469,25-26-champions-league-athletic-club-vs-newcastle-united,Pope,8.4,8,0,36,13,0,0,0,0,0,0,1
473,25-26-champions-league-athletic-club-vs-newcastle-united,Hall,6.6,4,0,17,0,0,1,1,0,0,0,0
475,25-26-champions-league-athletic-club-vs-newcastle-united,Botman,7.3,5,0,74,5,0,0,1,0,0,0,0
476,25-26-champions-league-athletic-club-vs-newcastle-united,Burn,8.4,11,0,49,4,0,0,1,1,0,0,0
478,25-26-champions-league-athletic-club-vs-newcastle-united,Trippier,7.1,20,0,52,9,4,1,4,1,0,0,0
485,25-26-champions-league-athletic-club-vs-newcastle-united,Gordon,6.2,12,0,8,1,0,3,6,0,0,0,0
486,25-26-champions-league-athletic-club-vs-newcastle-united,Elanga,6.1,5,1,11,0,0,0,2,0,0,0,0
487,25-26-champions-league-athletic-club-vs-newcastle-united,Barnes,7.0,9,1,17,1,2,2,2,0,0,0,0
489,25-26-champions-league-athletic-club-vs-newcastle-united,J.Murphy,7.1,13,0,13,2,2,0,4,1,0,0,0
491,25-26-champions-league-athletic-club-vs-newcastle-united,Tonali,7.3,18,0,62,7,2,0,3,0,0,0,0
497,25-26-champions-league-athletic-club-vs-newcastle-united,L.Miley,6.6,4,0,13,2,0,0,2,1,0,0,0
684,25-26-champions-league-athletic-club-vs-newcastle-united,Thiaw,8.5,11,0,77,6,0,1,2,2,0,0,0
714,25-26-champions-league-athletic-club-vs-newcastle-united,Woltemade,6.4,12,0,12,0,0,3,7,1,0,0,0
402,25-26-champions-league-borussia-dortmund-vs-manchester-city,Aït-Nouri,6.7,1,0,1,0,0,1,1,0,0,0,0
403,25-26-champions-league-borussia-dortmund-vs-manchester-city,Gvardiol,6.9,10,0,62,4,1,0,7,2,0,0,0
407,25-26-champions-league-borussia-dortmund-vs-manchester-city,Matheus N.,6.6,11,0,58,1,0,1,4,2,0,0,0
409,25-26-champions-league-borussia-dortmund-vs-manchester-city,Stones,6.8,2,0,47,1,0,0,0,0,0,0,0
411,25-26-champions-league-borussia-dortmund-vs-manchester-city,O'Reilly,6.2,8,0,32,3,0,0,5,0,0,0,0
413,25-26-champions-league-borussia-dortmund-vs-manchester-city,Marmoush,6.4,0,0,0,0,0,0,0,0,0,0,0
414,25-26-champions-league-borussia-dortmund-vs-manchester-city,Foden,10.0,13,0,52,4,6,2,4,2,0,0,0
417,25-26-champions-league-borussia-dortmund-vs-manchester-city,Cherki,7.9,3,0,6,1,0,1,0,0,0,0,0
418,25-26-champions-league-borussia-dortmund-vs-manchester-city,Doku,7.4,13,0,31,3,1,7,5,0,0,0,0
427,25-26-champions-league-borussia-dortmund-vs-manchester-city,Reijnders,7.1,7,0,32,0,1,2,1,0,0,0,0
430,25-26-champions-league-borussia-dortmund-vs-manchester-city,Haaland,7.9,3,0,16,0,0,1,1,0,0,0,0
736,25-26-champions-league-borussia-dortmund-vs-manchester-city,Donnarumma,7.2,9,0,26,13,0,0,0,0,0,0,2
168,25-26-champions-league-chelsea-vs-qarabag-fk,Buonanotte,6.6,5,0,10,1,0,2,2,1,0,0,0
225,25-26-champions-league-chelsea-vs-qarabag-fk,James,6.5,15,0,60,7,5,0,3,0,0,0,0
232,25-26-champions-league-chelsea-vs-qarabag-fk,Tosin,7.3,8,0,77,7,0,0,3,2,0,0,0
237,25-26-champions-league-chelsea-vs-qarabag-fk,Enzo,7.0,10,1,34,3,3,0,0,0,0,0,0
243,25-26-champions-league-chelsea-vs-qarabag-fk,George,6.0,4,1,7,0,0,0,2,0,0,0,0
244,25-26-champions-league-chelsea-vs-qarabag-fk,Lavia,6.6,0,0,2,0,0,0,0,0,0,0,0
250,25-26-champions-league-chelsea-vs-qarabag-fk,Delap,6.6,1,0,5,1,0,0,0,0,0,0,0
672,25-26-champions-league-chelsea-vs-qarabag-fk,Hato,5.9,10,0,70,3,0,1,1,1,0,0,0
565,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Vicario,7.6,9,0,30,13,0,0,0,0,0,0,0
569,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Romero,7.5,6,0,74,2,0,1,1,0,0,0,0
570,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Danso,6.8,1,0,10,5,0,0,1,1,0,0,0
573,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Spence,6.6,3,0,2,0,1,2,2,0,0,0,0
574,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Udogie,7.4,10,0,39,4,1,0,1,1,0,0,0
575,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Van de Ven,8.5,5,0,72,7,0,1,2,0,0,0,0
580,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Johnson,7.2,3,0,16,1,0,2,4,1,0,0,0
585,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Bentancur,6.9,8,0,68,2,0,1,1,1,0,0,0
588,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Odobert,7.8,11,0,25,1,1,6,3,0,0,0,0
593,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,P.M.Sarr,6.9,11,0,52,2,0,2,6,2,0,0,0
599,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Scarlett,7.0,1,0,3,0,0,2,3,2,0,0,0
717,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Xavi,7.7,6,1,36,1,1,2,2,1,0,0,0
726,25-26-champions-league-fc-københavn-vs-tottenham-hotspur,Kolo Muani,7.2,9,0,14,0,0,5,4,1,0,0,0
367,25-26-champions-league-real-madrid-vs-liverpool,Mamardashvili,6.7,12,0,22,14,0,0,0,0,0,0,0
371,25-26-champions-league-real-madrid-vs-liverpool,Kerkez,6.6,2,0,2,1,0,0,0,0,0,0,0
373,25-26-champions-league-real-madrid-vs-liverpool,Virgil,6.7,7,0,36,12,0,0,3,0,0,0,0
374,25-26-champions-league-real-madrid-vs-liverpool,Konaté,6.7,8,0,30,2,0,2,3,0,0,0,0
375,25-26-champions-league-real-madrid-vs-liverpool,Bradley,7.2,15,0,32,6,1,4,5,1,0,0,0
381,25-26-champions-league-real-madrid-vs-liverpool,M.Salah,7.8,18,2,17,0,3,10,9,0,0,0,0
382,25-26-champions-league-real-madrid-vs-liverpool,Wirtz,7.2,9,0,36,0,2,2,4,0,0,0,0
384,25-26-champions-league-real-madrid-vs-liverpool,Gakpo,5.9,5,0,4,0,0,2,6,3,0,0,0
385,25-26-champions-league-real-madrid-vs-liverpool,Chiesa,6.6,0,0,2,0,0,0,0,0,0,0,0
386,25-26-champions-league-real-madrid-vs-liverpool,Mac Allister,7.6,7,1,35,0,0,1,5,1,0,0,0
387,25-26-champions-league-real-madrid-vs-liverpool,Szoboszlai,6.9,11,1,39,7,3,0,7,2,0,0,0
388,25-26-champions-league-real-madrid-vs-liverpool,C.Jones,6.6,1,0,3,0,0,0,0,0,0,0,0
390,25-26-champions-league-real-madrid-vs-liverpool,Gravenberch,6.8,5,0,29,1,0,0,3,1,0,0,0
