match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-champions-league-arsenal-vs-slavia-prague,1,90,,False,,,save,assisted,left-foot,0.0208,0.1209,19.5,66.9,50.8,18.4,low-centre
25-26-champions-league-arsenal-vs-slavia-prague,2,84,,False,,,block,assisted,left-foot,0.0578,,11.6,59.1,50.5,19,low-centre
25-26-champions-league-arsenal-vs-slavia-prague,3,68,,True,,,goal,set-piece,head,0.0954,0.2302,7.4,56.7,46.7,7.6,low-right
25-26-champions-league-arsenal-vs-slavia-prague,4,60,,False,,,block,assisted,left-foot,0.0929,,11.9,51.1,52.2,19,low-left
25-26-champions-league-arsenal-vs-slavia-prague,5,60,,True,16,Saka,save,assisted,right-foot,0.0427,0.2437,13.2,64.8,53,5.1,low-left
25-26-champions-league-arsenal-vs-slavia-prague,6,52,,False,,,miss,regular,right-foot,0.0644,,15.1,52.8,4.2,6.9,right
25-26-champions-league-arsenal-vs-slavia-prague,7,46,,True,,,goal,assisted,left-foot,0.4568,0.8808,7.3,47.2,53.7,13.9,low-left
25-26-champions-league-arsenal-vs-slavia-prague,8,45,,False,,,miss,throw-in-set-piece,right-foot,0.0109,,10.5,80.5,49.6,86.1,high
25-26-champions-league-arsenal-vs-slavia-prague,9,41,,True,25,Nwaneri,block,corner,left-foot,0.0316,,12.6,61.7,53.3,19,low-left
25-26-champions-league-arsenal-vs-slavia-prague,10,40,,True,16,Saka,block,corner,left-foot,0.0084,,15.5,73.9,52.1,19,low-left
25-26-champions-league-arsenal-vs-slavia-prague,11,40,,True,20,Trossard,block,corner,right-foot,0.0361,,9.4,59.1,51,19,low-centre
25-26-champions-league-arsenal-vs-slavia-prague,12,32,,True,16,Saka,goal,penalty,left-foot,0.7884,0.7997,11.5,50,46.5,4.4,low-right
25-26-champions-league-arsenal-vs-slavia-prague,13,29,,True,,,block,corner,other,0.0981,,3,57.5,50,19,low-centre
25-26-champions-league-arsenal-vs-slavia-prague,14,28,,True,16,Saka,save,assisted,left-foot,0.0168,0.0412,9.8,72.8,47.2,5.1,low-right
25-26-champions-league-arsenal-vs-slavia-prague,15,26,,True,20,Trossard,miss,corner,right-foot,0.0793,,2.1,41.1,54.5,58.3,close-high
25-26-champions-league-arsenal-vs-slavia-prague,16,25,,True,20,Trossard,save,corner,right-foot,0.0774,0.1702,1.9,40.9,53.4,14.6,low-left
25-26-champions-league-arsenal-vs-slavia-prague,17,25,,True,16,Saka,save,assisted,left-foot,0.0373,0.0769,5.1,31.1,52.8,17.7,low-left
25-26-champions-league-arsenal-vs-slavia-prague,18,20,,True,16,Saka,save,fast-break,left-foot,0.0265,0.08,25.9,71.6,53.5,6.3,low-left
25-26-champions-league-arsenal-vs-slavia-prague,19,11,,False,,,miss,throw-in-set-piece,left-foot,0.0541,,13.6,64,99.5,5.6,left
25-26-champions-league-arsenal-vs-slavia-prague,20,8,,False,,,miss,assisted,left-foot,0.0343,,28.5,45.4,38.7,12.5,right
