player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
273,25-26-community-shield-liverpool-vs-crystal-palace,85,0,1,1,0.03,0.42,0,0,0,1,52,25,68.0,3.0,11,3,75.0,0,0.0,0,1,3,0,0,0,1,2,4,2,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1.0,0,85,2,0,0
283,25-26-community-shield-liverpool-vs-crystal-palace,90,1,0,3,0.96,0.0,1,0,0,5,16,6,75.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,2,5,2,40.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.64,0.0,0,94,2,1,0
258,25-26-community-shield-liverpool-vs-crystal-palace,79,0,0,1,0.07,0.06,0,0,0,1,35,19,90.0,1.0,3,0,0.0,2,67.0,1,1,4,0,2,1,0,5,2,5,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,33.0,0.0,3.0,0,79,2,0,0
270,25-26-community-shield-liverpool-vs-crystal-palace,62,0,0,2,0.05,0.04,0,0,0,1,48,27,77.0,0.0,5,0,0.0,1,33.0,1,1,5,1,2,0,0,7,1,4,80.0,3,100.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,50.0,0.0,2.0,29,94,0,0,0
260,25-26-community-shield-liverpool-vs-crystal-palace,89,0,0,0,0.0,0.24,0,0,0,1,62,45,88.0,1.0,7,1,100.0,5,50.0,1,1,5,0,6,4,0,3,2,1,100.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,1.0,0,94,2,0,0
266,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,3,0.11,0.03,1,2,1,2,48,23,88.0,1.0,4,0,0.0,1,33.0,0,0,5,0,1,0,0,5,6,4,40.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,50.0,0.0,0.24,0.0,0,94,2,0,0
253,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,34,15,63.0,0.0,5,0,0.0,4,31.0,0,0,9,0,2,0,0,0,0,0,0.0,0,0.0,0,0,3,2,0.84,-1.16,1,15,4,,0,0,0,0,0.0,0.0,0.0,0.0,0,94,2,0,0
386,25-26-community-shield-liverpool-vs-crystal-palace,20,0,0,0,0.0,0.03,0,0,0,0,18,14,93.0,2.0,4,0,0.0,2,100.0,0,0,1,0,1,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,71,94,1,0,0
388,25-26-community-shield-liverpool-vs-crystal-palace,71,0,0,0,0.0,0.02,0,0,0,0,58,53,100.0,0.0,9,0,0.0,3,100.0,0,1,1,0,0,0,0,3,3,2,40.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0,71,1,0,0
257,25-26-community-shield-liverpool-vs-crystal-palace,90,0,0,0,0.0,0.01,0,0,0,0,53,34,74.0,0.0,7,0,0.0,1,13.0,1,1,3,0,2,1,0,3,1,1,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,100.0,0.0,1.0,0,94,2,0,0
