id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.7,120,,28.6,11,,4.7,,,6,0,,2,,71694,27489,0.8,7.0,5.2,5.2,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,6,90,0,0,1,0,0,0,0,0,0,0,1,0,21,201344,96837,0.0,0.0,0.0,0.0,0.4399999999999995,4.599999999999994,0.0,0.0,0.5,0,2,7,9
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.3,589,,0.5,239,,0.0,,,0,0,,-2,,144,1579,0.0,0.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,4515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,655,,0.3,306,,0.0,,,0,0,,0,,0,1017,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,4.0,682,,0.2,348,,0.0,,,0,0,,0,,370,780,0.0,0.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,a,Thigh injury - 75% chance of playing,,6.4,64,,33.9,6,,11.3,,,12,1,,4,,286590,7865,1.8,9.2,11.8,11.8,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,8,12,90,0,1,1,0,0,0,0,0,0,0,1,3,33,637534,38663,0.0,0.24,0.020000000000000004,0.26,0.4399999999999995,33.400000000000006,11.6,15.0,6.0,0,9,1,10
6,William,Saliba,Saliba,a,,,6.0,87,,12.6,32,,4.3,,,6,0,,0,,17131,21450,0.7,5.2,4.8,4.8,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,8,6,90,0,0,1,0,0,0,0,0,0,0,1,0,26,42468,60784,0.0,0.0,0.05000000000000002,0.04999999999999999,0.43999999999999995,17.39999999999999,2.8000000000000007,2.0,2.200000000000001,0,4,5,9
281,Kaden,Rodney,Rodney,a,,,4.5,446,,0.0,586,,0.0,,,0,0,,0,,157,159,0.0,0.0,-0.5,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
715,John Victor,Maciel Furtado,John,a,,,4.0,635,,0.4,280,,0.0,,,0,0,,0,,312,900,0.0,0.0,0.0,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
534,Joe,Anderson,Anderson,a,,,3.9,709,,0.5,251,,0.0,,,0,0,,-1,,758,1591,0.0,0.0,-1.0,-0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2965,4172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
740,Stephen,Mfuni,Mfuni,a,,,4.0,686,,0.0,641,,0.0,,,0,0,,0,,98,147,0.0,0.0,0.5,0.5,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
