match_id,incident_index,incident_type,minute,added_time,team_side,player_id,player_name,secondary_player_id,secondary_player_name,assist_player_id,assist_player_name,card_type,goal_type,home_score,away_score,text
25-26-efl-cup-brentford-vs-manchester-city,1,substitution,88,,home,120,Schade,,,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,2,substitution,88,,home,129,Yarmoliuk,,,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,3,card,86,,away,407,Matheus N.,,,,,yellow,,,,
25-26-efl-cup-brentford-vs-manchester-city,4,substitution,82,,away,414,Foden,763,Gray,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,5,substitution,81,,home,126,Jensen,130,Donovan,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,6,substitution,76,,home,109,Henry,107,Lewis-Potter,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,7,substitution,75,,home,110,Kayode,116,Hickey,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,8,goal,67,,away,,,,,,,,regular,0,2,
25-26-efl-cup-brentford-vs-manchester-city,9,substitution,66,,away,417,Cherki,,,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,10,substitution,66,,away,,,407,Matheus N.,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,11,substitution,65,,away,411,O'Reilly,403,Gvardiol,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,12,goal,32,,away,417,Cherki,,,,,,regular,0,1,
25-26-efl-cup-brentford-vs-manchester-city,13,substitution,19,,away,424,Bobb,414,Foden,,,,,,,
25-26-efl-cup-brentford-vs-manchester-city,14,card,16,,away,406,Khusanov,,,,,yellow,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,1,goal,90,,home,,,,,,,,regular,3,1,
25-26-efl-cup-chelsea-vs-cardiff-city,2,substitution,90,,away,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,3,substitution,84,,home,233,Acheampong,226,Chalobah,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,4,goal,82,,home,,,,,,,,regular,2,1,
25-26-efl-cup-chelsea-vs-cardiff-city,5,substitution,80,,away,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,6,goal,75,,away,,,,,,,,regular,1,1,
25-26-efl-cup-chelsea-vs-cardiff-city,7,substitution,66,,home,168,Buonanotte,228,Gusto,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,8,substitution,66,,home,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,9,goal,57,,home,,,,,,,,regular,1,0,
25-26-efl-cup-chelsea-vs-cardiff-city,10,substitution,56,,away,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,11,substitution,56,,away,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,12,substitution,46,,home,243,George,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,13,substitution,46,,home,,,,,,,,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,14,card,45,,home,,,,,,,yellow,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,15,card,27,,away,,,,,,,yellow,,,,
25-26-efl-cup-chelsea-vs-cardiff-city,16,card,16,,away,,,,,,,yellow,,,,
25-26-efl-cup-fulham-vs-newcastle-united,1,substitution,90,,home,330,Berge,737,Kusi-Asare,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,2,goal,90,,away,497,L.Miley,,,,,,regular,1,2,
25-26-efl-cup-fulham-vs-newcastle-united,3,substitution,85,,away,489,J.Murphy,486,Elanga,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,4,substitution,85,,away,487,Barnes,485,Gordon,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,5,card,82,,away,714,Woltemade,,,,,yellow,,,,
25-26-efl-cup-fulham-vs-newcastle-united,6,substitution,76,,away,477,Livramento,481,A.Murphy,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,7,substitution,74,,home,,,,,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,8,substitution,74,,home,325,Smith Rowe,,,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,9,substitution,72,,away,135,Wissa,714,Woltemade,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,10,substitution,72,,away,494,Willock,491,Tonali,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,11,substitution,46,,home,332,Lukić,336,Reed,,,,,,,
25-26-efl-cup-fulham-vs-newcastle-united,12,card,29,,home,332,Lukić,,,,,yellow,,,,
25-26-efl-cup-fulham-vs-newcastle-united,13,card,23,,away,474,Schär,,,,,yellow,,,,
25-26-efl-cup-fulham-vs-newcastle-united,14,goal,16,,home,332,Lukić,,,,,,regular,1,1,
25-26-efl-cup-fulham-vs-newcastle-united,15,goal,10,,away,135,Wissa,,,,,,regular,0,1,
