match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-efl-cup-brentford-vs-manchester-city,1,76,,False,403,Gvardiol,miss,corner,left-foot,0.2759,,4.6,46.4,59.2,16.7,close-left
25-26-efl-cup-brentford-vs-manchester-city,2,76,,False,405,Aké,block,corner,head,0.021,,8.8,38.3,50.5,19,low-centre
25-26-efl-cup-brentford-vs-manchester-city,3,73,,False,,,save,fast-break,right-foot,0.0431,,11.9,68.2,47.3,1.9,low-right
25-26-efl-cup-brentford-vs-manchester-city,4,73,,False,,,block,assisted,left-foot,0.0567,,18.9,63.2,46,19,low-right
25-26-efl-cup-brentford-vs-manchester-city,5,69,,False,739,Mukasa,miss,assisted,left-foot,0.0472,,18.2,67.2,59.8,40.3,high-left
25-26-efl-cup-brentford-vs-manchester-city,6,67,,False,,,goal,fast-break,left-foot,0.0581,,12.8,30.2,47.2,30.4,high-right
25-26-efl-cup-brentford-vs-manchester-city,7,64,,False,414,Foden,save,regular,left-foot,0.0689,,13.8,36.4,47.6,5.1,low-right
25-26-efl-cup-brentford-vs-manchester-city,8,54,,True,110,Kayode,save,throw-in-set-piece,right-foot,0.0116,,8.1,25.6,51.7,7.6,low-centre
25-26-efl-cup-brentford-vs-manchester-city,9,54,,True,108,Ajer,save,assisted,right-foot,0.0452,,21,65,53.4,20.3,high-left
25-26-efl-cup-brentford-vs-manchester-city,10,49,,False,411,O'Reilly,save,assisted,left-foot,0.0289,,24.8,42.6,49.9,17.1,low-centre
25-26-efl-cup-brentford-vs-manchester-city,11,32,,False,417,Cherki,goal,corner,right-foot,0.0429,,20.7,46.8,46.7,25.3,high-right
25-26-efl-cup-brentford-vs-manchester-city,12,28,,False,739,Mukasa,block,assisted,left-foot,0.0228,,18.8,71.2,48.4,19,low-centre
25-26-efl-cup-brentford-vs-manchester-city,13,26,,False,427,Reijnders,miss,corner,left-foot,0.0634,,18.7,55.8,49.9,63.9,high
25-26-efl-cup-brentford-vs-manchester-city,14,24,,False,417,Cherki,save,assisted,right-foot,0.0425,,22.2,55,49.3,19.6,low-centre
25-26-efl-cup-brentford-vs-manchester-city,15,22,,False,,,miss,assisted,right-foot,0.1122,,18.7,53.2,33.8,12.5,right
25-26-efl-cup-brentford-vs-manchester-city,16,20,,True,126,Jensen,save,free-kick,right-foot,0.0292,,24.4,68.4,47.2,19,low-right
25-26-efl-cup-brentford-vs-manchester-city,17,14,,False,424,Bobb,save,assisted,left-foot,0.1353,,8.8,64.6,48.1,2.5,low-right
25-26-efl-cup-brentford-vs-manchester-city,18,13,,False,417,Cherki,miss,assisted,left-foot,0.0522,,19.4,61.5,41.7,4.2,close-right
25-26-efl-cup-chelsea-vs-cardiff-city,1,90,,True,,,goal,fast-break,right-foot,0.2899,,7.4,38.7,46.4,14.6,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,2,90,,True,,,miss,assisted,right-foot,0.1579,,4.8,61.2,46.6,66.7,high
25-26-efl-cup-chelsea-vs-cardiff-city,3,87,,True,,,block,assisted,right-foot,0.3252,,7.7,47.7,47.3,19,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,4,84,,False,,,miss,regular,right-foot,0.0381,,13.5,30.7,50.4,52.8,close-high
25-26-efl-cup-chelsea-vs-cardiff-city,5,82,,True,,,goal,assisted,right-foot,0.0528,,13,68.8,54.1,4.4,low-left
25-26-efl-cup-chelsea-vs-cardiff-city,6,82,,False,,,save,assisted,right-foot,0.0572,,15.4,66.4,49,3.2,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,7,78,,True,,,save,assisted,right-foot,0.1629,,4.5,57.2,46.9,6.3,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,8,75,,False,,,goal,assisted,head,0.0735,,10.5,52.8,46.9,25.3,high-right
25-26-efl-cup-chelsea-vs-cardiff-city,9,73,,True,,,block,corner,right-foot,0.0371,,19.2,34.8,46,19,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,10,72,,True,,,miss,corner,right-foot,0.013,,22.6,48.7,60.2,16.7,left
25-26-efl-cup-chelsea-vs-cardiff-city,11,65,,False,,,block,corner,right-foot,0.0559,,15.3,34.2,45.2,18.1,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,12,60,,True,168,Buonanotte,save,regular,left-foot,0.0552,,19.7,61.3,52.4,31,high-left
25-26-efl-cup-chelsea-vs-cardiff-city,13,60,,True,,,block,assisted,right-foot,0.1407,,14.9,50.2,48.8,19,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,14,57,,True,,,goal,assisted,left-foot,0.1484,,6.1,39.1,45.8,6.3,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,15,57,,True,,,block,corner,left-foot,0.0543,,14.8,58.5,50.4,19,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,16,55,,True,672,Hato,block,assisted,right-foot,0.1128,,15.6,44,45.4,19,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,17,54,,True,,,save,fast-break,right-foot,0.3741,,9.7,54.2,47.8,3.2,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,18,53,,True,,,block,assisted,left-foot,0.0323,,20.4,68.9,46.6,19,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,19,52,,True,,,block,assisted,left-foot,0.091,,18.7,52.3,52,19,low-left
25-26-efl-cup-chelsea-vs-cardiff-city,20,45,,False,,,save,set-piece,head,0.0463,,3.6,39.3,47.8,12.7,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,21,44,,False,,,miss,regular,left-foot,0.0143,,26.2,52.8,38.3,6.9,right
25-26-efl-cup-chelsea-vs-cardiff-city,22,35,,False,,,miss,corner,left-foot,0.0194,,27.9,47.7,30.9,9.7,right
25-26-efl-cup-chelsea-vs-cardiff-city,23,31,,True,,,save,assisted,left-foot,0.0801,,7.6,32.9,51.5,3.8,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,24,23,,False,,,miss,assisted,right-foot,0.1045,,13.3,36,0.5,6.9,right
25-26-efl-cup-chelsea-vs-cardiff-city,25,21,,True,243,George,block,assisted,right-foot,0.132,,11.4,66.2,50.9,19,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,26,15,,True,233,Acheampong,block,regular,left-foot,0.0802,,18.8,47.4,48.7,19,low-centre
25-26-efl-cup-chelsea-vs-cardiff-city,27,12,,False,,,save,assisted,right-foot,0.0346,,17.9,29.3,47.2,18.4,low-right
25-26-efl-cup-chelsea-vs-cardiff-city,28,11,,True,,,miss,corner,left-foot,0.0467,,15.1,37.7,47.2,66.7,high
25-26-efl-cup-chelsea-vs-cardiff-city,29,7,,False,,,miss,assisted,head,0.0631,,9.8,48.5,60.5,52.8,high-left
25-26-efl-cup-chelsea-vs-cardiff-city,30,6,,True,,,block,regular,right-foot,0.0388,,23.4,42.3,52.2,19,low-left
25-26-efl-cup-fulham-vs-newcastle-united,1,90,,True,322,Tete,miss,throw-in-set-piece,right-foot,0.0169,,25.9,68.7,54.8,56.9,close-high
25-26-efl-cup-fulham-vs-newcastle-united,2,90,,False,497,L.Miley,goal,corner,head,0.1341,,4.4,43.1,48.7,25.9,high-centre
25-26-efl-cup-fulham-vs-newcastle-united,3,90,,False,497,L.Miley,save,assisted,left-foot,0.1831,,12.3,56.4,53.9,3.2,low-left
25-26-efl-cup-fulham-vs-newcastle-united,4,90,,False,491,Tonali,miss,regular,left-foot,0.0592,,19.3,59.3,62.9,5.6,left
25-26-efl-cup-fulham-vs-newcastle-united,5,90,,False,,,block,regular,left-foot,0.0239,,11,70.7,51.2,19,low-centre
25-26-efl-cup-fulham-vs-newcastle-united,6,90,,False,,,miss,assisted,right-foot,0.0219,,8.7,72.1,69.2,4.2,left
