id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
33,a,,,4.2,619,32.0,0,0.0,-3,3.0,0.4,268,35.0,11,0,2.2,283.0,25.0,0,51,0.4,329.0,24.0,0.1,2.6,0.0,82377,300,110549,653,0.4,0.4,0.0,0.0,0.0,8.53,0.0,0.0,0.0,1.9,92.8,328.0,27.0,0.0,597.0,72.0,0.0,565.0,57.0,9.3,396.0,27.0,,,,22,,Marco,Bizot,M.Bizot,,,405,0,0,1,8,0,0,0,2,0,13,4,23,,,,2.89,0.22,1.78,0.89,0.0,0,6,41
104,a,,,3.9,758,86.0,0,0.0,-1,1.0,0.1,440,67.0,0,0,0.0,540.0,55.0,0,0,0.0,455.0,50.0,0.0,0.0,0.0,12433,61,8823,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,55.0,0.0,523.0,42.0,0.0,486.0,27.0,0.0,533.0,55.0,,,,22,,Julian,Eyestone,Eyestone,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
744,a,,,4.5,463,282.0,0,0.0,0,0.0,0.0,705,299.0,1,0,1.0,452.0,206.0,0,3,0.0,643.0,247.0,0.0,0.2,0.0,2317,33,1555,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,284.0,0.0,693.0,285.0,0.0,674.0,278.0,0.0,698.0,285.0,,,,22,,Nehemiah,Oriola,Oriola,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
125,a,100.0,100.0,4.9,299,186.0,0,0.0,-1,1.0,0.3,294,97.0,53,1,3.1,172.0,72.0,3,222,5.6,14.0,6.0,1.1,10.8,0.0,50534,8020,11205,2771,5.6,5.6,0.5,1.68,2.18,13.22,0.05,0.18,0.23,1.4,238.4,182.0,76.0,242.2,86.0,64.0,64.0,264.0,142.0,54.2,168.0,90.0,5.0,,,22,,Vitaly,Janelt,Janelt,,,848,0,4,4,9,0,0,0,4,0,0,8,121,,,,0.0,0.42,0.96,0.85,12.84,21,45,55
126,a,,,4.9,302,188.0,0,0.0,-1,1.0,0.1,499,175.0,43,2,2.1,307.0,136.0,0,189,2.0,204.0,86.0,0.4,8.8,0.0,12693,358,15195,300,2.0,2.0,1.28,2.13,3.41,13.5,0.13,0.22,0.35,1.42,165.4,245.0,103.0,199.8,114.0,82.0,99.0,207.0,116.0,46.3,202.0,104.0,3.0,,5.0,22,,Mathias,Jensen,Jensen,,,854,2,0,4,11,0,0,0,1,0,0,10,78,,,,0.0,0.42,1.16,1.05,8.22,18,19,41
278,a,100.0,100.0,4.4,535,320.0,0,0.0,-1,1.0,0.0,639,260.0,0,0,0.0,648.0,248.0,0,0,0.0,584.0,204.0,0.0,0.0,0.0,4246,53,9289,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,240.0,0.0,637.0,245.0,0.0,612.0,234.0,0.0,642.0,242.0,,,,22,,Jesurun,Rak-Sakyi,J.Rak-Sakyi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
413,a,100.0,0.0,8.3,12,7.0,0,0.0,-2,2.0,2.3,120,40.0,16,0,1.6,381.0,172.0,2,52,0.0,799.0,359.0,0.0,1.9,0.0,207176,3274,1233987,1101,0.5,0.0,1.25,0.46,1.71,2.47,0.55,0.2,0.75,1.09,41.4,391.0,171.0,39.1,333.0,179.0,93.0,218.0,122.0,17.2,353.0,167.0,,1.0,2.0,22,,Omar,Marmoush,Marmoush,,,204,0,1,0,3,0,0,0,0,0,0,2,16,,,,0.0,0.0,1.32,0.88,7.06,3,4,9
301,a,100.0,0.0,5.2,217,135.0,0,0.0,-3,3.0,0.1,484,169.0,25,0,1.7,361.0,158.0,0,104,0.6,321.0,144.0,0.1,4.8,0.0,16387,27,27898,389,0.6,0.0,1.04,0.43,1.47,13.0,0.14,0.06,0.2,1.78,79.4,341.0,151.0,144.0,162.0,110.0,156.0,130.0,76.0,38.0,245.0,118.0,,,,22,,Carlos,Alcaraz Durán,Alcaraz,,,656,0,1,3,8,0,0,0,3,0,0,6,60,,,,0.0,0.41,1.1,0.82,8.23,12,10,38
779,a,,,4.5,498,68.0,0,0.0,0,0.0,0.0,707,84.0,0,0,0.0,727.0,78.0,0,0,0.0,672.0,69.0,0.0,0.0,0.0,1125,293,374,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,78.0,0.0,722.0,77.0,0.0,705.0,77.0,0.0,727.0,78.0,,,,22,,Braiden,Graham,Graham,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
443,a,,,4.5,403,74.0,0,0.0,0,0.0,0.6,233,86.0,52,5,2.4,264.0,105.0,0,233,3.0,126.0,49.0,0.7,11.6,0.0,125772,1928,96600,3604,2.0,2.5,0.08,1.23,1.31,25.38,0.0,0.06,0.06,1.2,329.8,107.0,47.0,216.6,101.0,24.0,35.0,314.0,100.0,58.2,147.0,48.0,,,,22,,Luke,Shaw,Shaw,,,1908,0,1,4,29,0,0,0,4,0,0,22,153,,,,0.0,0.19,1.37,1.04,5.75,45,77,65
