player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches
6,25-26-efl-cup-chelsea-vs-arsenal,Saliba,6.8,5,0,55,1,0,2,3,1,0,0,0
8,25-26-efl-cup-chelsea-vs-arsenal,J.Timber,6.8,3,0,31,1,0,1,3,2,0,0,0
18,25-26-efl-cup-chelsea-vs-arsenal,Madueke,6.5,11,0,11,1,5,4,4,1,0,0,0
20,25-26-efl-cup-chelsea-vs-arsenal,Trossard,6.4,7,0,11,2,0,1,3,0,0,0,0
21,25-26-efl-cup-chelsea-vs-arsenal,Rice,7.2,16,0,70,8,3,0,4,2,0,0,0
30,25-26-efl-cup-chelsea-vs-arsenal,Havertz,7.5,3,0,8,1,0,1,3,3,0,0,0
226,25-26-efl-cup-chelsea-vs-arsenal,Chalobah,6.7,7,1,84,6,0,0,2,1,0,0,0
228,25-26-efl-cup-chelsea-vs-arsenal,Gusto,7.1,9,0,36,1,1,1,5,2,1,0,0
230,25-26-efl-cup-chelsea-vs-arsenal,Fofana,6.6,10,0,52,3,1,1,4,2,0,0,0
233,25-26-efl-cup-chelsea-vs-arsenal,Acheampong,6.3,0,0,1,0,0,0,1,1,0,0,0
235,25-26-efl-cup-chelsea-vs-arsenal,Palmer,6.4,4,1,19,0,0,1,2,0,0,0,0
237,25-26-efl-cup-chelsea-vs-arsenal,Enzo,7.4,8,0,58,3,8,0,3,1,0,0,0
250,25-26-efl-cup-chelsea-vs-arsenal,Delap,6.1,9,0,9,0,2,1,8,2,1,0,0
266,25-26-efl-cup-chelsea-vs-arsenal,Eze,6.6,6,0,26,1,0,1,4,2,0,0,0
666,25-26-efl-cup-chelsea-vs-arsenal,Gyökeres,6.6,6,1,2,0,2,0,1,1,0,0,0
672,25-26-efl-cup-chelsea-vs-arsenal,Hato,6.8,0,1,27,0,0,0,1,0,0,0,0
725,25-26-efl-cup-chelsea-vs-arsenal,Hincapie,7.4,6,0,27,0,0,1,2,1,0,0,0
52,25-26-efl-cup-newcastle-united-vs-manchester-city,J.Ramsey,6.5,4,0,34,2,0,0,6,1,0,0,0
82,25-26-efl-cup-newcastle-united-vs-manchester-city,Semenyo,6.3,8,0,19,1,0,3,6,2,0,0,0
135,25-26-efl-cup-newcastle-united-vs-manchester-city,Wissa,6.3,2,0,3,0,0,1,2,0,0,0,0
182,25-26-efl-cup-newcastle-united-vs-manchester-city,Trafford,7.5,12,0,33,17,0,0,0,0,0,0,0
402,25-26-efl-cup-newcastle-united-vs-manchester-city,Aït-Nouri,7.3,4,1,57,0,1,2,4,0,0,0,0
405,25-26-efl-cup-newcastle-united-vs-manchester-city,Aké,7.1,4,1,43,0,0,0,0,0,0,0,0
406,25-26-efl-cup-newcastle-united-vs-manchester-city,Khusanov,6.3,3,0,54,0,0,0,3,1,0,0,0
407,25-26-efl-cup-newcastle-united-vs-manchester-city,Matheus N.,6.4,13,0,44,4,0,1,3,1,1,0,0
410,25-26-efl-cup-newcastle-united-vs-manchester-city,Lewis,6.5,1,0,12,0,1,0,1,0,0,0,0
411,25-26-efl-cup-newcastle-united-vs-manchester-city,O'Reilly,6.6,5,0,87,3,0,2,4,0,0,0,0
413,25-26-efl-cup-newcastle-united-vs-manchester-city,Marmoush,9.4,9,2,36,3,0,0,3,0,0,0,0
414,25-26-efl-cup-newcastle-united-vs-manchester-city,Foden,6.0,13,1,32,1,2,4,7,1,0,0,0
417,25-26-efl-cup-newcastle-united-vs-manchester-city,Cherki,7.3,6,1,22,1,1,3,1,0,0,0,0
427,25-26-efl-cup-newcastle-united-vs-manchester-city,Reijnders,7.4,6,0,52,1,1,3,1,0,0,0,0
430,25-26-efl-cup-newcastle-united-vs-manchester-city,Haaland,7.0,2,0,5,0,0,0,2,2,0,0,0
473,25-26-efl-cup-newcastle-united-vs-manchester-city,Hall,6.7,5,0,25,2,0,1,3,0,0,0,0
475,25-26-efl-cup-newcastle-united-vs-manchester-city,Botman,6.0,9,0,46,4,0,0,0,0,0,0,0
476,25-26-efl-cup-newcastle-united-vs-manchester-city,Burn,6.9,6,0,28,1,0,0,8,5,0,0,0
478,25-26-efl-cup-newcastle-united-vs-manchester-city,Trippier,7.1,16,0,52,10,3,0,2,0,0,0,0
485,25-26-efl-cup-newcastle-united-vs-manchester-city,Gordon,6.4,5,0,16,0,0,1,2,0,0,0,0
486,25-26-efl-cup-newcastle-united-vs-manchester-city,Elanga,7.5,7,2,6,0,1,3,3,0,0,0,0
487,25-26-efl-cup-newcastle-united-vs-manchester-city,Barnes,6.6,3,1,12,1,0,1,2,1,0,0,0
489,25-26-efl-cup-newcastle-united-vs-manchester-city,J.Murphy,6.2,10,0,12,2,2,1,4,0,0,0,0
491,25-26-efl-cup-newcastle-united-vs-manchester-city,Tonali,6.8,11,0,42,5,3,1,4,0,0,0,0
494,25-26-efl-cup-newcastle-united-vs-manchester-city,Willock,6.5,4,0,14,0,0,2,3,0,0,0,0
500,25-26-efl-cup-newcastle-united-vs-manchester-city,Osula,6.6,1,0,1,0,0,0,1,0,0,0,0
674,25-26-efl-cup-newcastle-united-vs-manchester-city,Ramsdale,7.3,10,0,30,13,0,0,0,0,0,0,1
684,25-26-efl-cup-newcastle-united-vs-manchester-city,Thiaw,6.2,7,0,51,5,0,0,3,0,0,0,0
714,25-26-efl-cup-newcastle-united-vs-manchester-city,Woltemade,6.6,2,0,7,2,0,0,1,0,0,0,0
794,25-26-efl-cup-newcastle-united-vs-manchester-city,Alleyne,6.8,3,0,42,2,0,0,1,1,0,0,0
