id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
32,a,100.0,100.0,5.0,240,8.0,0,0.0,0,0.0,4.5,82,14.0,43,3,4.3,56.0,4.0,3,173,6.0,34.0,5.0,1.2,8.6,0.0,345579,47105,178129,7369,6.0,6.0,0.0,0.03,0.03,12.2,0.0,0.0,0.0,1.22,207.6,92.0,14.0,3.0,383.0,11.0,0.0,700.0,79.0,21.0,236.0,14.0,,,,12,,Emiliano,Martínez Romero,Martinez,,,900,0,0,3,8,0,1,0,1,0,23,10,78,,,,2.3,0.3,0.8,1.0,0.0,0,8,87
34,u,0.0,0.0,4.0,649,56.0,0,0.0,0,0.0,0.1,442,70.0,0,0,0.0,526.0,63.0,0,0,0.0,442.0,57.0,0.0,0.0,0.0,0,0,14353,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,64.0,0.0,509.0,52.0,0.0,476.0,38.0,0.0,521.0,64.0,,,,12,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
36,a,100.0,75.0,4.6,387,68.0,0,0.0,1,-1.0,7.6,53,16.0,54,2,4.5,48.0,23.0,5,189,2.7,137.0,48.0,0.6,11.7,0.0,880764,72749,485730,16492,2.7,2.0,0.31,0.97,1.28,15.37,0.03,0.08,0.11,1.31,247.8,55.0,25.0,169.0,58.0,12.0,61.0,181.0,39.0,47.9,64.0,15.0,,,,12,,Matty,Cash,Cash,,,1056,2,0,4,10,0,0,0,3,0,0,12,93,,,,0.0,0.34,0.85,1.02,5.97,21,49,27
4,a,,,4.0,672,65.0,0,0.0,0,0.0,0.2,362,54.0,0,0,0.0,543.0,72.0,0,0,0.0,462.0,66.0,0.0,0.0,0.0,16194,210,17892,521,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,73.0,0.0,526.0,61.0,0.0,494.0,47.0,0.0,538.0,73.0,,,,12,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
38,a,100.0,75.0,4.4,499,110.0,0,0.0,-1,1.0,7.9,49,14.0,35,2,3.2,140.0,51.0,0,187,3.0,113.0,37.0,0.7,8.0,0.0,261071,12383,1583755,18718,3.0,2.2,0.04,0.15,0.19,14.77,0.0,0.01,0.01,1.38,203.2,96.0,41.0,28.3,283.0,89.0,33.0,250.0,72.0,26.5,192.0,62.0,,,,12,,Ezri,Konsa Ngoyo,Konsa,,,965,0,0,4,10,0,0,0,0,1,0,11,89,,,,0.0,0.37,0.93,1.03,5.78,5,57,33
41,a,,,4.3,575,139.0,0,0.0,-2,2.0,0.5,240,89.0,29,4,3.2,139.0,50.0,2,135,3.7,91.0,33.0,0.9,6.7,0.0,36154,6334,40143,1257,3.7,3.7,0.1,0.17,0.27,9.62,0.01,0.02,0.03,1.26,160.6,136.0,60.0,12.1,340.0,117.0,15.0,302.0,95.0,18.9,250.0,84.0,,,,12,,Pau,Torres,Pau,,,687,0,0,2,7,0,0,0,0,0,0,7,82,,,,0.0,0.26,0.92,0.92,7.21,10,45,39
55,a,100.0,100.0,4.8,345,218.0,0,0.0,-2,2.0,0.1,554,206.0,14,4,2.3,235.0,103.0,0,53,3.7,94.0,42.0,0.8,2.9,0.0,3644,839,8325,239,3.7,3.7,0.43,0.16,0.59,1.41,0.38,0.14,0.52,1.24,51.8,298.0,136.0,33.4,267.0,157.0,55.0,199.0,118.0,14.0,285.0,142.0,,,,12,,Ross,Barkley,Barkley,,,102,1,1,0,0,0,0,0,0,0,0,0,15,,,,0.0,0.0,0.0,0.0,13.24,3,2,10
389,a,100.0,100.0,5.3,200,126.0,-1,1.0,-2,2.0,0.2,355,120.0,4,0,1.0,425.0,203.0,0,13,0.0,705.0,304.0,0.0,0.8,0.0,90038,222,91890,1464,0.0,0.0,0.19,0.06,0.25,1.74,0.18,0.06,0.24,1.61,8.6,406.0,187.0,17.8,319.0,175.0,18.0,296.0,158.0,4.4,376.0,179.0,,,,12,,Harvey,Elliott,Elliott,,,97,0,0,0,2,0,0,0,0,0,0,1,5,,,,0.0,0.0,1.86,0.93,4.64,0,2,3
710,a,,,3.9,730,226.0,0,0.0,-1,1.0,0.2,337,119.0,0,0,0.0,486.0,177.0,0,0,0.0,400.0,145.0,0.0,0.0,0.0,30335,221,12296,1237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,179.0,0.0,467.0,178.0,0.0,434.0,168.0,0.0,481.0,178.0,,,,12,,Travis,Patterson,Patterson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
719,a,100.0,100.0,4.5,404,77.0,0,0.0,0,0.0,0.0,587,213.0,3,0,1.0,393.0,140.0,0,9,0.0,570.0,220.0,0.0,0.7,0.0,4423,232,2855,191,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,2.74,3.0,427.0,153.0,0.4,411.0,151.0,0.0,594.0,230.0,0.4,435.0,153.0,,,,12,,Victor,Lindelöf,Lindelöf,,,21,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,4.29,0,1,0
