match_id,team_side,player_id,player_name,jersey_number,position,x,y
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,734,Bakwa,14,M,64.9,12.8
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,,I. Jesus,40,F,68.2,45.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,507,Aina,22,D,45.0,84.0
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,516,Hudson-Odoi,15,M,60.8,73.1
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,515,Gibbs-White,27,M,64.3,41.2
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,502,Sels,36,G,11.7,44.4
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,,Murillo,8,D,27.2,17.1
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,522,Yates,100,M,53.4,49.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,519,Dominguez,83,M,61.1,64.4
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,508,N.Williams,68,D,50.2,84.6
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,505,Milenković,61,D,35.5,41.0
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,,Morato,85,D,36.8,66.4
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,669,Ndoye,77,M,73.8,68.5
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,426,McAtee,84,M,62.9,27.1
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,513,Abbott,82,D,49.5,15.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,away,521,Sangaré,80,M,47.3,54.5
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,N. Keïta,21,M,43.1,62.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,J. Levi,22,M,59.8,24.2
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,Y. Bamidele,31,F,60.4,46.5
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,Z. Gruber,10,F,50.0,42.4
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,I. Cissé,75,D,35.3,26.0
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,L. Joseph,23,F,58.5,37.5
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,J. Romão,83,M,39.2,40.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,Á. Madarász,10,M,33.7,74.0
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,D. Gróf,52,G,10.9,44.5
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,C. Makreckis,68,M,46.8,13.6
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,K. Zachariassen,44,M,57.4,56.1
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,Cadu,58,M,52.6,87.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,G. Kanichowsky,78,M,47.4,65.7
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,G. Szalai,93,D,34.6,76.4
25-26-europa-league-ferencvaros-vs-nottingham-forest,home,,B. Ötvös,90,M,30.8,39.3
25-26-europa-league-salzburg-vs-aston-villa,away,63,Young,9,M,75.3,15.4
25-26-europa-league-salzburg-vs-aston-villa,away,,J. Jimoh,27,M,63.6,71.3
25-26-europa-league-salzburg-vs-aston-villa,away,754,George Hemmings,33,M,44.5,67.6
25-26-europa-league-salzburg-vs-aston-villa,away,37,Digne,100,D,51.2,83.4
25-26-europa-league-salzburg-vs-aston-villa,away,47,Rogers,34,M,73.5,51.5
25-26-europa-league-salzburg-vs-aston-villa,away,64,Watkins,14,F,60.2,58.9
25-26-europa-league-salzburg-vs-aston-villa,away,,E. Konsa,25,D,36.4,32.3
25-26-europa-league-salzburg-vs-aston-villa,away,719,Lindelöf,102,D,36.6,34.8
25-26-europa-league-salzburg-vs-aston-villa,away,36,Cash,63,D,52.9,16.5
25-26-europa-league-salzburg-vs-aston-villa,away,,E. Buendía,52,M,53.4,72.6
25-26-europa-league-salzburg-vs-aston-villa,away,59,Onana,65,M,40.9,49.1
25-26-europa-league-salzburg-vs-aston-villa,away,40,Mings,123,D,36.8,67.1
25-26-europa-league-salzburg-vs-aston-villa,away,389,Elliott,78,M,61.0,28.1
25-26-europa-league-salzburg-vs-aston-villa,away,456,Sancho,68,M,69.1,17.1
25-26-europa-league-salzburg-vs-aston-villa,away,44,Bogarde,87,M,50.2,29.4
25-26-europa-league-salzburg-vs-aston-villa,away,,E. Martínez,89,G,12.0,50.4
25-26-europa-league-salzburg-vs-aston-villa,home,,O. Lukić,2,M,68.5,9.1
25-26-europa-league-salzburg-vs-aston-villa,home,,M. Kjaergaard,4,M,52.4,81.5
25-26-europa-league-salzburg-vs-aston-villa,home,,K. Onisiwo,14,F,54.5,65.1
25-26-europa-league-salzburg-vs-aston-villa,home,,K. Alajbegović,29,M,43.0,74.5
25-26-europa-league-salzburg-vs-aston-villa,home,,M. K. Yeo,26,M,54.7,73.5
25-26-europa-league-salzburg-vs-aston-villa,home,,T. Trummer,63,D,43.8,15.2
25-26-europa-league-salzburg-vs-aston-villa,home,,S. Diabate,75,M,40.5,59.4
25-26-europa-league-salzburg-vs-aston-villa,home,,C. Bischoff,20,M,53.2,67.3
25-26-europa-league-salzburg-vs-aston-villa,home,,A. Schlager,70,G,7.9,50.6
25-26-europa-league-salzburg-vs-aston-villa,home,,S. Kitano,57,M,55.1,47.5
25-26-europa-league-salzburg-vs-aston-villa,home,,K. Konaté,23,F,66.3,59.3
25-26-europa-league-salzburg-vs-aston-villa,home,,F. Krätzig,55,D,39.3,87.2
25-26-europa-league-salzburg-vs-aston-villa,home,,E. Baidoo,52,F,57.5,34.6
25-26-europa-league-salzburg-vs-aston-villa,home,,J. Gadou,56,D,26.0,36.2
25-26-europa-league-salzburg-vs-aston-villa,home,,M. Bidstrup,48,M,43.6,32.6
25-26-europa-league-salzburg-vs-aston-villa,home,,J. Schuster,66,D,22.6,71.5
