match_id,minute,value
25-26-europa-league-ferencvaros-vs-nottingham-forest,1,5
25-26-europa-league-ferencvaros-vs-nottingham-forest,2,-7
25-26-europa-league-ferencvaros-vs-nottingham-forest,3,-8
25-26-europa-league-ferencvaros-vs-nottingham-forest,4,-2
25-26-europa-league-ferencvaros-vs-nottingham-forest,5,7
25-26-europa-league-ferencvaros-vs-nottingham-forest,6,7
25-26-europa-league-ferencvaros-vs-nottingham-forest,7,67
25-26-europa-league-ferencvaros-vs-nottingham-forest,8,47
25-26-europa-league-ferencvaros-vs-nottingham-forest,9,12
25-26-europa-league-ferencvaros-vs-nottingham-forest,10,10
25-26-europa-league-ferencvaros-vs-nottingham-forest,11,-39
25-26-europa-league-ferencvaros-vs-nottingham-forest,12,-32
25-26-europa-league-ferencvaros-vs-nottingham-forest,13,-26
25-26-europa-league-ferencvaros-vs-nottingham-forest,14,26
25-26-europa-league-ferencvaros-vs-nottingham-forest,15,-9
25-26-europa-league-ferencvaros-vs-nottingham-forest,16,-48
25-26-europa-league-ferencvaros-vs-nottingham-forest,17,-31
25-26-europa-league-ferencvaros-vs-nottingham-forest,18,-19
25-26-europa-league-ferencvaros-vs-nottingham-forest,19,-16
25-26-europa-league-ferencvaros-vs-nottingham-forest,20,-17
25-26-europa-league-ferencvaros-vs-nottingham-forest,21,-100
25-26-europa-league-ferencvaros-vs-nottingham-forest,22,-66
25-26-europa-league-ferencvaros-vs-nottingham-forest,23,-70
25-26-europa-league-ferencvaros-vs-nottingham-forest,24,-47
25-26-europa-league-ferencvaros-vs-nottingham-forest,25,-69
25-26-europa-league-ferencvaros-vs-nottingham-forest,26,-13
25-26-europa-league-ferencvaros-vs-nottingham-forest,27,-5
25-26-europa-league-ferencvaros-vs-nottingham-forest,28,-20
25-26-europa-league-ferencvaros-vs-nottingham-forest,29,-18
25-26-europa-league-ferencvaros-vs-nottingham-forest,30,-71
25-26-europa-league-ferencvaros-vs-nottingham-forest,31,-70
25-26-europa-league-ferencvaros-vs-nottingham-forest,32,-43
25-26-europa-league-ferencvaros-vs-nottingham-forest,33,-30
25-26-europa-league-ferencvaros-vs-nottingham-forest,34,-17
25-26-europa-league-ferencvaros-vs-nottingham-forest,35,-1
25-26-europa-league-ferencvaros-vs-nottingham-forest,36,-19
25-26-europa-league-ferencvaros-vs-nottingham-forest,37,-1
25-26-europa-league-ferencvaros-vs-nottingham-forest,38,27
25-26-europa-league-ferencvaros-vs-nottingham-forest,39,21
25-26-europa-league-ferencvaros-vs-nottingham-forest,40,15
25-26-europa-league-ferencvaros-vs-nottingham-forest,41,21
25-26-europa-league-ferencvaros-vs-nottingham-forest,42,24
25-26-europa-league-ferencvaros-vs-nottingham-forest,43,2
25-26-europa-league-ferencvaros-vs-nottingham-forest,44,8
25-26-europa-league-ferencvaros-vs-nottingham-forest,45,-9
25-26-europa-league-ferencvaros-vs-nottingham-forest,45.5,72
25-26-europa-league-ferencvaros-vs-nottingham-forest,46,-7
25-26-europa-league-ferencvaros-vs-nottingham-forest,47,-9
25-26-europa-league-ferencvaros-vs-nottingham-forest,48,-75
25-26-europa-league-ferencvaros-vs-nottingham-forest,49,-59
25-26-europa-league-ferencvaros-vs-nottingham-forest,50,-34
25-26-europa-league-ferencvaros-vs-nottingham-forest,51,-22
25-26-europa-league-ferencvaros-vs-nottingham-forest,52,18
25-26-europa-league-ferencvaros-vs-nottingham-forest,53,4
25-26-europa-league-ferencvaros-vs-nottingham-forest,54,-76
25-26-europa-league-ferencvaros-vs-nottingham-forest,55,-48
25-26-europa-league-ferencvaros-vs-nottingham-forest,56,-100
25-26-europa-league-ferencvaros-vs-nottingham-forest,57,-85
25-26-europa-league-ferencvaros-vs-nottingham-forest,58,-45
25-26-europa-league-ferencvaros-vs-nottingham-forest,59,25
25-26-europa-league-ferencvaros-vs-nottingham-forest,60,-4
25-26-europa-league-ferencvaros-vs-nottingham-forest,61,8
25-26-europa-league-ferencvaros-vs-nottingham-forest,62,17
25-26-europa-league-ferencvaros-vs-nottingham-forest,63,-10
25-26-europa-league-ferencvaros-vs-nottingham-forest,64,6
25-26-europa-league-ferencvaros-vs-nottingham-forest,65,35
25-26-europa-league-ferencvaros-vs-nottingham-forest,66,16
25-26-europa-league-ferencvaros-vs-nottingham-forest,67,-18
25-26-europa-league-ferencvaros-vs-nottingham-forest,68,-25
25-26-europa-league-ferencvaros-vs-nottingham-forest,69,-50
25-26-europa-league-ferencvaros-vs-nottingham-forest,70,-22
25-26-europa-league-ferencvaros-vs-nottingham-forest,71,15
25-26-europa-league-ferencvaros-vs-nottingham-forest,72,-25
25-26-europa-league-ferencvaros-vs-nottingham-forest,73,21
25-26-europa-league-ferencvaros-vs-nottingham-forest,74,8
25-26-europa-league-ferencvaros-vs-nottingham-forest,75,-6
