match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
25-26-europa-league-nottingham-forest-vs-real-betis,1,85,,False,,,goal,assisted,right-foot,0.1793,0.4836,4.7,60.6,53.1,17.1,low-left
25-26-europa-league-nottingham-forest-vs-real-betis,2,84,,False,,,miss,set-piece,left-foot,0.0224,,19.8,56.7,99.8,29.2,left
25-26-europa-league-nottingham-forest-vs-real-betis,3,83,,False,,,block,regular,left-foot,0.0074,,21.8,30.7,51.1,19,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,4,78,,False,,,miss,assisted,left-foot,0.0285,,21.2,65.8,58,40.3,close-high-left
25-26-europa-league-nottingham-forest-vs-real-betis,5,73,,False,,,save,assisted,right-foot,0.0374,0.0549,10.7,72,47.9,5.7,low-right
25-26-europa-league-nottingham-forest-vs-real-betis,6,71,,False,,,save,assisted,head,0.0294,0.0779,12.1,54.5,46.9,16.5,low-right
25-26-europa-league-nottingham-forest-vs-real-betis,7,62,,True,517,Anderson,block,assisted,right-foot,0.0214,,23.4,34,51.9,19,low-left
25-26-europa-league-nottingham-forest-vs-real-betis,8,60,,False,,,block,assisted,left-foot,0.02,,24.4,43,50.9,19,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,9,59,,False,,,miss,assisted,left-foot,0.0109,,21.1,73.8,67.1,87.5,high-left
25-26-europa-league-nottingham-forest-vs-real-betis,10,57,,True,734,Bakwa,miss,assisted,left-foot,0.1622,,9.5,58.5,37.1,84.7,high-right
25-26-europa-league-nottingham-forest-vs-real-betis,11,48,,True,516,Hudson-Odoi,save,assisted,right-foot,0.0457,0.0671,18.2,30.3,52.1,4.4,low-left
25-26-europa-league-nottingham-forest-vs-real-betis,12,40,,True,515,Gibbs-White,save,assisted,right-foot,0.1423,0.0836,5.2,56.4,51.7,1.9,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,13,35,,True,,,save,assisted,right-foot,0.1785,0.1582,9.8,58.1,50.2,1.9,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,14,33,,True,12,Zinchenko,block,assisted,left-foot,0.0289,,15.1,36.3,48.4,25,high-centre
25-26-europa-league-nottingham-forest-vs-real-betis,15,33,,True,517,Anderson,block,corner,left-foot,0.0161,,11.8,32.3,52.9,19,low-left
25-26-europa-league-nottingham-forest-vs-real-betis,16,33,,True,516,Hudson-Odoi,post,corner,left-foot,0.9406,,2.7,49.1,55.3,8.9,left
25-26-europa-league-nottingham-forest-vs-real-betis,17,32,,True,,,block,assisted,right-foot,0.0292,,10.8,32.1,51.6,19,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,18,31,,True,,,block,assisted,left-foot,0.3826,,4.5,46.4,50.8,4.2,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,19,31,,True,,,block,regular,left-foot,0.0702,,13.6,55.4,52.5,19,low-left
25-26-europa-league-nottingham-forest-vs-real-betis,20,31,,True,,,block,regular,right-foot,0.0759,,13.7,56,49.1,16.7,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,21,23,,True,,,goal,corner,head,0.2227,0.4479,6.7,49.8,47.7,8.9,low-right
25-26-europa-league-nottingham-forest-vs-real-betis,22,18,,True,,,goal,assisted,left-foot,0.9002,0.995,4.2,48.8,51.2,1.3,low-centre
25-26-europa-league-nottingham-forest-vs-real-betis,23,15,,False,,,goal,assisted,right-foot,0.0757,0.5569,11.2,61.3,45.9,24.1,high-right
25-26-europa-league-nottingham-forest-vs-real-betis,24,12,,True,515,Gibbs-White,miss,assisted,head,0.0173,,12.3,59.9,55.6,66.7,high
25-26-europa-league-nottingham-forest-vs-real-betis,25,9,,True,516,Hudson-Odoi,save,assisted,right-foot,0.0326,0.025,26.2,44.4,51.1,2.5,low-centre
