id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
16,a,,,10.0,5,3,0,0,0,0,17.0,26,7,127,0,5.1,11,6,18,508,0.0,681,302,0.0,12.7,0,0,0,0,0,3.5,,6.87,7.78,14.65,17.72,0.36,0.41,0.77,0.93,606.0,87,36,842.8,16,15,830.0,23,13,227.9,14,10,1.0,4.0,1.0,0,,Bukayo,Saka,Saka,,,1724.0,6.0,11.0,7.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,108.0,,,,0.0,0.37,1.1,1.04,5.64
33,a,,,4.5,363,19,0,0,0,0,0.3,284,41,0,0,0.0,494,70,0,0,0.0,134,48,0.0,0.0,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,70,0.0,484,63,0.0,461,50,0.0,491,70,,,,0,,Marco,Bizot,M.Bizot,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
18,a,,,7.0,37,24,0,0,0,0,1.2,164,56,120,0,3.8,63,31,12,425,0.0,650,283,0.0,17.1,0,0,0,0,0,2.8,,9.62,2.86,12.48,29.55,0.43,0.13,0.56,1.31,479.2,130,54,475.1,73,59,998.0,11,5,195.3,37,29,,,,0,,Noni,Madueke,Madueke,,,2028.0,7.0,5.0,6.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,129.0,,,,0.0,0.27,1.24,1.2,5.72
19,a,,,7.0,40,26,0,0,0,0,1.5,148,50,125,0,3.8,64,32,6,422,0.0,653,285,0.0,17.9,0,0,0,0,0,2.8,,7.13,4.46,11.59,26.22,0.28,0.18,0.46,1.03,559.8,103,41,587.8,51,44,912.0,16,8,206.1,26,21,,,,0,,Gabriel,Martinelli Silva,Martinelli,,,2284.0,8.0,4.0,10.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,122.0,,,,0.0,0.39,0.99,0.99,4.81
34,u,0.0,,4.0,617,63,0,0,0,0,0.3,288,42,0,0,0.0,441,54,0,0,0.0,59,28,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438,54,0.0,428,45,0.0,397,30,0.0,438,54,,,,0,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
20,d,75.0,,7.0,30,17,0,0,0,0,0.5,256,83,152,0,4.0,45,23,18,561,0.0,643,276,0.0,21.7,0,0,0,0,0,2.1,,6.74,4.12,10.86,24.76,0.24,0.15,0.39,0.88,609.0,84,33,617.6,49,42,798.0,25,14,202.1,29,23,,,4.0,0,,Leandro,Trossard,Trossard,Groin Injury - 75% chance of playing,2025-08-10T18:00:05.270079+00:00,2546.0,8.0,8.0,11.0,27.0,0.0,0.0,0.0,2.0,1.0,0.0,28.0,158.0,,,,0.0,0.39,0.95,0.99,5.59
39,a,,,4.5,439,118,0,0,0,0,0.9,186,68,57,0,2.0,242,85,0,204,0.0,210,138,0.0,12.7,0,0,0,0,0,1.4,,0.87,2.43,3.3,17.31,0.07,0.19,0.26,1.38,252.0,223,81,293.4,125,25,197.0,153,28,74.3,187,56,,,,0,,Ian,Maatsen,Maatsen,,,1125.0,1.0,2.0,3.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,71.0,,,,0.0,0.24,1.28,0.8,5.68
24,a,,,5.5,127,82,0,0,0,0,0.7,212,71,107,0,3.1,127,60,7,580,0.0,484,173,0.0,19.5,0,0,0,0,0,2.5,,4.23,1.38,5.61,44.54,0.14,0.04,0.18,1.42,735.4,42,11,333.0,105,76,409.0,75,52,147.9,74,52,,,,0,,Christian,Nørgaard,Nørgaard,,,2820.0,5.0,5.0,6.0,45.0,0.0,0.0,0.0,8.0,1.0,0.0,34.0,405.0,,,,0.0,0.19,1.44,1.09,12.93
133,a,,,4.5,445,241,0,0,0,0,0.0,590,236,0,0,0.0,522,197,0,0,0.0,216,15,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519,196,0.0,515,196,0.0,495,188,0.0,519,196,,,,0,,Myles,Peart-Harris,Peart-Harris,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
15,a,,,4.0,639,190,0,0,0,0,0.2,395,149,0,0,0.0,461,177,0,0,0.0,81,44,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,176,0.0,447,174,0.0,418,168,0.0,457,176,,,,0,,Josh,Nichols,Nichols,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
