gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,tournament
2.0,2025-08-23T14:00:00+00:00,94.0,1799.19,1.0,0.0,7.0,1845.85,True,25-26-prem-brentford-vs-aston-villa,/matches/brentford-vs-aston-villa/3dciw4#4813387,24.0,76.0,1.21,1.19,9.0,17.0,2.0,2.0,2.0,1.0,1.0,1.0,128.0,514.0,72.0,88.0,11.0,9.0,2.0,9.0,0.94,0.98,0.28,0.21,1.21,1.19,1.36,0.13,4.0,7.0,3.0,8.0,0.0,0.0,8.0,12.0,1.0,5.0,178.0,587.0,64.0,211.0,64.0,303.0,23.0,25.0,48.0,61.0,5.0,4.0,45.0,15.0,13.0,23.0,25.0,43.0,1.0,0.0,1.0,2.0,0.0,0.0,28.0,14.0,54,86,11.0,6.0,8.0,3.0,45.0,12.0,2.0,1.0,62.0,52.0,45.0,31.0,59.0,41.0,17.0,21.0,45.0,55.0,8.0,8.0,53.0,33.0,4813387.0,True,True,prem
2.0,2025-08-24T13:00:00+00:00,11.0,1785.15,2.0,0.0,36.0,1824.43,True,25-26-prem-everton-vs-brighton-hove-albion,/matches/everton-vs-brighton-hove-albion/2y16fs#4813390,42.0,58.0,1.6,2.43,11.0,13.0,3.0,4.0,2.0,3.0,1.0,3.0,272.0,411.0,75.0,84.0,7.0,15.0,2.0,2.0,1.23,1.64,0.36,0.0,1.6,1.64,1.21,1.54,7.0,5.0,1.0,4.0,0.0,2.0,6.0,7.0,5.0,6.0,362.0,490.0,124.0,262.0,148.0,149.0,31.0,12.0,45.0,27.0,4.0,3.0,33.0,27.0,19.0,27.0,18.0,29.0,0.0,6.0,4.0,3.0,0.0,0.0,15.0,17.0,53,47,8.0,5.0,3.0,1.0,35.0,24.0,4.0,1.0,70.0,47.0,39.0,31.0,56.0,44.0,31.0,16.0,66.0,34.0,9.0,8.0,56.0,62.0,4813390.0,True,True,prem
2.0,2025-08-24T15:30:00+00:00,54.0,1784.41,1.0,1.0,1.0,1794.97,True,25-26-prem-fulham-vs-manchester-united,/matches/fulham-vs-manchester-united/3cqww9#4813391,52.0,48.0,1.76,1.63,13.0,10.0,4.0,3.0,3.0,2.0,2.0,2.0,353.0,328.0,84.0,83.0,12.0,10.0,9.0,6.0,1.01,0.52,0.74,0.31,1.76,0.84,1.37,0.54,4.0,6.0,5.0,1.0,0.0,1.0,10.0,8.0,3.0,2.0,419.0,397.0,172.0,178.0,181.0,150.0,21.0,22.0,49.0,39.0,10.0,4.0,30.0,29.0,21.0,17.0,38.0,25.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,17.0,80,65,8.0,5.0,1.0,5.0,24.0,27.0,3.0,2.0,41.0,53.0,21.0,30.0,41.0,59.0,20.0,23.0,47.0,53.0,2.0,2.0,15.0,29.0,4813391.0,True,True,prem
2.0,2025-08-23T14:00:00+00:00,91.0,1804.01,1.0,0.0,39.0,1727.97,True,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-afc-bournemouth/2gwdd2#4813385,59.0,41.0,1.29,0.46,14.0,6.0,4.0,1.0,2.0,0.0,2.0,0.0,387.0,225.0,87.0,73.0,13.0,16.0,8.0,3.0,0.92,0.31,0.37,0.16,1.29,0.46,0.93,0.24,5.0,3.0,5.0,2.0,1.0,0.0,8.0,3.0,6.0,3.0,447.0,307.0,155.0,114.0,232.0,111.0,23.0,29.0,45.0,49.0,3.0,5.0,15.0,29.0,24.0,18.0,30.0,14.0,2.0,2.0,2.0,4.0,0.0,1.0,12.0,21.0,75,67,6.0,9.0,2.0,5.0,32.0,30.0,1.0,3.0,45.0,64.0,37.0,39.0,49.0,51.0,8.0,25.0,24.0,76.0,10.0,5.0,45.0,63.0,4813385.0,True,True,prem
2.0,2025-08-23T11:30:00+00:00,43.0,1967.75,0.0,2.0,6.0,1783.94,True,25-26-prem-manchester-city-vs-tottenham-hotspur,/matches/manchester-city-vs-tottenham-hotspur/2egtpx#4813392,61.0,39.0,1.55,1.11,10.0,12.0,4.0,5.0,2.0,3.0,2.0,1.0,456.0,259.0,87.0,78.0,7.0,12.0,7.0,2.0,1.01,0.97,0.54,0.14,1.55,1.11,0.64,2.08,3.0,5.0,3.0,2.0,0.0,0.0,6.0,10.0,4.0,2.0,525.0,331.0,247.0,174.0,209.0,85.0,15.0,20.0,38.0,34.0,5.0,4.0,26.0,36.0,23.0,21.0,34.0,26.0,0.0,1.0,1.0,4.0,0.0,0.0,20.0,24.0,50,67,6.0,7.0,2.0,3.0,23.0,25.0,3.0,4.0,51.0,47.0,39.0,39.0,50.0,50.0,12.0,8.0,60.0,40.0,7.0,8.0,47.0,35.0,4813392.0,True,True,prem
2.0,2025-08-25T19:00:00+00:00,4.0,1870.13,2.0,3.0,14.0,1997.5,True,25-26-prem-newcastle-united-vs-liverpool,/matches/liverpool-vs-newcastle-united/2ygyxm#4813393,38.0,62.0,0.98,0.69,10.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,170.0,370.0,69.0,83.0,17.0,15.0,7.0,1.0,0.57,0.69,0.41,0.0,0.98,0.69,1.87,2.26,4.0,0.0,3.0,1.0,0.0,0.0,8.0,3.0,2.0,2.0,247.0,445.0,82.0,214.0,88.0,156.0,12.0,15.0,24.0,31.0,6.0,2.0,23.0,22.0,22.0,19.0,27.0,17.0,0.0,0.0,2.0,3.0,1.0,0.0,12.0,13.0,42,62,8.0,2.0,1.0,3.0,21.0,43.0,1.0,1.0,51.0,51.0,35.0,33.0,51.0,49.0,16.0,18.0,47.0,53.0,8.0,5.0,47.0,63.0,4813393.0,True,True,prem
2.0,2025-08-23T16:30:00+00:00,3.0,1997.87,5.0,0.0,2.0,1731.2,True,25-26-prem-arsenal-vs-leeds-united,/matches/leeds-united-vs-arsenal/2rkmmx#4813386,68.0,32.0,2.88,0.17,18.0,3.0,5.0,1.0,3.0,0.0,1.0,0.0,549.0,219.0,92.0,76.0,8.0,11.0,2.0,2.0,0.96,0.07,1.13,0.1,2.09,0.17,2.77,0.14,9.0,0.0,4.0,2.0,0.0,0.0,13.0,2.0,5.0,1.0,599.0,290.0,345.0,172.0,204.0,47.0,24.0,13.0,69.0,35.0,8.0,1.0,42.0,20.0,28.0,14.0,34.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,18.0,67,67,5.0,6.0,2.0,3.0,7.0,20.0,1.0,0.0,47.0,34.0,34.0,30.0,53.0,47.0,13.0,4.0,76.0,24.0,12.0,4.0,50.0,36.0,4813386.0,True,True,prem
2.0,2025-08-23T14:00:00+00:00,90.0,1719.67,2.0,0.0,56.0,1567.98,True,25-26-prem-burnley-vs-sunderland,/matches/burnley-vs-sunderland/2anx64#4813388,42.0,58.0,1.0,0.77,7.0,9.0,2.0,1.0,2.0,2.0,1.0,2.0,356.0,530.0,81.0,86.0,9.0,5.0,4.0,3.0,0.97,0.41,0.02,0.37,1.0,0.77,1.58,0.7,4.0,3.0,1.0,5.0,1.0,0.0,4.0,6.0,3.0,3.0,442.0,616.0,181.0,232.0,175.0,298.0,15.0,16.0,26.0,36.0,4.0,5.0,27.0,21.0,11.0,19.0,17.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,18.0,50,44,7.0,7.0,5.0,1.0,29.0,27.0,1.0,0.0,45.0,48.0,30.0,29.0,51.0,49.0,15.0,19.0,44.0,56.0,3.0,2.0,27.0,22.0,4813388.0,True,True,prem
2.0,2025-08-22T19:00:00+00:00,21.0,1729.26,1.0,5.0,8.0,1899.58,True,25-26-prem-west-ham-united-vs-chelsea,/matches/chelsea-vs-west-ham-united/2f5ck5#4813394,41.0,59.0,0.73,2.74,12.0,12.0,4.0,7.0,1.0,7.0,1.0,2.0,339.0,505.0,86.0,88.0,7.0,10.0,7.0,5.0,0.29,1.8,0.44,0.94,0.73,2.74,0.33,5.14,5.0,4.0,3.0,1.0,0.0,0.0,9.0,10.0,3.0,2.0,392.0,577.0,186.0,263.0,153.0,242.0,15.0,17.0,43.0,40.0,7.0,3.0,44.0,20.0,25.0,14.0,19.0,26.0,4.0,2.0,0.0,1.0,0.0,0.0,11.0,19.0,55,68,7.0,4.0,1.0,3.0,29.0,17.0,2.0,3.0,39.0,45.0,25.0,30.0,45.0,55.0,14.0,15.0,48.0,52.0,5.0,4.0,33.0,50.0,4813394.0,True,True,prem
2.0,2025-08-24T13:00:00+00:00,31.0,1838.23,1.0,1.0,17.0,1812.67,True,25-26-prem-crystal-palace-vs-nottingham-forest,/matches/crystal-palace-vs-nottingham-forest/3bfk5h#4813389,42.0,58.0,1.1,0.93,8.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,287.0,442.0,76.0,86.0,11.0,11.0,1.0,3.0,0.8,0.92,0.3,0.01,1.1,0.93,0.83,0.26,4.0,7.0,0.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,377.0,514.0,165.0,219.0,122.0,223.0,8.0,31.0,16.0,55.0,6.0,3.0,33.0,12.0,14.0,16.0,21.0,20.0,2.0,2.0,3.0,3.0,0.0,0.0,20.0,12.0,55,58,7.0,10.0,1.0,0.0,21.0,15.0,0.0,3.0,49.0,45.0,33.0,28.0,54.0,46.0,16.0,17.0,48.0,52.0,3.0,6.0,43.0,33.0,4813389.0,True,True,prem
