match_id,minute,home_xg,away_xg,home_cumulative_xg,away_cumulative_xg
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,5,0,0.039,0.0,0.039
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,11,0.028,0,0.028,0.039
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,17,0,0.046,0.028,0.086
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,19,0,0.056,0.028,0.142
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,21,0.013,0,0.041,0.142
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,22,0.09,0,0.131,0.142
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,29,0,0.016,0.131,0.158
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,31,0,0.021,0.131,0.178
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,36,0.673,0,0.805,0.178
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,59,0,0.083,0.805,0.261
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,65,0.065,0,0.869,0.261
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,68,0,0.04,0.869,0.301
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,69,0,0.295,0.869,0.595
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,70,0.124,0,0.993,0.595
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,78,0,0.19,0.993,0.785
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,83,0,0.306,0.993,1.091
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,84,0,0.11,0.993,1.201
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,85,0.105,0,1.097,1.201
25-26-prem-afc-bournemouth-vs-tottenham-hotspur,90,0.194,0.041,1.291,1.242
25-26-prem-arsenal-vs-liverpool,10,0.059,0,0.059,0.0
25-26-prem-arsenal-vs-liverpool,18,0.015,0,0.074,0.0
25-26-prem-arsenal-vs-liverpool,24,0,0.019,0.074,0.019
25-26-prem-arsenal-vs-liverpool,27,0,0.086,0.074,0.105
25-26-prem-arsenal-vs-liverpool,36,0.027,0,0.102,0.105
25-26-prem-arsenal-vs-liverpool,39,0.021,0,0.122,0.105
25-26-prem-arsenal-vs-liverpool,44,0.159,0,0.281,0.105
25-26-prem-arsenal-vs-liverpool,62,0,0.035,0.281,0.141
25-26-prem-arsenal-vs-liverpool,63,0,0.058,0.281,0.199
25-26-prem-arsenal-vs-liverpool,76,0,0.042,0.281,0.241
25-26-prem-arsenal-vs-liverpool,77,0,0.022,0.281,0.262
25-26-prem-arsenal-vs-liverpool,82,0,0.054,0.281,0.317
25-26-prem-arsenal-vs-liverpool,90,0.293,0,0.574,0.317
25-26-prem-brentford-vs-sunderland,1,0.022,0,0.022,0.0
25-26-prem-brentford-vs-sunderland,10,0,0.058,0.022,0.058
25-26-prem-brentford-vs-sunderland,21,0.097,0,0.119,0.058
25-26-prem-brentford-vs-sunderland,26,0.019,0,0.139,0.058
25-26-prem-brentford-vs-sunderland,27,0.04,0,0.178,0.058
25-26-prem-brentford-vs-sunderland,30,0.899,0,1.078,0.058
25-26-prem-brentford-vs-sunderland,33,0.088,0,1.166,0.058
25-26-prem-brentford-vs-sunderland,37,0,0.131,1.166,0.188
25-26-prem-brentford-vs-sunderland,38,0,0.051,1.166,0.239
