match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,lineup_status,home_shot_model_xg,away_shot_model_xg,incident_timing_coverage,unlocated_card_count,quarantined_incident_count
25-26-prem-brighton-hove-albion-vs-afc-bournemouth,,,,,,False,False,confirmed,1.0244,1.2866,limited,0,1
25-26-prem-sunderland-vs-crystal-palace,,,,,,False,False,confirmed,1.8401,0.5049,limited,0,0
25-26-prem-chelsea-vs-brentford,,,,,,False,False,confirmed,1.5981,1.5162,limited,0,0
25-26-prem-liverpool-vs-burnley,,,,,,False,False,confirmed,3.1828,0.3965,limited,1,0
25-26-prem-leeds-united-vs-fulham,,,,,,False,False,confirmed,1.4303,0.3794,limited,0,1
25-26-prem-manchester-united-vs-manchester-city,,,,,,False,False,confirmed,2.2893,0.4656,limited,0,0
25-26-prem-wolverhampton-wanderers-vs-newcastle-united,,,,,,False,False,confirmed,0.287,0.9497,limited,0,0
25-26-prem-aston-villa-vs-everton,,,,,,False,False,confirmed,1.4407,0.5114,limited,0,0
25-26-prem-nottingham-forest-vs-arsenal,,,,,,False,False,confirmed,0.3404,2.0981,limited,0,0
25-26-prem-tottenham-hotspur-vs-west-ham-united,,,,,,False,False,confirmed,1.4757,2.8461,limited,0,1
