id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
565,a,,,5.0,246,11,0,0,0,0,4.1,80,11,66,0,2.8,157,23,2,293,0.0,362,71,0.0,13.2,0,0,0,0,0,3.6,,0.0,0.0,0.0,33.6,0.0,0.0,0.0,1.4,587.8,93,15,0.0,604,77,0.0,593,71,58.5,223,16,,,,0,,Guglielmo,Vicario,Vicario,,,2160.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,1.0,0.0,68.0,24.0,0.0,,,,2.83,0.17,1.54,1.0,0.0
568,a,,,5.5,174,22,0,0,0,0,21.8,17,6,98,0,3.0,135,37,6,456,0.0,531,210,0.0,17.8,0,0,0,0,0,3.8,,1.63,4.71,6.34,49.37,0.06,0.16,0.22,1.71,778.4,31,12,932.9,10,1,200.0,152,27,191.2,40,2,2.0,2.0,,0,,Pedro,Porro Sauceda,Pedro Porro,,,2606.0,2.0,6.0,6.0,47.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,192.0,,,,0.0,0.21,1.62,0.97,6.63
569,a,,,5.0,271,44,0,0,0,0,3.3,89,30,49,0,2.7,168,54,3,245,0.0,387,179,0.0,9.8,0,0,0,0,0,3.1,,1.52,0.81,2.33,19.31,0.1,0.05,0.15,1.23,343.2,185,67,113.1,226,68,232.0,129,20,69.0,199,62,,,,0,,Cristian,Romero,Romero,,,1416.0,1.0,1.0,3.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,111.0,,,,0.0,0.19,1.4,1.14,7.06
570,a,,,4.5,380,79,0,0,0,0,0.2,365,134,16,0,1.6,289,102,0,104,0.0,151,99,0.0,3.6,0,0,0,0,0,2.4,,0.4,0.12,0.52,17.19,0.04,0.01,0.05,1.84,242.0,226,83,34.4,299,112,72.0,244,82,34.9,271,94,,,,0,,Kevin,Danso,Danso,,,842.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,97.0,,,,0.0,0.11,1.92,0.96,10.37
573,a,,,4.5,422,109,0,0,0,0,1.2,163,59,51,0,2.0,241,84,6,216,0.0,193,129,0.0,11.3,0,0,0,0,0,2.4,,0.58,1.41,1.99,34.79,0.03,0.07,0.1,1.75,433.0,146,49,226.6,157,32,100.0,220,70,76.1,180,53,,,,0,,Djed,Spence,Spence,,,1790.0,1.0,2.0,3.0,39.0,1.0,0.0,0.0,2.0,1.0,0.0,19.0,133.0,,,,0.0,0.15,1.96,0.96,6.69
575,a,,,4.5,471,130,0,0,0,0,27.5,7,2,32,0,2.5,181,61,2,139,0.0,242,150,0.0,7.1,0,0,0,0,0,2.4,,0.54,0.7,1.24,13.28,0.05,0.06,0.11,1.18,212.0,242,87,39.4,292,107,57.0,256,89,30.9,282,100,,,,0,,Micky,van de Ven,Van de Ven,,,1014.0,0.0,2.0,2.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,66.0,,,,0.0,0.18,1.51,1.07,5.86
582,a,,,6.5,68,48,0,0,0,0,25.3,11,4,106,0,3.3,115,56,5,373,0.0,632,268,0.0,16.3,0,0,0,0,0,2.7,,6.97,2.67,9.64,43.46,0.24,0.09,0.33,1.51,471.6,132,55,552.5,60,49,752.0,30,18,177.5,54,39,,,,0,,Mohammed,Kudus,Kudus,,,2589.0,5.0,4.0,7.0,46.0,0.0,0.0,0.0,2.0,1.0,0.0,31.0,189.0,,,,0.0,0.24,1.6,1.08,6.57
584,a,,,6.5,76,54,0,0,0,0,0.1,434,141,42,0,3.2,122,58,2,151,0.0,640,274,0.0,6.5,0,0,0,0,0,2.7,,2.96,1.55,4.51,17.39,0.29,0.15,0.44,1.72,183.8,263,122,208.3,169,116,236.0,127,84,62.3,215,114,5.0,4.0,4.0,0,,Mathys,Tel,Tel,,,908.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,65.0,,,,0.0,0.2,1.98,1.09,6.44
585,a,,,5.5,143,94,0,0,0,0,0.2,414,134,49,0,1.9,264,120,1,293,0.0,500,185,0.0,8.9,0,0,0,0,0,2.5,,1.36,1.02,2.38,26.87,0.07,0.06,0.13,1.47,324.6,196,92,208.5,168,115,165.0,173,107,70.2,195,103,,,,0,,Rodrigo,Bentancur,Bentancur,,,1640.0,2.0,0.0,3.0,26.0,0.0,0.0,0.0,9.0,0.0,0.0,21.0,246.0,,,,0.0,0.16,1.43,1.15,13.5
586,a,,,5.5,208,134,0,0,0,0,0.2,417,135,44,0,1.6,298,139,0,216,0.0,565,225,0.0,8.0,0,0,0,0,0,2.5,,0.71,0.82,1.53,24.33,0.05,0.06,0.11,1.82,237.2,227,108,218.7,159,111,97.0,224,123,55.0,227,121,,,,0,,Lucas,Bergvall,Bergvall,,,1200.0,0.0,2.0,3.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,165.0,,,,0.0,0.23,1.88,0.82,12.38
591,a,,,5.0,339,213,0,0,0,0,0.1,428,139,45,0,1.6,296,138,0,253,0.0,455,155,0.0,9.0,0,0,0,0,0,2.0,,0.03,0.19,0.22,37.33,0.0,0.01,0.01,1.92,254.6,221,106,71.4,259,146,15.0,312,163,34.3,273,136,,,,0,,Archie,Gray,Gray,,,1750.0,0.0,0.0,2.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,162.0,,,,0.0,0.1,2.11,0.98,8.33
593,a,,,5.0,316,195,0,0,0,0,2.8,101,34,71,0,2.0,249,112,4,365,0.0,432,137,0.0,14.2,0,0,0,0,0,2.0,,3.72,0.78,4.5,36.38,0.18,0.04,0.22,1.72,398.4,156,71,257.2,142,99,220.0,136,89,87.2,152,87,,,,0,,Pape Matar,Sarr,P.M.Sarr,,,1901.0,3.0,2.0,2.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,22.0,228.0,,,,0.0,0.09,1.8,1.04,10.79
596,a,100.0,,7.5,20,8,0,0,0,0,5.1,70,13,108,0,4.0,47,14,7,404,0.0,658,62,0.0,14.4,0,0,0,0,0,2.9,,10.89,1.13,12.02,40.14,0.45,0.05,0.5,1.64,505.8,123,14,199.8,175,18,729.0,32,13,142.1,80,16,,,2.0,0,,Dominic,Solanke-Mitchell,Solanke,,2025-08-10T23:30:07.320877+00:00,2199.0,9.0,5.0,4.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,89.0,,,,0.0,0.16,1.76,1.02,3.64
