id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
253,a,,,5.0,230,10,0,0,0,0,3.4,95,18,135,0,3.6,74,13,8,466,0.0,345,65,0.0,27.0,0,0,0,0,0,2.6,,0.01,0.02,0.03,50.33,0.0,0.0,0.0,1.32,853.6,17,4,30.0,308,3,4.0,336,2,88.6,147,4,,,,0,
256,a,,,5.5,155,20,0,0,0,0,10.1,41,15,142,0,3.8,58,5,9,480,0.0,501,200,0.0,25.8,0,0,0,0,0,2.8,,4.92,3.46,8.38,46.3,0.14,0.1,0.24,1.29,816.6,25,9,634.2,43,6,524.0,55,1,197.6,34,1,,,,0,
257,a,,,5.0,284,50,0,0,0,0,0.8,215,72,114,0,3.3,110,26,9,463,0.0,399,180,0.0,22.8,0,0,0,0,0,2.1,,3.5,1.01,4.51,44.59,0.1,0.03,0.13,1.29,723.8,46,17,113.7,225,67,277.0,108,13,111.4,117,28,,,,0,
258,a,,,5.0,270,47,0,0,0,0,0.8,202,68,123,0,3.3,108,24,4,455,0.0,385,177,0.0,24.6,0,0,0,0,0,2.1,,1.31,3.67,4.98,46.45,0.04,0.11,0.15,1.35,630.8,69,24,559.1,59,9,170.0,171,39,136.2,86,12,,,,0,
260,a,,,4.5,383,89,0,0,0,0,13.6,31,11,116,0,3.4,96,18,11,492,0.0,166,110,0.0,25.8,0,0,0,0,0,1.4,,1.87,2.01,3.88,41.55,0.06,0.06,0.12,1.22,827.0,24,8,237.6,153,31,247.0,118,16,131.0,91,14,,,,0,
261,a,,,4.5,413,112,0,0,0,0,0.3,396,162,68,0,2.8,155,48,2,249,0.0,196,133,0.0,15.1,0,0,0,0,0,1.4,,1.33,0.6,1.93,29.78,0.06,0.03,0.09,1.4,470.8,133,48,45.0,285,104,181.0,166,34,69.6,197,61,,,,0,
263,a,,,4.0,538,140,0,0,0,0,0.7,223,76,18,0,1.4,308,109,0,48,0.0,3,1,0.0,4.5,0,0,0,0,0,0.5,,0.02,0.24,0.26,10.11,0.0,0.05,0.05,1.91,66.6,321,118,51.8,275,99,8.0,323,122,12.4,322,118,,,,0,
265,a,,,4.0,649,210,0,0,0,0,0.3,395,161,2,0,1.0,350,130,0,1,0.0,114,71,0.0,0.5,0,0,0,0,0,0.5,,0.0,0.02,0.02,0.06,0.0,0.16,0.16,0.49,8.0,366,134,4.6,352,129,0.0,447,191,1.3,374,135,,,,0,
266,a,,,7.5,23,14,0,0,0,0,8.1,48,15,148,0,4.4,27,16,15,605,0.0,639,283,0.0,19.7,0,0,0,0,0,2.0,,10.39,4.67,15.06,35.03,0.36,0.16,0.52,1.22,685.0,54,18,849.2,13,12,691.0,37,23,222.4,16,11,,,,0,
267,a,,,6.5,55,40,0,0,0,0,1.8,136,47,149,0,3.9,54,26,14,542,0.0,599,254,0.0,22.9,0,0,0,0,0,1.7,,10.82,6.82,17.64,38.63,0.36,0.23,0.59,1.28,675.0,57,21,618.0,48,41,866.0,20,11,215.9,18,13,,,,0,
269,a,,,5.0,334,215,0,0,0,0,0.3,379,114,22,0,3.1,126,59,3,72,0.0,449,161,0.0,4.4,0,0,0,0,0,1.0,,0.32,0.39,0.71,2.15,0.21,0.25,0.46,1.4,74.8,317,149,38.4,295,157,51.0,264,142,16.4,311,151,,,,0,
270,a,,,5.0,216,137,0,0,0,0,0.1,511,181,67,0,2.0,246,110,3,278,0.0,331,83,0.0,13.4,0,0,0,0,0,1.0,,1.09,2.64,3.73,31.64,0.05,0.11,0.16,1.36,335.2,191,87,462.6,75,61,90.0,231,128,87.5,151,86,,,,0,
271,a,,,5.0,249,159,0,0,0,0,0.1,499,172,45,0,1.3,323,153,0,246,0.0,364,105,0.0,9.0,0,0,0,0,0,1.0,,1.12,1.55,2.67,25.74,0.07,0.09,0.16,1.5,219.2,236,113,314.1,115,82,145.0,186,110,68.2,202,107,,,,0,
272,a,,,5.0,219,140,0,0,0,0,0.1,514,184,58,0,1.8,271,123,2,326,0.0,334,86,0.0,11.6,0,0,0,0,0,1.0,,1.07,1.75,2.82,33.55,0.04,0.07,0.11,1.33,401.4,155,70,190.2,181,123,197.0,154,100,78.7,171,93,,,,0,
273,a,,,5.0,313,196,0,0,0,0,0.8,206,68,42,0,2.1,232,102,0,244,0.0,428,142,0.0,8.4,0,0,0,0,0,1.0,,0.38,2.17,2.55,19.34,0.03,0.15,0.18,1.32,261.2,217,104,381.4,95,71,69.0,246,135,71.2,193,101,,,,0,
