player_code,player_id,first_name,second_name,web_name,team_code,position
208706,452,Bruno,Guimarães Rodriguez Moura,Bruno G.,3,Midfielder
517052,166,Nicolas,Jackson,N.Jackson,7,Forward
487992,596,Matteo,Ruggeri,Ruggeri,7,Defender
690838,582,Brian,Madjo,Madjo,7,Forward
569577,606,Triston,Rowe,Rowe,7,Defender
571380,607,Luka,Lynch,Lynch,7,Midfielder
214590,611,Aaron,Wan-Bissaka,Wan-Bissaka,7,Defender
119090,618,Leon,Goretzka,Goretzka,7,Midfielder
523700,608,Daniel,Jebbison,Jebbison,91,Forward
570241,92,Kim,Ji-soo,Ji-soo,94,Defender
97032,356,Virgil,van Dijk,Virgil,14,Defender
439509,557,Christos,Tzolis,Tzolis,3,Midfielder
215711,44,Leon,Bailey,Bailey,7,Midfielder
122806,45,John,McGinn,McGinn,7,Midfielder
88894,46,Ross,Barkley,Barkley,7,Midfielder
226944,47,Boubacar,Kamara,Kamara,7,Midfielder
449871,48,Amadou,Onana,Onana,7,Midfielder
469247,49,Samuel,Iling-Junior,Iling Jr,7,Midfielder
645618,50,Bradley,Burrowes,Burrowes,7,Midfielder
577285,51,George,Hemmings,George Hemmings,7,Midfielder
653481,52,Alysson Edward Franco,da Rocha dos Santos,Alysson,7,Midfielder
614071,53,Johan,Manzambi,Manzambi,7,Midfielder
448089,54,Joao,Gomes,Gomes,7,Midfielder
178301,55,Ollie,Watkins,Watkins,7,Forward
173879,56,Tammy,Abraham,Abraham,7,Forward
493105,160,Alejandro,Garnacho Ferreyra,Garnacho,7,Midfielder
433969,597,Zion,Suzuki,Suzuki,7,Goalkeeper
457569,57,Đorđe,Petrović,Petrović,91,Goalkeeper
40383,58,Fraser,Forster,Forster,91,Goalkeeper
444172,59,Will,Dennis,Dennis,91,Goalkeeper
463981,60,James,Hill,Hill,91,Defender
494521,61,Adrien,Truffert,Truffert,91,Defender
242882,62,Bafodé,Diakité,Diakité,91,Defender
620487,63,Veljko,Milosavljevic,Milosavljević,91,Defender
54469,64,Adam,Smith,Smith,91,Defender
436893,65,Julián,Araujo Zúñiga,J.Araujo,91,Defender
575901,66,Julio,Soler Barreto,Soler,91,Defender
499604,67,Rayan Vitor,Simplício Rocha,Rayan,91,Midfielder
201658,68,Marcus,Tavernier,Tavernier,91,Midfielder
503139,69,Alex,Scott,Scott,91,Midfielder
222683,70,Justin,Kluivert,Kluivert,91,Midfielder
496208,72,Ben,Gannon-Doak,Gannon-Doak,91,Midfielder
200785,73,Tyler,Adams,Adams,91,Midfielder
111317,74,David,Brooks,Brooks,91,Midfielder
158499,75,Ryan,Christie,Christie,91,Midfielder
614574,76,Alex,Tóth,Tóth.A,91,Midfielder
489888,77,Amine,Adli,Adli,91,Midfielder
444102,79,Francisco Evanilson,de Lima Barbosa,Evanilson,91,Forward
168636,80,Enes,Ünal,Enes Ünal,91,Forward
561245,81,Álvaro,Rodríguez,Rodríguez,91,Forward
483067,566,António João,Pereira de Albuquerque Tavares da Silva,Silva,91,Defender
230650,615,Michele,Di Gregorio,Di Gregorio,91,Goalkeeper
200720,82,Caoimhín,Kelleher,Kelleher,94,Goalkeeper
507433,83,Hákon Rafn,Valdimarsson,Valdimarsson,94,Goalkeeper
249231,86,Keane,Lewis-Potter,Lewis-Potter,94,Midfielder
191866,87,Kristoffer,Ajer,Ajer,94,Defender
607464,88,Michael,Kayode,Kayode,94,Defender
194010,89,Rico,Henry,Henry,94,Defender
472713,90,Aaron,Hickey,Hickey,94,Defender
513086,93,Jannik,Schuster,Schuster,94,Defender
154561,1,David,Raya Martín,Raya,3,Goalkeeper
109745,2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,3,Goalkeeper
437495,3,Illan,Meslier,Meslier,3,Goalkeeper
226597,4,Gabriel,dos Santos Magalhães,Gabriel,3,Defender
445122,5,Jurriën,Timber,J.Timber,3,Defender
462424,6,William,Saliba,Saliba,3,Defender
499169,7,Myles,Lewis-Skelly,Lewis-Skelly,3,Midfielder
466075,8,Riccardo,Calafiori,Calafiori,3,Defender
448104,9,Piero,Hincapié,Hincapie,3,Defender
198869,10,Benjamin,White,White,3,Defender
500040,11,Cristhian,Mosquera,Mosquera,3,Defender
223340,12,Bukayo,Saka,Saka,3,Midfielder
204480,13,Declan,Rice,Rice,3,Midfielder
232413,14,Eberechi,Eze,Eze,3,Midfielder
184029,15,Martin,Ødegaard,Ødegaard,3,Midfielder
248857,16,Noni,Madueke,Madueke,3,Midfielder
195384,17,Mikel,Merino Zazón,Merino,3,Midfielder
444145,18,Gabriel,Martinelli Silva,Martinelli,3,Midfielder
481655,19,Martín,Zubimendi Ibáñez,Zubimendi,3,Midfielder
616077,20,Max,Dowman,Dowman,3,Midfielder
499175,22,Ethan,Nwaneri,Nwaneri,3,Midfielder
438098,23,Fábio,Ferreira Vieira,Fábio Vieira,3,Midfielder
200641,24,Reiss,Nelson,Nelson,3,Midfielder
224117,25,Viktor,Gyökeres,Gyökeres,3,Forward
219847,26,Kai,Havertz,Havertz,3,Forward
205651,27,Gabriel,Fernando de Jesus,G.Jesus,3,Forward
199798,31,Ezri,Konsa Ngoyo,Konsa,3,Defender
98980,28,Emiliano,Martínez Romero,Martinez,7,Goalkeeper
72147,29,Marco,Bizot,M.Bizot,7,Goalkeeper
101188,30,Lucas,Digne,Digne,7,Defender
199796,32,Matty,Cash,Cash,7,Defender
149484,33,Tyrone,Mings,Mings,7,Defender
244954,34,Pau,Torres,Pau,7,Defender
515597,35,Lamare,Bogarde,Bogarde,7,Midfielder
441302,36,Ian,Maatsen,Maatsen,7,Defender
184667,37,Victor,Lindelöf,Lindelöf,7,Defender
606798,38,Andrés,García,A.García,7,Defender
578545,39,Kosta,Nedeljkovic,Nedeljkovic,7,Defender
195546,41,Emiliano,Buendía Stati,Buendía,7,Midfielder
560262,78,Junior,Kroupi,Kroupi.Jr,91,Midfielder
494928,573,Juanlu,Sánchez,Sanchez,91,Defender
432830,84,Nathan,Collins,Collins,94,Defender
444765,85,Sepp,van den Berg,Van den Berg,94,Defender
513418,94,Kevin,Schade,Schade,94,Midfielder
533463,95,Dango,Ouattara,O.Dango,94,Midfielder
440089,96,Mikkel,Damsgaard,Damsgaard,94,Midfielder
207283,97,Mathias,Jensen,Jensen,94,Midfielder
