id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
10,Benjamin,White,White,d,Muscular injury - 75% chance of playing,,5.5,131,15,6.6,59,25,5.2,42,18,1,0,0,0,0,17365,114899,0.9,3.8,3.9,5.2,5.2,47,20,75.0,100.0,98,44,83,20,125,35,97,30,,,,,,,,0.05,0.08,0.13,0.33,0.0,0.57,0.29,1.14,5.14,4,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,26408.0,123437.0,0.0,0.0,0.0,0.0,0.22999999999999987,4.199999999999989,0.7999999999999972,6.0,1.0999999999999996,2.0,1.0,0.0,3.0
16,Noni,Madueke,Madueke,a,,,6.2,57,40,0.2,328,117,0.5,356,165,0,-1,1,-3,3,557,2420,0.1,0.3,0.5,0.5,1.0,379,177,,,287,121,113,73,650,290,246,111,5.0,,,,,,,0.0,0.2,0.2,0.59,0.0,0.0,0.0,0.0,11.74,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,2661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Viktor,Gyökeres,Gyökeres,a,,,7.2,23,8,3.3,93,13,0.2,404,50,0,0,0,-3,3,2137,34537,0.0,0.1,0.2,0.2,1.0,386,48,,,655,76,379,49,655,76,655,76,,,2.0,,,,,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,7.5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.0,41121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Bruno,Guimarães Rodriguez Moura,Bruno G.,a,,,6.7,32,21,1.8,136,42,2.0,191,90,7,-1,1,-3,3,10531,5615,0.3,1.2,2.0,2.0,4.0,98,38,100.0,100.0,196,79,279,146,204,104,252,112,4.0,,4.0,,,,,0.13,0.21,0.34,2.21,0.0,0.0,0.0,0.0,8.44,4,7,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,10662.0,7465.0,0.0,0.09,0.13999999999999999,0.22999999999999998,1.57,35.4,3.9000000000000004,11.0,5.0,1.0,1.0,1.0,3.0
557,Christos,Tzolis,Tzolis,a,,,6.4,44,30,14.6,26,10,3.5,98,40,3,0,0,-1,1,21184,154074,0.5,2.2,3.5,3.5,3.5,119,47,,,154,55,22,20,100,55,50,37,3.0,,,,,,,0.06,0.15,0.21,0.61,0.0,0.62,0.31,1.24,6.21,4,3,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,27691.0,191165.0,0.0,0.0,0.13,0.13,1.41,3.799999999999997,7.300000000000011,2.0,1.3000000000000007,1.0,1.0,1.0,3.0
29,Marco,Bizot,M.Bizot,a,,,4.5,427,24,0.1,382,42,0.2,370,23,0,0,0,0,0,291,727,0.0,0.2,0.2,0.2,1.0,300,23,,,230,21,451,32,399,28,299,21,,,,,,,,0.0,0.0,0.0,3.77,3.0,0.0,4.0,1.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Lucas,Digne,Digne,u,Has joined Paris Saint-Germain permanently,,4.5,432,84,0.1,493,175,0.0,475,182,0,0,0,0,0,0,286,0.0,0.0,0.0,0.0,0.0,475,182,0.0,0.0,458,180,454,180,402,168,463,180,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Matty,Cash,Cash,d,Muscular injury - 75% chance of playing,,4.4,562,145,5.3,73,29,1.8,196,72,0,-1,1,-1,1,581,80368,0.4,1.6,1.4,1.4,2.3,179,70,75.0,75.0,215,92,198,64,200,67,230,84,1.0,,,,,,,0.05,0.01,0.06,1.8,0.0,0.36,1.79,1.08,5.02,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,91699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tyrone,Mings,Mings,a,,,4.5,438,85,0.4,273,99,1.8,199,75,0,0,0,0,0,1622,2838,0.4,1.6,1.8,1.8,2.3,181,72,,,216,93,273,97,169,53,249,91,,,,,,,,0.11,0.01,0.12,1.51,0.0,0.53,1.05,0.53,5.79,4,0,65.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2120.0,3018.0,0.0,0.09000000000000001,0.0,0.09,2.08,15.599999999999998,0.5999999999999996,4.0,2.0000000000000004,1.0,4.0,2.0,5.0
34,Pau,Torres,Pau,d,Hamstring injury - 75% chance of playing,,4.5,472,110,0.4,278,102,0.8,283,104,1,0,0,0,0,198,4806,0.2,0.7,0.6,0.8,1.0,301,116,75.0,,290,118,314,114,300,113,333,120,,,,,,,,0.0,0.0,0.0,2.31,0.0,0.0,2.41,1.44,4.33,4,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,583.0,5190.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.1999999999999993,0.3999999999999999,2.0,0.30000000000000004,0.0,0.0,0.0,0.0
